,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd
566,156.58,47.35,47.3,126.15,65.36,55.88,126.35,62.17,90.13,138.35,124.52,41.14,127.66,42.17,126.59
567,178.12,39.27,39.12,138.87,60.69,50.5,139.01,57.22,95.83,154.97,136.98,38.76,140.15,39.83,139.5
568,174.47,48.48,48.34,139.1,67.69,56.9,139.25,63.42,97.32,153.43,137.31,41.47,140.7,42.48,139.63
569,176.52,43.52,43.39,139.04,63.52,52.63,139.19,59.33,95.29,154.33,137.2,36.8,140.5,37.66,139.62
570,160.5,30.54,30.45,123.79,49.66,38.63,123.97,46.06,77.69,138.91,122.02,13.03,124.76,13.11,124.39
571,138.2,155.29,167.94,132.15,114.07,19.13,132.5,57.22,84.37,133.09,130.7,13.74,137.64,19.77,132.06
572,136.49,153.46,166.21,130.49,112.53,18.07,130.49,56.13,82.92,131.43,129.05,12.53,135.41,18.83,130.22
573,135.99,148.7,159.67,130.32,114.27,31.45,130.47,64.76,87.39,131.14,128.95,24.83,135.04,30.59,130.05
574,128.55,127.55,132.28,125.14,115.08,73.7,125.41,90.18,90.02,125.07,124.03,33.7,128.91,36.01,124.9
575,125.93,121.87,125.23,123.3,114.42,82.37,123.67,95.02,89.83,123.05,122.25,35.1,126.74,36.76,123.06
576,119.49,107.43,110.1,114.89,102.41,75.13,115.22,85.82,84.25,115.64,113.87,35.84,117.92,37.4,114.83
577,128.88,66.79,68.8,110.17,70.27,48.96,110.42,57.98,77.45,117.35,108.79,31.7,112.04,33.34,110.36
578,141.19,35.4,36.76,110.14,46.31,29.61,110.34,37.36,74.95,122.94,108.5,30.7,111.16,32.46,110.62
579,107.16,102.51,104.83,105.42,97.85,74.66,105.85,83.7,79.49,104.91,104.45,37.8,107.99,39.21,105.22
580,115.43,35.3,36.1,92.33,44.54,32.84,92.51,38.26,65.25,101.73,91.03,30.96,93.26,32.35,92.63
581,140.59,13.91,13.89,104.58,31.92,25.18,104.67,29.1,70.09,119.74,102.94,27.93,105.02,29.0,105.21
582,142.14,10.38,10.37,104.62,29.01,22.24,104.69,26.27,69.02,120.46,102.94,25.41,104.98,26.44,105.28
583,141.07,10.55,10.55,103.99,29.31,22.33,104.08,26.05,68.68,119.68,102.24,25.42,104.35,26.43,104.65
584,158.08,-3.16,-3.16,111.91,19.38,11.57,111.99,15.93,69.11,131.66,109.86,16.45,111.92,17.37,112.75
585,201.02,-1.43,-1.42,143.1,26.97,17.02,143.2,22.54,89.22,183.16,140.51,22.97,143.19,24.17,144.16
586,151.42,5.91,5.91,109.94,26.58,19.1,110.01,23.15,70.86,142.89,108.02,22.94,110.2,23.95,110.68
587,139.62,14.08,14.05,104.03,32.23,25.26,104.12,28.9,69.79,134.37,102.31,27.93,105.02,29.0,104.66
588,102.38,23.33,23.28,80.27,35.27,30.04,80.41,32.63,57.94,103.59,79.08,30.73,114.83,31.72,80.65
589,144.07,10.14,10.1,105.99,29.31,22.17,106.08,25.96,69.76,136.28,104.2,25.4,114.64,26.45,106.67
590,142.49,7.25,7.22,103.98,26.5,19.44,104.05,23.23,67.55,134.49,102.19,22.89,114.6,23.87,104.67
591,110.23,12.09,12.03,82.44,26.28,20.78,82.51,23.64,55.62,111.56,81.07,22.84,114.67,23.72,82.92
592,109.61,12.18,12.12,82.02,26.29,20.81,82.1,23.66,55.4,111.04,80.68,22.84,114.67,23.69,82.5
593,102.98,29.0,28.82,82.5,40.39,35.13,82.62,37.59,61.14,108.34,81.33,35.41,144.21,36.53,82.84
594,117.29,22.64,22.55,90.76,36.74,30.85,90.85,33.76,64.19,110.59,89.35,32.18,144.16,33.3,91.19
595,98.84,30.23,30.14,79.96,40.64,35.54,80.09,37.93,59.86,96.45,78.79,35.66,144.19,36.81,80.25
596,102.66,29.45,29.38,82.47,40.5,35.3,82.63,37.77,61.22,99.56,81.24,35.63,144.19,36.76,82.82
597,102.58,29.52,29.46,82.44,40.52,35.34,82.6,37.81,61.22,97.43,81.21,35.63,144.19,36.76,82.78
598,94.07,50.0,50.37,81.98,55.75,47.32,82.16,50.69,65.76,93.26,80.94,45.99,144.33,47.5,82.15
599,94.23,69.91,70.67,87.64,71.58,59.14,87.87,63.8,73.66,96.39,86.65,56.26,115.5,58.21,87.6
600,87.14,71.51,72.23,82.97,71.9,59.56,83.12,64.17,71.22,86.22,82.09,56.27,115.52,58.27,82.89
601,84.28,79.11,79.97,82.96,77.6,64.08,82.93,68.98,73.11,84.95,82.13,60.3,115.64,62.53,82.81
602,81.01,76.03,76.83,79.84,74.72,61.96,80.04,66.59,70.47,81.84,79.05,58.39,144.52,60.37,79.77
603,83.86,78.8,79.67,82.64,77.3,63.81,82.77,68.7,72.74,91.41,81.81,60.05,144.62,62.27,82.56
604,83.79,78.88,79.75,82.71,77.3,63.74,82.9,68.62,72.74,91.41,81.9,59.88,235.7,62.02,82.56
