,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
838,9.0,8.0
839,20.0,8.0
840,14.0,7.0
841,10.0,8.0
842,5.0,6.0
843,12.0,3.0
844,10.0,3.0
845,10.0,9.0
846,10.0,4.0
847,12.0,3.0
848,16.0,4.0
849,11.0,10.0
850,16.0,9.0
851,11.0,4.0
852,16.0,6.0
853,7.0,15.0
854,12.0,5.0
855,15.0,9.0
856,13.0,7.0
857,21.0,8.0
858,18.0,12.0
859,15.0,6.0
860,12.0,7.0
861,18.0,6.0
862,11.0,11.0
863,19.0,7.0
864,8.0,10.0
865,15.0,6.0
866,10.0,12.0
867,12.0,5.0
868,17.0,5.0
869,13.0,7.0
870,16.0,9.0
871,10.0,10.0
872,12.0,5.0
873,12.0,10.0
874,14.0,7.0
875,19.0,9.0
876,17.0,6.0
877,13.0,5.0
878,12.0,5.0
879,12.0,7.0
880,15.0,11.0
881,15.0,4.0
882,9.0,12.0
883,16.0,10.0
884,21.0,8.0
885,12.0,7.0
886,12.0,13.0
887,16.0,7.0
888,18.0,8.0
889,8.0,9.0
890,18.0,9.0
891,17.0,8.0
892,11.0,8.0
893,10.0,9.0
894,11.0,5.0
895,10.0,13.0
896,16.0,12.0
897,16.0,10.0
898,7.0,9.0
899,10.0,5.0
900,13.0,5.0
901,10.0,6.0
902,8.0,6.0
903,10.0,4.0
904,11.0,8.0
905,9.0,5.0
906,12.0,7.0
907,16.0,2.0
908,20.0,9.0
909,13.0,8.0
910,19.0,3.0
911,14.0,6.0
912,21.0,9.0
913,15.0,6.0
914,26.0,10.0
915,26.0,7.0
916,20.0,11.0
917,26.0,5.0
918,18.0,3.0
919,17.0,7.0
920,17.0,4.0
921,23.0,15.0
922,22.0,10.0
923,12.0,12.0
924,12.0,22.0
925,14.0,9.0
926,12.0,8.0
927,14.0,9.0
928,12.0,4.0
929,14.0,8.0
930,16.0,5.0
931,15.0,2.0
932,9.0,9.0
933,15.0,4.0
934,22.0,8.0
935,15.0,10.0
936,16.0,5.0
937,13.0,2.0
938,16.0,7.0
939,12.0,4.0
940,12.0,11.0
941,18.0,17.0
942,15.0,6.0
943,12.0,7.0
944,21.0,8.0
945,14.0,8.0
946,18.0,7.0
947,12.0,5.0
948,16.0,3.0
949,12.0,10.0
950,15.0,7.0
951,18.0,8.0
952,17.0,6.0
953,14.0,10.0
