,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
911,3027.0,5005.0,4625.0,2701.0,10.0,227.0,3.0
912,3012.0,5044.0,4628.0,2703.0,8.0,230.0,3.0
913,2992.0,5071.0,4627.0,2700.0,7.0,232.0,12.0
914,2919.0,5123.0,4620.0,2703.0,7.0,233.0,48.0
915,2898.0,5177.0,4623.0,2700.0,7.0,227.0,49.0
916,2982.0,5213.0,4605.0,2703.0,6.0,228.0,49.0
917,3035.0,5227.0,4599.0,2700.0,6.0,228.0,49.0
918,3075.0,5204.0,4569.0,2704.0,5.0,227.0,49.0
919,3012.0,5234.0,4560.0,2698.0,6.0,225.0,49.0
920,2942.0,5353.0,4555.0,2703.0,6.0,236.0,49.0
921,2902.0,5451.0,4585.0,2698.0,7.0,238.0,49.0
922,2946.0,5520.0,4631.0,2703.0,6.0,232.0,49.0
923,2923.0,5558.0,4683.0,2698.0,5.0,231.0,49.0
924,2986.0,5582.0,4705.0,2702.0,5.0,236.0,49.0
925,2970.0,5639.0,4733.0,2699.0,6.0,244.0,49.0
926,2953.0,5649.0,4736.0,2704.0,8.0,242.0,49.0
927,2997.0,5603.0,4744.0,2704.0,9.0,237.0,22.0
928,3029.0,5527.0,4796.0,2699.0,8.0,247.0,3.0
929,3033.0,5525.0,4924.0,2703.0,9.0,251.0,3.0
930,3163.0,5543.0,4942.0,2698.0,7.0,248.0,3.0
931,3263.0,5562.0,4960.0,2704.0,6.0,249.0,3.0
932,3291.0,5621.0,5022.0,2696.0,5.0,245.0,3.0
933,3296.0,5676.0,5062.0,2703.0,5.0,240.0,3.0
934,3271.0,5750.0,5082.0,2697.0,3.0,241.0,3.0
935,3212.0,5785.0,5104.0,2703.0,3.0,244.0,3.0
936,3235.0,5734.0,5110.0,2699.0,2.0,241.0,3.0
937,3345.0,5691.0,5114.0,2703.0,4.0,241.0,3.0
