,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
152,13.0,15.0,12.0,17.0,15.0,15.0
153,13.0,15.0,12.0,23.0,21.0,16.0
154,12.0,13.0,11.0,11.0,11.0,14.0
155,12.0,13.0,11.0,11.0,11.0,14.0
156,12.0,14.0,11.0,11.0,11.0,14.0
157,11.0,14.0,11.0,13.0,12.0,14.0
158,11.0,14.0,11.0,14.0,12.0,15.0
159,11.0,14.0,11.0,12.0,11.0,15.0
160,11.0,15.0,11.0,12.0,11.0,16.0
161,11.0,14.0,11.0,12.0,11.0,15.0
162,11.0,16.0,11.0,13.0,11.0,16.0
163,11.0,15.0,11.0,11.0,11.0,15.0
164,11.0,12.0,11.0,12.0,11.0,13.0
165,11.0,14.0,11.0,14.0,11.0,15.0
166,11.0,15.0,11.0,38.0,35.0,16.0
167,11.0,15.0,11.0,14.0,11.0,16.0
168,11.0,17.0,11.0,15.0,11.0,17.0
169,11.0,14.0,11.0,12.0,11.0,14.0
170,11.0,12.0,11.0,11.0,11.0,13.0
171,11.0,13.0,11.0,11.0,11.0,13.0
172,11.0,12.0,11.0,12.0,11.0,13.0
173,11.0,12.0,11.0,15.0,13.0,12.0
174,11.0,14.0,11.0,18.0,14.0,15.0
175,11.0,14.0,11.0,18.0,14.0,14.0
176,11.0,14.0,11.0,14.0,11.0,15.0
177,11.0,14.0,11.0,14.0,11.0,16.0
178,11.0,15.0,11.0,14.0,11.0,16.0
179,11.0,15.0,11.0,15.0,11.0,16.0
180,11.0,12.0,11.0,11.0,11.0,13.0
181,11.0,11.0,11.0,11.0,11.0,12.0
182,11.0,14.0,11.0,15.0,11.0,15.0
183,11.0,13.0,11.0,14.0,11.0,14.0
184,11.0,14.0,11.0,14.0,11.0,15.0
185,11.0,13.0,11.0,14.0,11.0,14.0
186,11.0,15.0,11.0,14.0,11.0,15.0
187,11.0,13.0,11.0,13.0,11.0,15.0
188,11.0,16.0,11.0,16.0,11.0,17.0
189,11.0,17.0,11.0,16.0,11.0,18.0
190,11.0,17.0,11.0,17.0,11.0,18.0
191,11.0,15.0,11.0,15.0,11.0,16.0
192,11.0,16.0,11.0,15.0,11.0,17.0
193,11.0,16.0,11.0,15.0,11.0,17.0
194,11.0,18.0,11.0,17.0,11.0,19.0
195,11.0,18.0,11.0,17.0,11.0,19.0
196,11.0,21.0,11.0,20.0,11.0,22.0
197,12.0,22.0,11.0,19.0,11.0,23.0
198,12.0,16.0,12.0,12.0,11.0,16.0
199,12.0,18.0,12.0,15.0,11.0,19.0
200,13.0,21.0,12.0,17.0,11.0,22.0
201,14.0,22.0,13.0,17.0,11.0,22.0
202,14.0,18.0,14.0,13.0,11.0,18.0
203,19.0,20.0,19.0,15.0,16.0,20.0
204,14.0,17.0,13.0,14.0,11.0,18.0
205,14.0,16.0,13.0,12.0,11.0,17.0
206,14.0,17.0,13.0,12.0,11.0,18.0
207,14.0,18.0,13.0,14.0,11.0,19.0
208,13.0,20.0,12.0,15.0,11.0,21.0
