,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
956,34.0,20.0
957,53.0,13.0
958,40.0,16.0
959,51.0,17.0
960,36.0,10.0
961,39.0,15.0
962,40.0,17.0
963,56.0,14.0
964,42.0,16.0
965,25.0,15.0
966,35.0,14.0
967,45.0,15.0
968,48.0,20.0
969,45.0,16.0
970,43.0,13.0
971,47.0,20.0
972,41.0,18.0
973,37.0,15.0
974,39.0,19.0
975,39.0,18.0
976,32.0,20.0
977,34.0,24.0
978,33.0,20.0
979,26.0,13.0
980,25.0,19.0
981,36.0,19.0
982,45.0,19.0
983,32.0,20.0
984,41.0,21.0
985,37.0,14.0
986,36.0,20.0
987,38.0,15.0
988,42.0,23.0
989,44.0,16.0
990,44.0,12.0
991,45.0,14.0
992,52.0,28.0
993,29.0,21.0
994,32.0,22.0
995,33.0,16.0
996,32.0,20.0
997,37.0,16.0
998,44.0,11.0
999,48.0,17.0
