,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level
323,20.0,28.0,30.0,19.0
324,20.0,31.0,31.0,20.0
325,20.0,29.0,29.0,20.0
326,24.0,27.0,31.0,20.0
327,20.0,29.0,31.0,18.0
328,20.0,30.0,32.0,18.0
329,19.0,33.0,36.0,17.0
330,20.0,34.0,36.0,18.0
331,21.0,37.0,39.0,20.0
332,24.0,37.0,38.0,22.0
333,24.0,36.0,37.0,23.0
334,24.0,36.0,37.0,22.0
335,22.0,35.0,36.0,21.0
336,23.0,35.0,37.0,21.0
337,22.0,34.0,36.0,20.0
338,21.0,36.0,37.0,20.0
339,21.0,35.0,36.0,19.0
340,21.0,35.0,36.0,20.0
341,22.0,35.0,36.0,21.0
342,21.0,34.0,36.0,20.0
343,19.0,35.0,36.0,18.0
344,21.0,36.0,38.0,20.0
345,19.0,39.0,41.0,18.0
346,22.0,35.0,36.0,21.0
347,23.0,34.0,36.0,22.0
348,23.0,34.0,36.0,22.0
349,24.0,36.0,38.0,22.0
350,22.0,36.0,38.0,21.0
351,23.0,36.0,38.0,21.0
352,24.0,34.0,37.0,22.0
353,24.0,33.0,35.0,22.0
354,24.0,31.0,34.0,22.0
355,26.0,32.0,34.0,25.0
356,27.0,36.0,38.0,25.0
357,28.0,39.0,41.0,27.0
358,29.0,35.0,37.0,27.0
359,29.0,36.0,39.0,27.0
360,30.0,39.0,41.0,28.0
361,30.0,35.0,37.0,28.0
362,29.0,32.0,34.0,27.0
363,33.0,33.0,36.0,31.0
364,34.0,34.0,37.0,31.0
365,34.0,34.0,36.0,31.0
366,33.0,37.0,39.0,31.0
367,45.0,36.0,38.0,43.0
368,43.0,36.0,38.0,42.0
369,48.0,36.0,38.0,46.0
370,45.0,37.0,40.0,48.0
371,48.0,40.0,43.0,46.0
372,42.0,40.0,43.0,40.0
373,38.0,40.0,43.0,36.0
374,38.0,37.0,40.0,35.0
375,37.0,37.0,39.0,35.0
376,42.0,36.0,39.0,40.0
377,39.0,37.0,39.0,37.0
378,41.0,36.0,38.0,39.0
379,43.0,36.0,37.0,42.0
380,45.0,37.0,38.0,44.0
381,47.0,37.0,38.0,46.0
382,46.0,36.0,37.0,45.0
383,45.0,36.0,36.0,44.0
384,48.0,35.0,36.0,47.0
385,46.0,33.0,33.0,45.0
386,47.0,34.0,34.0,47.0
387,50.0,34.0,34.0,50.0
388,50.0,37.0,37.0,51.0
389,49.0,37.0,37.0,49.0
390,57.0,38.0,39.0,57.0
391,52.0,39.0,39.0,52.0
392,52.0,39.0,39.0,52.0
393,47.0,40.0,40.0,47.0
394,48.0,38.0,38.0,47.0
395,45.0,38.0,38.0,45.0
396,43.0,38.0,38.0,43.0
397,45.0,40.0,40.0,45.0
398,45.0,41.0,40.0,46.0
399,44.0,41.0,41.0,44.0
400,46.0,39.0,38.0,46.0
401,41.0,38.0,37.0,42.0
402,37.0,39.0,38.0,38.0
403,36.0,40.0,40.0,36.0
404,36.0,41.0,41.0,36.0
405,40.0,40.0,40.0,40.0
406,42.0,36.0,35.0,42.0
407,42.0,36.0,36.0,42.0
408,45.0,36.0,37.0,45.0
409,43.0,36.0,37.0,42.0
410,42.0,36.0,36.0,42.0
411,41.0,36.0,36.0,41.0
412,39.0,35.0,36.0,39.0
413,41.0,34.0,34.0,42.0
414,38.0,32.0,32.0,38.0
415,39.0,33.0,32.0,40.0
416,39.0,33.0,33.0,39.0
417,37.0,33.0,33.0,38.0
418,36.0,33.0,33.0,37.0
419,36.0,32.0,32.0,35.0
420,41.0,33.0,33.0,41.0
421,38.0,32.0,32.0,37.0
422,37.0,31.0,32.0,36.0
423,41.0,33.0,33.0,41.0
424,37.0,34.0,34.0,37.0
425,36.0,33.0,33.0,35.0
426,34.0,34.0,34.0,34.0
427,29.0,32.0,32.0,29.0
428,32.0,34.0,34.0,32.0
429,33.0,34.0,34.0,33.0
430,35.0,35.0,34.0,35.0
431,32.0,33.0,33.0,32.0
432,33.0,32.0,32.0,33.0
433,32.0,32.0,32.0,32.0
434,30.0,30.0,30.0,30.0
435,28.0,31.0,30.0,29.0
436,27.0,28.0,27.0,29.0
437,27.0,29.0,28.0,28.0
438,29.0,26.0,26.0,29.0
439,29.0,26.0,26.0,29.0
440,30.0,24.0,25.0,30.0
441,29.0,25.0,25.0,28.0
442,30.0,26.0,27.0,29.0
443,29.0,25.0,26.0,28.0
444,28.0,24.0,24.0,28.0
445,29.0,25.0,25.0,29.0
446,27.0,25.0,25.0,28.0
447,25.0,24.0,24.0,26.0
448,28.0,23.0,24.0,28.0
449,25.0,24.0,24.0,26.0
450,29.0,24.0,24.0,28.0
451,23.0,24.0,25.0,22.0
452,26.0,26.0,27.0,26.0
453,22.0,25.0,26.0,21.0
454,23.0,26.0,27.0,22.0
455,21.0,25.0,26.0,20.0
456,21.0,25.0,26.0,20.0
457,22.0,24.0,26.0,21.0
458,29.0,24.0,26.0,28.0
459,27.0,24.0,26.0,25.0
460,27.0,22.0,25.0,25.0
461,24.0,23.0,25.0,22.0
462,28.0,20.0,24.0,25.0
463,25.0,21.0,24.0,22.0
464,24.0,21.0,23.0,22.0
465,25.0,20.0,22.0,24.0
466,26.0,20.0,21.0,24.0
467,22.0,19.0,20.0,21.0
468,20.0,20.0,21.0,20.0
469,20.0,19.0,20.0,19.0
470,19.0,20.0,20.0,19.0
471,17.0,19.0,20.0,17.0
472,17.0,19.0,20.0,16.0
473,17.0,19.0,20.0,16.0
474,17.0,19.0,20.0,16.0
475,16.0,18.0,19.0,15.0
476,15.0,18.0,18.0,15.0
477,15.0,17.0,18.0,15.0
478,15.0,17.0,18.0,15.0
479,13.0,17.0,17.0,13.0
480,13.0,17.0,17.0,13.0
481,14.0,17.0,18.0,13.0
482,14.0,17.0,18.0,13.0
483,15.0,19.0,20.0,14.0
484,23.0,20.0,20.0,23.0
485,22.0,19.0,19.0,22.0
486,20.0,21.0,21.0,20.0
487,23.0,20.0,21.0,22.0
488,23.0,21.0,21.0,23.0
489,24.0,22.0,22.0,24.0
490,24.0,23.0,23.0,24.0
491,24.0,26.0,26.0,24.0
492,22.0,29.0,29.0,22.0
493,19.0,32.0,32.0,18.0
494,17.0,32.0,32.0,16.0
495,17.0,29.0,29.0,17.0
496,16.0,30.0,30.0,16.0
497,15.0,29.0,30.0,15.0
498,14.0,27.0,28.0,14.0
499,14.0,23.0,24.0,14.0
500,15.0,21.0,21.0,15.0
501,15.0,19.0,20.0,15.0
502,16.0,20.0,21.0,15.0
503,15.0,20.0,21.0,15.0
504,17.0,20.0,21.0,17.0
505,19.0,19.0,20.0,18.0
506,19.0,18.0,19.0,18.0
507,18.0,17.0,17.0,18.0
508,16.0,16.0,17.0,16.0
509,16.0,15.0,16.0,15.0
510,18.0,16.0,16.0,18.0
511,18.0,16.0,16.0,18.0
512,20.0,16.0,16.0,20.0
513,20.0,16.0,17.0,20.0
514,20.0,18.0,18.0,20.0
515,19.0,19.0,19.0,19.0
516,17.0,19.0,20.0,17.0
517,17.0,21.0,21.0,16.0
518,17.0,22.0,23.0,16.0
519,15.0,23.0,24.0,15.0
520,15.0,23.0,24.0,14.0
521,15.0,23.0,24.0,14.0
522,14.0,23.0,24.0,14.0
523,14.0,22.0,23.0,13.0
524,16.0,21.0,22.0,15.0
525,14.0,19.0,19.0,13.0
526,14.0,19.0,19.0,14.0
527,14.0,19.0,18.0,14.0
528,15.0,18.0,17.0,16.0
529,15.0,17.0,17.0,16.0
530,16.0,17.0,16.0,17.0
531,16.0,16.0,15.0,17.0
532,15.0,16.0,14.0,17.0
533,15.0,16.0,15.0,16.0
534,15.0,16.0,14.0,17.0
535,14.0,16.0,14.0,16.0
536,15.0,16.0,15.0,16.0
537,14.0,15.0,14.0,15.0
538,13.0,15.0,15.0,13.0
539,13.0,16.0,16.0,13.0
540,13.0,16.0,16.0,13.0
541,12.0,16.0,15.0,13.0
542,12.0,15.0,14.0,12.0
543,12.0,14.0,14.0,12.0
544,11.0,13.0,13.0,11.0
545,11.0,13.0,13.0,11.0
546,11.0,13.0,13.0,11.0
547,11.0,13.0,13.0,11.0
548,11.0,13.0,14.0,11.0
549,11.0,15.0,16.0,11.0
550,11.0,15.0,15.0,11.0
551,11.0,16.0,16.0,11.0
552,11.0,16.0,17.0,11.0
553,11.0,17.0,17.0,11.0
554,12.0,18.0,19.0,11.0
555,13.0,18.0,19.0,12.0
556,13.0,18.0,19.0,13.0
557,14.0,18.0,19.0,14.0
558,16.0,17.0,18.0,15.0
559,15.0,14.0,15.0,15.0
560,15.0,13.0,14.0,15.0
561,16.0,12.0,13.0,15.0
562,14.0,12.0,13.0,13.0
563,13.0,12.0,13.0,12.0
564,11.0,12.0,12.0,11.0
565,11.0,12.0,12.0,11.0
566,11.0,12.0,12.0,11.0
567,11.0,12.0,12.0,11.0
568,11.0,12.0,12.0,11.0
569,11.0,12.0,12.0,11.0
570,11.0,12.0,12.0,11.0
571,11.0,12.0,12.0,11.0
572,11.0,12.0,12.0,11.0
573,11.0,12.0,12.0,11.0
574,11.0,11.0,12.0,11.0
575,11.0,11.0,12.0,11.0
576,11.0,11.0,12.0,11.0
577,11.0,11.0,12.0,11.0
578,11.0,11.0,12.0,11.0
579,11.0,11.0,12.0,11.0
580,11.0,12.0,12.0,11.0
581,11.0,12.0,12.0,11.0
582,11.0,12.0,12.0,11.0
583,11.0,12.0,12.0,11.0
584,11.0,11.0,12.0,11.0
585,11.0,11.0,12.0,11.0
586,11.0,11.0,12.0,11.0
587,11.0,11.0,12.0,11.0
588,11.0,12.0,12.0,11.0
589,11.0,12.0,12.0,11.0
590,11.0,12.0,12.0,11.0
591,11.0,11.0,12.0,11.0
592,11.0,11.0,12.0,11.0
593,11.0,11.0,12.0,11.0
594,11.0,11.0,12.0,11.0
595,11.0,12.0,12.0,11.0
596,11.0,12.0,12.0,11.0
597,11.0,11.0,12.0,11.0
598,11.0,11.0,12.0,11.0
599,11.0,11.0,12.0,11.0
600,11.0,12.0,12.0,11.0
601,11.0,12.0,13.0,11.0
602,11.0,13.0,13.0,11.0
603,11.0,12.0,12.0,11.0
604,11.0,12.0,12.0,11.0
605,11.0,12.0,12.0,11.0
606,11.0,12.0,12.0,11.0
607,11.0,11.0,12.0,11.0
608,11.0,11.0,12.0,11.0
609,11.0,11.0,12.0,11.0
610,11.0,11.0,12.0,11.0
611,11.0,11.0,12.0,11.0
612,11.0,13.0,12.0,12.0
613,11.0,11.0,12.0,11.0
614,11.0,13.0,12.0,13.0
615,11.0,13.0,12.0,13.0
616,11.0,12.0,12.0,11.0
617,11.0,12.0,12.0,11.0
618,11.0,11.0,12.0,11.0
619,11.0,11.0,12.0,11.0
620,11.0,11.0,12.0,11.0
621,11.0,11.0,12.0,11.0
622,11.0,11.0,12.0,11.0
623,11.0,11.0,12.0,11.0
624,11.0,11.0,12.0,11.0
625,11.0,11.0,12.0,11.0
626,11.0,11.0,12.0,11.0
627,11.0,11.0,12.0,11.0
628,11.0,11.0,12.0,11.0
629,11.0,11.0,12.0,11.0
630,11.0,11.0,12.0,11.0
631,11.0,11.0,12.0,11.0
632,11.0,11.0,12.0,11.0
633,11.0,11.0,12.0,11.0
634,11.0,11.0,12.0,11.0
635,11.0,11.0,12.0,11.0
636,11.0,11.0,12.0,11.0
637,11.0,11.0,12.0,11.0
638,11.0,11.0,12.0,11.0
639,11.0,11.0,12.0,11.0
640,11.0,11.0,12.0,11.0
641,11.0,11.0,12.0,11.0
642,11.0,11.0,12.0,11.0
643,11.0,11.0,12.0,11.0
644,11.0,11.0,12.0,11.0
645,11.0,11.0,12.0,11.0
646,11.0,11.0,12.0,11.0
647,11.0,11.0,12.0,11.0
648,11.0,11.0,12.0,11.0
649,11.0,11.0,12.0,11.0
650,11.0,11.0,12.0,11.0
651,11.0,11.0,12.0,11.0
652,11.0,11.0,12.0,11.0
653,11.0,11.0,12.0,11.0
654,11.0,11.0,12.0,11.0
655,11.0,11.0,12.0,11.0
656,11.0,11.0,12.0,11.0
657,11.0,11.0,12.0,11.0
658,11.0,11.0,12.0,11.0
659,11.0,11.0,12.0,11.0
660,11.0,11.0,12.0,11.0
661,11.0,11.0,12.0,11.0
662,11.0,11.0,12.0,11.0
663,11.0,12.0,12.0,11.0
664,11.0,12.0,12.0,11.0
665,11.0,11.0,12.0,11.0
666,11.0,11.0,12.0,11.0
667,11.0,11.0,12.0,11.0
668,11.0,11.0,12.0,11.0
669,11.0,11.0,12.0,11.0
670,11.0,11.0,12.0,11.0
671,11.0,11.0,12.0,11.0
672,11.0,11.0,12.0,11.0
673,11.0,12.0,12.0,11.0
674,11.0,12.0,12.0,11.0
675,11.0,12.0,12.0,11.0
676,11.0,11.0,12.0,11.0
677,11.0,11.0,12.0,11.0
678,11.0,11.0,12.0,11.0
679,11.0,11.0,12.0,11.0
680,11.0,11.0,12.0,11.0
681,11.0,11.0,12.0,11.0
682,11.0,11.0,12.0,11.0
683,11.0,11.0,12.0,11.0
684,11.0,11.0,12.0,11.0
685,11.0,11.0,12.0,11.0
686,11.0,11.0,12.0,11.0
687,11.0,11.0,12.0,11.0
688,11.0,11.0,12.0,11.0
689,11.0,11.0,12.0,11.0
690,11.0,11.0,12.0,11.0
691,11.0,11.0,12.0,11.0
692,11.0,11.0,12.0,11.0
693,11.0,11.0,12.0,11.0
694,11.0,11.0,12.0,11.0
695,11.0,11.0,12.0,11.0
696,11.0,11.0,12.0,11.0
697,11.0,11.0,12.0,11.0
698,11.0,11.0,12.0,11.0
699,11.0,11.0,12.0,11.0
700,11.0,11.0,12.0,11.0
701,11.0,11.0,12.0,11.0
702,11.0,11.0,12.0,11.0
703,11.0,11.0,12.0,11.0
704,11.0,12.0,12.0,11.0
705,11.0,11.0,12.0,11.0
706,11.0,11.0,12.0,11.0
707,11.0,11.0,12.0,11.0
708,11.0,11.0,12.0,11.0
709,11.0,11.0,12.0,11.0
710,11.0,11.0,12.0,11.0
711,11.0,11.0,12.0,11.0
712,11.0,12.0,12.0,11.0
713,11.0,12.0,12.0,11.0
714,11.0,12.0,12.0,11.0
715,11.0,11.0,12.0,11.0
716,11.0,11.0,12.0,11.0
717,11.0,12.0,12.0,11.0
718,11.0,12.0,12.0,11.0
719,12.0,11.0,13.0,11.0
720,12.0,12.0,13.0,11.0
721,12.0,12.0,13.0,11.0
722,12.0,12.0,13.0,11.0
723,11.0,12.0,13.0,11.0
724,12.0,12.0,13.0,11.0
725,12.0,12.0,13.0,11.0
726,12.0,12.0,13.0,11.0
727,12.0,13.0,14.0,11.0
728,12.0,13.0,13.0,11.0
729,12.0,13.0,13.0,11.0
730,12.0,13.0,14.0,12.0
731,12.0,13.0,14.0,12.0
732,12.0,13.0,14.0,12.0
733,12.0,13.0,14.0,12.0
734,12.0,13.0,14.0,12.0
735,12.0,14.0,14.0,12.0
736,12.0,14.0,14.0,12.0
737,12.0,14.0,14.0,12.0
738,13.0,14.0,15.0,12.0
739,13.0,14.0,15.0,12.0
740,12.0,14.0,15.0,12.0
741,12.0,14.0,15.0,12.0
742,12.0,14.0,15.0,12.0
743,12.0,14.0,15.0,12.0
744,12.0,15.0,15.0,13.0
745,14.0,15.0,16.0,13.0
746,13.0,15.0,16.0,13.0
