,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel
260,3.0,3848.0,3262.0,330.0,3366.0,256.0,4398.0
261,3.0,3863.0,3263.0,321.0,3407.0,256.0,4426.0
262,3.0,3868.0,3262.0,319.0,3422.0,258.0,4447.0
263,3.0,3873.0,3257.0,324.0,3362.0,262.0,4552.0
264,3.0,3931.0,3259.0,333.0,3316.0,261.0,4602.0
265,3.0,3955.0,3257.0,331.0,3339.0,258.0,4616.0
266,3.0,3973.0,3256.0,328.0,3348.0,252.0,4628.0
267,3.0,3999.0,3255.0,330.0,3370.0,247.0,4638.0
268,3.0,4048.0,3252.0,339.0,3379.0,248.0,4657.0
269,3.0,4102.0,3256.0,350.0,3355.0,249.0,4690.0
270,3.0,4140.0,3254.0,351.0,3351.0,250.0,4690.0
271,3.0,4203.0,3256.0,343.0,3274.0,247.0,4684.0
272,3.0,4251.0,3256.0,338.0,3288.0,249.0,4691.0
273,3.0,4284.0,3255.0,336.0,3296.0,248.0,4726.0
274,3.0,4311.0,3254.0,336.0,3262.0,248.0,4758.0
275,3.0,4361.0,3252.0,338.0,3125.0,248.0,4767.0
276,3.0,4408.0,3255.0,350.0,2962.0,246.0,4728.0
277,3.0,4411.0,3254.0,352.0,2925.0,247.0,4722.0
278,3.0,4353.0,3253.0,354.0,2992.0,248.0,4725.0
279,3.0,4376.0,3251.0,355.0,3013.0,247.0,4726.0
280,3.0,4413.0,3252.0,355.0,2954.0,243.0,4717.0
281,3.0,4430.0,3253.0,347.0,2972.0,247.0,4696.0
282,3.0,4469.0,3253.0,345.0,2939.0,245.0,4704.0
283,3.0,4538.0,3250.0,344.0,2941.0,249.0,4702.0
284,3.0,4613.0,3250.0,351.0,2928.0,251.0,4710.0
285,3.0,4612.0,3254.0,350.0,2941.0,250.0,4718.0
286,3.0,4622.0,3254.0,345.0,2959.0,247.0,4719.0
287,3.0,4685.0,3254.0,329.0,2900.0,249.0,4697.0
288,3.0,4746.0,3252.0,319.0,2927.0,246.0,4632.0
289,3.0,4753.0,3253.0,319.0,2913.0,242.0,4655.0
290,3.0,4759.0,3250.0,315.0,2910.0,246.0,4655.0
291,3.0,4791.0,3251.0,309.0,2929.0,244.0,4691.0
292,3.0,4796.0,3249.0,295.0,2958.0,242.0,4703.0
293,3.0,4800.0,3248.0,285.0,2957.0,245.0,4712.0
294,3.0,4784.0,3251.0,283.0,2953.0,244.0,4736.0
295,3.0,4732.0,3251.0,276.0,2954.0,248.0,4777.0
296,3.0,4718.0,3250.0,268.0,2972.0,247.0,4846.0
297,3.0,4748.0,3249.0,269.0,2984.0,247.0,4888.0
298,3.0,4784.0,3249.0,270.0,3048.0,248.0,4880.0
299,3.0,4820.0,3248.0,266.0,3151.0,247.0,4806.0
300,3.0,4847.0,3248.0,266.0,3265.0,244.0,4746.0
301,3.0,4848.0,3247.0,274.0,3274.0,244.0,4750.0
302,3.0,4827.0,3248.0,256.0,3337.0,243.0,4774.0
303,3.0,4808.0,3245.0,261.0,3352.0,242.0,4779.0
304,3.0,4808.0,3245.0,261.0,3352.0,242.0,4779.0
305,3.0,4808.0,3245.0,261.0,3352.0,242.0,4779.0
306,3.0,4834.0,3246.0,272.0,3340.0,250.0,4839.0
307,3.0,4834.0,3246.0,272.0,3340.0,250.0,4839.0
308,3.0,4834.0,3246.0,272.0,3340.0,250.0,4839.0
309,3.0,4834.0,3246.0,272.0,3340.0,250.0,4839.0
310,3.0,4834.0,3246.0,272.0,3340.0,250.0,4839.0
311,12.0,4870.0,3245.0,241.0,3410.0,247.0,4798.0
312,12.0,4891.0,3244.0,238.0,3354.0,248.0,4804.0
313,12.0,4925.0,3242.0,232.0,3355.0,245.0,4806.0
314,12.0,4918.0,3244.0,229.0,3355.0,252.0,4832.0
315,12.0,4927.0,3243.0,224.0,3320.0,249.0,4844.0
316,12.0,4934.0,3243.0,217.0,3368.0,250.0,4821.0
317,12.0,4930.0,3241.0,216.0,3424.0,244.0,4810.0
318,12.0,4937.0,3244.0,210.0,3460.0,246.0,4833.0
319,12.0,4950.0,3240.0,211.0,3473.0,243.0,4851.0
320,12.0,4941.0,3244.0,203.0,3485.0,246.0,4848.0
321,12.0,4947.0,3241.0,206.0,3517.0,247.0,4870.0
322,12.0,4955.0,3244.0,208.0,3524.0,246.0,4939.0
323,12.0,4996.0,3243.0,204.0,3440.0,247.0,5065.0
324,12.0,5028.0,3243.0,200.0,3482.0,251.0,5092.0
325,12.0,4977.0,3242.0,203.0,3485.0,252.0,5114.0
