,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
149,99.0,24.0,18.0,29.0,53.0,21.0,0.0,0.0,12.0,0.0
150,111.0,24.0,18.0,29.0,53.0,21.0,0.0,0.0,12.0,0.0
151,111.0,20.0,16.0,16.0,37.0,23.0,0.0,0.0,0.0,9.0
152,131.0,20.0,16.0,16.0,37.0,23.0,0.0,0.0,0.0,9.0
153,131.0,15.0,19.0,9.0,41.0,12.0,8.0,0.0,0.0,5.0
154,105.0,15.0,19.0,9.0,41.0,12.0,8.0,0.0,0.0,5.0
155,105.0,7.0,16.0,18.0,50.0,14.0,10.0,0.0,15.0,1.0
156,84.0,7.0,16.0,18.0,50.0,14.0,10.0,0.0,15.0,1.0
157,84.0,10.0,12.0,27.0,45.0,0.0,10.0,0.0,12.0,2.0
158,29.0,10.0,12.0,27.0,45.0,0.0,10.0,0.0,12.0,2.0
159,29.0,13.0,6.0,32.0,54.0,17.0,0.0,0.0,15.0,3.0
160,22.0,13.0,6.0,32.0,54.0,17.0,0.0,0.0,15.0,3.0
161,22.0,12.0,13.0,28.0,77.0,10.0,0.0,14.0,35.0,6.0
162,22.0,12.0,13.0,28.0,77.0,10.0,0.0,14.0,35.0,6.0
163,22.0,18.0,13.0,58.0,80.0,14.0,0.0,14.0,43.0,6.0
164,15.0,18.0,13.0,58.0,80.0,14.0,0.0,14.0,43.0,6.0
165,15.0,24.0,0.0,59.0,66.0,25.0,0.0,1.0,60.0,19.0
166,15.0,24.0,0.0,59.0,66.0,25.0,0.0,1.0,60.0,19.0
167,15.0,40.0,0.0,69.0,83.0,49.0,0.0,4.0,82.0,25.0
168,32.0,40.0,0.0,69.0,83.0,49.0,0.0,4.0,82.0,25.0
169,32.0,46.0,0.0,78.0,90.0,42.0,21.0,4.0,67.0,26.0
170,56.0,46.0,0.0,78.0,90.0,42.0,21.0,4.0,67.0,26.0
171,56.0,57.0,0.0,78.0,90.0,45.0,24.0,0.0,76.0,21.0
172,71.0,57.0,0.0,78.0,90.0,45.0,24.0,0.0,76.0,21.0
173,71.0,43.0,0.0,13.0,28.0,47.0,25.0,0.0,67.0,8.0
174,81.0,43.0,0.0,13.0,28.0,47.0,25.0,0.0,67.0,8.0
175,81.0,37.0,0.0,25.0,29.0,40.0,21.0,1.0,67.0,2.0
176,67.0,37.0,0.0,25.0,29.0,40.0,21.0,1.0,67.0,2.0
177,67.0,22.0,10.0,41.0,20.0,44.0,17.0,3.0,18.0,1.0
178,57.0,22.0,10.0,41.0,20.0,44.0,17.0,3.0,18.0,1.0
179,57.0,27.0,21.0,52.0,14.0,56.0,15.0,4.0,18.0,1.0
180,31.0,27.0,21.0,52.0,14.0,56.0,15.0,4.0,18.0,1.0
181,31.0,27.0,23.0,36.0,9.0,58.0,15.0,3.0,22.0,1.0
182,33.0,27.0,23.0,36.0,9.0,58.0,15.0,3.0,22.0,1.0
183,33.0,31.0,21.0,19.0,8.0,62.0,10.0,5.0,28.0,1.0
184,27.0,31.0,21.0,19.0,8.0,62.0,10.0,5.0,28.0,1.0
185,27.0,32.0,34.0,22.0,9.0,64.0,11.0,9.0,33.0,2.0
186,25.0,32.0,34.0,22.0,9.0,64.0,11.0,9.0,33.0,2.0
187,25.0,23.0,51.0,22.0,19.0,72.0,15.0,8.0,27.0,3.0
188,24.0,23.0,51.0,22.0,19.0,72.0,15.0,8.0,27.0,3.0
189,24.0,21.0,50.0,25.0,20.0,69.0,24.0,7.0,28.0,5.0
190,29.0,21.0,50.0,25.0,20.0,69.0,24.0,7.0,28.0,5.0
191,29.0,22.0,47.0,28.0,19.0,65.0,24.0,8.0,30.0,4.0
192,34.0,22.0,47.0,28.0,19.0,65.0,24.0,8.0,30.0,4.0
193,34.0,28.0,43.0,30.0,9.0,67.0,10.0,7.0,21.0,4.0
194,37.0,28.0,43.0,30.0,9.0,67.0,10.0,7.0,21.0,4.0
195,37.0,37.0,53.0,27.0,8.0,87.0,8.0,8.0,13.0,3.0
196,34.0,37.0,53.0,27.0,8.0,87.0,8.0,8.0,13.0,3.0
197,34.0,41.0,86.0,23.0,6.0,92.0,9.0,10.0,15.0,4.0
198,32.0,41.0,86.0,23.0,6.0,92.0,9.0,10.0,15.0,4.0
199,32.0,48.0,134.0,25.0,7.0,97.0,15.0,12.0,17.0,7.0
200,37.0,48.0,134.0,25.0,7.0,97.0,15.0,12.0,17.0,7.0
201,37.0,63.0,89.0,33.0,11.0,99.0,15.0,12.0,25.0,9.0
202,44.0,63.0,89.0,33.0,11.0,99.0,15.0,12.0,25.0,9.0
203,44.0,63.0,89.0,33.0,11.0,99.0,15.0,12.0,25.0,9.0
204,44.0,94.0,58.0,41.0,11.0,96.0,10.0,17.0,28.0,8.0
205,39.0,106.0,21.0,31.0,10.0,103.0,10.0,38.0,30.0,7.0
206,45.0,106.0,21.0,31.0,10.0,103.0,10.0,38.0,30.0,7.0
207,45.0,107.0,19.0,20.0,9.0,93.0,22.0,14.0,27.0,5.0
208,46.0,107.0,19.0,20.0,9.0,93.0,22.0,14.0,27.0,5.0
209,46.0,108.0,24.0,31.0,15.0,100.0,21.0,4.0,17.0,3.0
210,52.0,108.0,24.0,31.0,15.0,100.0,21.0,4.0,17.0,3.0
211,52.0,121.0,32.0,38.0,17.0,135.0,21.0,1.0,23.0,6.0
212,61.0,121.0,32.0,38.0,17.0,135.0,21.0,1.0,23.0,6.0
213,61.0,125.0,43.0,54.0,14.0,121.0,15.0,4.0,27.0,9.0
214,59.0,125.0,43.0,54.0,14.0,121.0,15.0,4.0,27.0,9.0
215,59.0,121.0,60.0,61.0,14.0,135.0,24.0,8.0,31.0,8.0
216,65.0,121.0,60.0,61.0,14.0,135.0,24.0,8.0,31.0,8.0
217,65.0,115.0,14.0,62.0,18.0,128.0,50.0,10.0,35.0,8.0
218,77.0,115.0,14.0,62.0,18.0,128.0,50.0,10.0,35.0,8.0
219,77.0,106.0,14.0,31.0,16.0,116.0,51.0,3.0,32.0,8.0
220,92.0,106.0,14.0,31.0,16.0,116.0,51.0,3.0,32.0,8.0
221,92.0,111.0,5.0,32.0,17.0,129.0,40.0,3.0,37.0,9.0
222,103.0,111.0,5.0,32.0,17.0,129.0,40.0,3.0,37.0,9.0
223,103.0,106.0,5.0,11.0,17.0,129.0,23.0,2.0,40.0,13.0
224,135.0,106.0,5.0,11.0,17.0,129.0,23.0,2.0,40.0,13.0
225,135.0,83.0,12.0,15.0,20.0,120.0,12.0,3.0,36.0,20.0
226,154.0,83.0,12.0,15.0,20.0,120.0,12.0,3.0,36.0,20.0
227,154.0,80.0,10.0,28.0,19.0,130.0,14.0,4.0,41.0,33.0
228,175.0,80.0,10.0,28.0,19.0,130.0,14.0,4.0,41.0,33.0
229,175.0,102.0,7.0,35.0,17.0,145.0,15.0,4.0,45.0,26.0
230,179.0,102.0,7.0,35.0,17.0,145.0,15.0,4.0,45.0,26.0
231,179.0,117.0,9.0,30.0,9.0,164.0,23.0,4.0,46.0,24.0
232,198.0,117.0,9.0,30.0,9.0,164.0,23.0,4.0,46.0,24.0
233,198.0,103.0,2.0,28.0,8.0,181.0,51.0,4.0,30.0,8.0
234,215.0,103.0,2.0,28.0,8.0,181.0,51.0,4.0,30.0,8.0
235,215.0,57.0,11.0,34.0,12.0,151.0,0.0,10.0,25.0,10.0
236,153.0,57.0,11.0,34.0,12.0,151.0,0.0,10.0,25.0,10.0
237,153.0,25.0,22.0,44.0,22.0,148.0,0.0,12.0,29.0,19.0
238,166.0,25.0,22.0,44.0,22.0,148.0,0.0,12.0,29.0,19.0
239,166.0,21.0,22.0,40.0,25.0,176.0,9.0,5.0,45.0,30.0
240,159.0,21.0,22.0,40.0,25.0,176.0,9.0,5.0,45.0,30.0
241,159.0,27.0,23.0,40.0,24.0,173.0,18.0,6.0,52.0,39.0
242,129.0,27.0,23.0,40.0,24.0,173.0,18.0,6.0,52.0,39.0
243,129.0,31.0,0.0,40.0,16.0,159.0,27.0,5.0,63.0,40.0
244,134.0,31.0,0.0,40.0,16.0,159.0,27.0,5.0,63.0,40.0
245,134.0,32.0,11.0,37.0,15.0,151.0,14.0,2.0,49.0,46.0
246,167.0,32.0,11.0,37.0,15.0,151.0,14.0,2.0,49.0,46.0
247,167.0,48.0,11.0,45.0,18.0,148.0,42.0,2.0,24.0,60.0
248,112.0,48.0,11.0,45.0,18.0,148.0,42.0,2.0,24.0,60.0
249,112.0,48.0,0.0,43.0,17.0,157.0,42.0,4.0,59.0,31.0
250,108.0,48.0,0.0,43.0,17.0,157.0,42.0,4.0,59.0,31.0
251,108.0,34.0,0.0,34.0,10.0,162.0,19.0,5.0,53.0,31.0
252,139.0,34.0,0.0,34.0,10.0,162.0,19.0,5.0,53.0,31.0
253,139.0,27.0,13.0,18.0,5.0,202.0,49.0,4.0,47.0,13.0
254,148.0,27.0,13.0,18.0,5.0,202.0,49.0,4.0,47.0,13.0
255,148.0,0.0,13.0,11.0,7.0,228.0,61.0,0.0,13.0,9.0
