,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
377,118.0,11.0,15.0
378,118.0,11.0,15.0
379,118.0,11.0,15.0
380,92.0,11.0,15.0
381,92.0,11.0,14.0
382,92.0,13.0,14.0
383,92.0,13.0,14.0
384,92.0,13.0,14.0
385,92.0,13.0,14.0
386,104.0,13.0,14.0
387,104.0,13.0,6.0
388,104.0,13.0,6.0
389,104.0,13.0,6.0
390,104.0,13.0,6.0
391,104.0,13.0,6.0
392,112.0,13.0,6.0
393,112.0,13.0,9.0
394,112.0,18.0,9.0
395,112.0,18.0,9.0
396,112.0,18.0,9.0
397,112.0,18.0,9.0
398,95.0,18.0,9.0
399,95.0,18.0,11.0
400,95.0,26.0,11.0
401,95.0,26.0,11.0
402,95.0,26.0,11.0
403,95.0,26.0,11.0
404,101.0,26.0,11.0
405,101.0,26.0,13.0
406,101.0,33.0,13.0
407,101.0,33.0,13.0
408,101.0,33.0,13.0
409,101.0,33.0,13.0
410,86.0,33.0,13.0
411,86.0,33.0,15.0
412,86.0,33.0,15.0
413,86.0,33.0,15.0
414,86.0,33.0,15.0
415,86.0,33.0,15.0
416,79.0,33.0,15.0
417,79.0,33.0,12.0
418,79.0,34.0,12.0
419,79.0,34.0,12.0
420,79.0,34.0,12.0
421,79.0,34.0,12.0
422,72.0,34.0,12.0
423,72.0,34.0,8.0
424,72.0,44.0,8.0
425,72.0,44.0,8.0
426,72.0,44.0,8.0
427,64.0,44.0,8.0
428,64.0,44.0,8.0
429,64.0,44.0,4.0
430,64.0,49.0,4.0
431,64.0,49.0,4.0
432,64.0,49.0,4.0
433,48.0,49.0,4.0
434,48.0,49.0,4.0
435,48.0,49.0,13.0
436,48.0,53.0,13.0
437,48.0,53.0,13.0
438,48.0,53.0,13.0
439,58.0,53.0,13.0
440,58.0,53.0,13.0
441,58.0,67.0,22.0
442,58.0,67.0,22.0
443,58.0,67.0,22.0
444,58.0,67.0,22.0
445,68.0,67.0,22.0
446,68.0,67.0,22.0
447,68.0,72.0,20.0
448,68.0,72.0,20.0
449,68.0,72.0,20.0
450,68.0,72.0,20.0
451,30.0,72.0,20.0
452,30.0,72.0,20.0
453,30.0,69.0,16.0
454,30.0,69.0,16.0
455,30.0,69.0,16.0
456,30.0,69.0,16.0
457,37.0,69.0,16.0
458,37.0,69.0,16.0
459,37.0,54.0,17.0
460,37.0,54.0,17.0
461,37.0,54.0,17.0
462,37.0,54.0,17.0
463,36.0,54.0,17.0
464,36.0,54.0,17.0
465,36.0,20.0,21.0
466,36.0,20.0,21.0
467,36.0,20.0,21.0
468,36.0,20.0,21.0
469,31.0,20.0,21.0
470,31.0,20.0,21.0
471,31.0,35.0,24.0
472,31.0,35.0,24.0
473,31.0,35.0,24.0
474,31.0,35.0,24.0
475,17.0,35.0,24.0
476,17.0,35.0,24.0
477,17.0,28.0,25.0
478,17.0,28.0,25.0
479,17.0,28.0,25.0
480,17.0,28.0,25.0
481,22.0,28.0,25.0
482,22.0,28.0,25.0
483,22.0,29.0,10.0
484,22.0,29.0,10.0
485,22.0,29.0,10.0
486,22.0,29.0,10.0
487,25.0,29.0,10.0
488,25.0,29.0,10.0
489,25.0,27.0,12.0
490,25.0,27.0,12.0
491,25.0,27.0,12.0
492,25.0,27.0,12.0
493,9.0,27.0,12.0
494,9.0,27.0,12.0
495,9.0,19.0,12.0
496,9.0,19.0,12.0
497,9.0,19.0,12.0
498,9.0,19.0,12.0
499,17.0,19.0,12.0
500,17.0,19.0,12.0
501,17.0,47.0,0.0
502,17.0,47.0,0.0
503,17.0,47.0,0.0
504,17.0,47.0,0.0
505,22.0,47.0,0.0
506,22.0,47.0,0.0
507,22.0,47.0,0.0
508,22.0,47.0,0.0
509,22.0,47.0,0.0
510,22.0,47.0,0.0
511,25.0,47.0,0.0
512,25.0,47.0,0.0
513,25.0,19.0,0.0
514,25.0,19.0,0.0
515,25.0,19.0,0.0
516,25.0,19.0,0.0
517,32.0,19.0,0.0
518,32.0,15.0,0.0
519,32.0,15.0,0.0
520,32.0,15.0,0.0
521,32.0,15.0,0.0
522,32.0,15.0,0.0
523,29.0,15.0,0.0
524,29.0,10.0,0.0
525,29.0,10.0,6.0
526,29.0,10.0,6.0
527,29.0,10.0,6.0
528,29.0,10.0,6.0
529,30.0,10.0,6.0
530,30.0,12.0,6.0
531,30.0,12.0,6.0
532,30.0,12.0,6.0
533,30.0,12.0,6.0
534,30.0,12.0,6.0
535,40.0,12.0,6.0
536,40.0,11.0,6.0
537,40.0,11.0,0.0
538,40.0,11.0,0.0
539,40.0,11.0,0.0
540,40.0,11.0,0.0
541,46.0,11.0,0.0
542,46.0,11.0,0.0
543,46.0,11.0,11.0
544,46.0,11.0,11.0
545,46.0,11.0,11.0
546,46.0,11.0,11.0
547,61.0,11.0,11.0
548,61.0,15.0,11.0
549,61.0,15.0,34.0
550,61.0,15.0,34.0
551,61.0,15.0,34.0
552,61.0,15.0,34.0
553,57.0,15.0,34.0
554,57.0,15.0,34.0
555,57.0,15.0,34.0
556,57.0,15.0,34.0
557,57.0,15.0,34.0
558,57.0,15.0,34.0
559,65.0,10.0,34.0
560,65.0,10.0,34.0
561,65.0,10.0,11.0
562,65.0,10.0,11.0
563,65.0,10.0,11.0
564,80.0,10.0,11.0
565,80.0,24.0,11.0
566,80.0,24.0,11.0
567,80.0,24.0,12.0
568,80.0,24.0,12.0
569,84.0,24.0,12.0
570,84.0,24.0,12.0
571,84.0,39.0,12.0
572,84.0,39.0,10.0
573,84.0,39.0,10.0
574,84.0,39.0,10.0
575,77.0,39.0,10.0
576,77.0,36.0,9.0
577,77.0,36.0,9.0
578,77.0,36.0,9.0
579,77.0,36.0,9.0
580,77.0,36.0,9.0
581,150.0,11.0,9.0
582,150.0,11.0,8.0
583,150.0,11.0,8.0
584,150.0,11.0,8.0
585,150.0,11.0,8.0
586,150.0,11.0,8.0
587,103.0,9.0,6.0
588,103.0,9.0,6.0
589,103.0,9.0,6.0
590,103.0,9.0,6.0
591,103.0,9.0,6.0
592,103.0,9.0,6.0
593,101.0,16.0,5.0
594,101.0,16.0,5.0
595,101.0,16.0,5.0
596,101.0,16.0,5.0
597,101.0,16.0,5.0
598,101.0,16.0,5.0
599,79.0,18.0,5.0
600,79.0,18.0,5.0
601,79.0,18.0,5.0
602,79.0,18.0,5.0
603,79.0,18.0,5.0
604,79.0,18.0,5.0
605,76.0,16.0,6.0
606,76.0,16.0,6.0
607,76.0,16.0,6.0
608,76.0,16.0,6.0
609,76.0,16.0,6.0
610,76.0,16.0,6.0
611,93.0,25.0,6.0
612,93.0,25.0,6.0
613,93.0,25.0,6.0
614,93.0,25.0,6.0
615,93.0,25.0,6.0
616,93.0,25.0,6.0
617,97.0,31.0,5.0
618,97.0,31.0,5.0
619,97.0,31.0,5.0
620,97.0,31.0,5.0
621,97.0,31.0,5.0
622,97.0,31.0,5.0
623,105.0,35.0,9.0
624,105.0,35.0,9.0
625,105.0,35.0,9.0
626,105.0,35.0,9.0
627,105.0,35.0,9.0
628,105.0,35.0,9.0
629,127.0,38.0,12.0
630,127.0,38.0,12.0
631,127.0,38.0,12.0
632,127.0,38.0,12.0
633,127.0,38.0,12.0
634,126.0,38.0,12.0
635,126.0,43.0,19.0
636,126.0,43.0,19.0
637,126.0,43.0,19.0
638,126.0,43.0,19.0
639,126.0,43.0,19.0
640,103.0,43.0,32.0
641,103.0,45.0,32.0
642,103.0,45.0,32.0
643,103.0,45.0,32.0
644,103.0,45.0,32.0
645,103.0,45.0,32.0
646,103.0,46.0,27.0
647,103.0,46.0,27.0
648,103.0,46.0,27.0
649,103.0,46.0,27.0
650,103.0,46.0,27.0
651,103.0,46.0,27.0
652,106.0,52.0,15.0
653,106.0,52.0,15.0
654,106.0,52.0,15.0
655,106.0,52.0,15.0
656,106.0,52.0,15.0
657,102.0,75.0,15.0
658,102.0,75.0,14.0
659,102.0,75.0,14.0
660,102.0,75.0,14.0
661,102.0,75.0,14.0
662,102.0,75.0,14.0
663,135.0,79.0,13.0
664,135.0,79.0,13.0
665,135.0,79.0,13.0
666,135.0,79.0,13.0
667,135.0,79.0,13.0
668,135.0,87.0,13.0
669,129.0,87.0,12.0
670,129.0,87.0,12.0
671,129.0,87.0,12.0
672,129.0,87.0,12.0
673,129.0,87.0,12.0
674,129.0,96.0,12.0
675,168.0,96.0,11.0
676,168.0,96.0,11.0
677,168.0,96.0,11.0
678,168.0,96.0,11.0
679,168.0,96.0,11.0
680,168.0,86.0,11.0
681,115.0,86.0,14.0
682,115.0,86.0,14.0
683,115.0,86.0,14.0
684,115.0,86.0,14.0
685,115.0,72.0,14.0
686,115.0,72.0,14.0
687,98.0,72.0,19.0
688,98.0,72.0,19.0
689,98.0,72.0,19.0
690,98.0,72.0,19.0
691,98.0,64.0,19.0
692,98.0,64.0,19.0
693,93.0,64.0,24.0
694,93.0,64.0,24.0
695,93.0,64.0,24.0
696,93.0,64.0,24.0
697,93.0,48.0,24.0
698,93.0,48.0,24.0
699,88.0,48.0,25.0
700,88.0,48.0,25.0
701,88.0,48.0,25.0
702,88.0,48.0,25.0
703,88.0,61.0,25.0
704,88.0,61.0,25.0
705,121.0,61.0,16.0
706,121.0,61.0,16.0
707,121.0,61.0,16.0
708,121.0,61.0,16.0
709,121.0,70.0,16.0
710,121.0,70.0,5.0
711,126.0,70.0,5.0
712,126.0,70.0,5.0
713,126.0,70.0,5.0
714,126.0,74.0,5.0
715,126.0,74.0,5.0
716,126.0,74.0,5.0
717,111.0,74.0,5.0
718,111.0,74.0,5.0
719,111.0,74.0,5.0
720,111.0,86.0,5.0
721,111.0,86.0,5.0
722,111.0,86.0,7.0
723,108.0,86.0,7.0
724,108.0,86.0,7.0
725,108.0,86.0,7.0
726,108.0,105.0,7.0
727,108.0,105.0,7.0
728,108.0,105.0,7.0
729,117.0,105.0,7.0
730,117.0,105.0,7.0
731,117.0,122.0,7.0
732,117.0,122.0,7.0
733,117.0,122.0,10.0
734,117.0,122.0,10.0
735,128.0,122.0,10.0
736,128.0,122.0,10.0
737,128.0,185.0,10.0
738,128.0,185.0,10.0
739,128.0,185.0,12.0
740,128.0,185.0,12.0
741,140.0,185.0,12.0
742,140.0,182.0,12.0
743,140.0,182.0,12.0
744,140.0,182.0,12.0
745,140.0,182.0,17.0
746,140.0,182.0,17.0
747,164.0,182.0,17.0
748,164.0,152.0,17.0
749,164.0,152.0,17.0
750,164.0,152.0,17.0
751,164.0,152.0,24.0
752,164.0,152.0,24.0
753,158.0,152.0,24.0
754,158.0,164.0,24.0
755,158.0,164.0,24.0
756,158.0,164.0,24.0
757,158.0,164.0,41.0
758,158.0,164.0,41.0
759,110.0,164.0,41.0
760,110.0,177.0,41.0
761,110.0,177.0,41.0
762,110.0,177.0,41.0
763,110.0,177.0,74.0
764,110.0,177.0,74.0
765,82.0,93.0,74.0
766,82.0,93.0,74.0
767,82.0,93.0,74.0
768,82.0,93.0,74.0
769,82.0,93.0,51.0
770,82.0,93.0,51.0
771,81.0,107.0,51.0
772,81.0,107.0,51.0
773,81.0,107.0,51.0
774,81.0,107.0,51.0
775,81.0,107.0,19.0
776,81.0,107.0,19.0
777,61.0,190.0,19.0
778,61.0,190.0,19.0
779,61.0,190.0,19.0
780,61.0,190.0,19.0
781,61.0,190.0,23.0
782,61.0,190.0,23.0
783,41.0,170.0,23.0
784,41.0,170.0,23.0
785,41.0,170.0,23.0
786,41.0,170.0,23.0
787,41.0,170.0,14.0
788,41.0,170.0,14.0
789,47.0,178.0,14.0
790,47.0,178.0,14.0
791,47.0,178.0,14.0
792,47.0,178.0,14.0
793,47.0,178.0,6.0
794,47.0,178.0,6.0
795,36.0,175.0,6.0
796,36.0,175.0,6.0
797,36.0,175.0,6.0
798,36.0,175.0,6.0
799,36.0,175.0,11.0
800,36.0,175.0,11.0
801,26.0,174.0,11.0
802,26.0,174.0,11.0
803,26.0,174.0,11.0
804,26.0,174.0,11.0
805,26.0,174.0,11.0
806,26.0,174.0,11.0
807,37.0,221.0,11.0
808,37.0,221.0,11.0
809,37.0,221.0,11.0
810,37.0,221.0,11.0
811,37.0,221.0,4.0
812,37.0,221.0,4.0
813,56.0,221.0,4.0
814,56.0,221.0,4.0
815,56.0,221.0,4.0
816,56.0,221.0,16.0
817,56.0,221.0,16.0
818,56.0,111.0,16.0
819,61.0,111.0,16.0
820,61.0,111.0,16.0
821,61.0,111.0,16.0
822,61.0,111.0,16.0
823,61.0,111.0,16.0
824,60.0,108.0,16.0
825,60.0,108.0,16.0
826,60.0,108.0,16.0
827,60.0,108.0,16.0
828,60.0,108.0,16.0
829,60.0,75.0,16.0
830,58.0,75.0,16.0
831,58.0,75.0,16.0
832,58.0,75.0,16.0
833,58.0,75.0,14.0
834,58.0,75.0,14.0
835,58.0,26.0,14.0
836,58.0,26.0,14.0
837,58.0,26.0,14.0
838,58.0,26.0,14.0
839,58.0,26.0,10.0
840,58.0,26.0,10.0
841,60.0,21.0,10.0
842,60.0,21.0,10.0
843,60.0,21.0,10.0
844,60.0,21.0,8.0
845,60.0,21.0,8.0
846,60.0,21.0,8.0
847,65.0,21.0,8.0
848,65.0,21.0,8.0
849,65.0,21.0,8.0
850,65.0,21.0,5.0
851,65.0,21.0,5.0
852,65.0,17.0,5.0
853,86.0,17.0,5.0
854,86.0,17.0,5.0
855,86.0,17.0,5.0
856,86.0,17.0,7.0
857,86.0,17.0,7.0
858,86.0,15.0,7.0
859,72.0,15.0,7.0
860,72.0,15.0,7.0
861,72.0,15.0,7.0
862,72.0,15.0,7.0
863,72.0,8.0,7.0
864,72.0,8.0,7.0
865,80.0,8.0,7.0
866,80.0,8.0,7.0
867,80.0,8.0,3.0
868,80.0,8.0,3.0
869,80.0,6.0,3.0
870,80.0,6.0,3.0
871,101.0,6.0,3.0
872,101.0,6.0,3.0
873,101.0,6.0,2.0
874,101.0,6.0,2.0
875,101.0,8.0,2.0
876,101.0,8.0,2.0
877,115.0,8.0,2.0
878,115.0,8.0,2.0
879,115.0,8.0,1.0
880,115.0,8.0,1.0
881,115.0,9.0,1.0
882,115.0,9.0,1.0
883,71.0,9.0,1.0
884,71.0,9.0,1.0
885,71.0,9.0,4.0
886,71.0,9.0,4.0
887,71.0,10.0,4.0
888,71.0,10.0,4.0
889,68.0,10.0,4.0
890,68.0,10.0,4.0
891,68.0,10.0,6.0
892,68.0,10.0,6.0
893,68.0,13.0,6.0
894,78.0,13.0,6.0
895,78.0,13.0,6.0
896,78.0,13.0,2.0
897,78.0,13.0,2.0
898,78.0,20.0,2.0
899,78.0,20.0,2.0
900,102.0,20.0,2.0
901,102.0,20.0,2.0
902,102.0,20.0,6.0
