,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-north,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-overall,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-millwd,electricity-load-nyiso-mhk_valley
87,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7319.905,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
88,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7326.0635,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
89,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7326.0635,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
90,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7326.0635,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
91,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7326.0635,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
92,876.0199,1278.4062,621.8009,1837.5583,1623.6094,7326.0635,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
93,876.0199,1289.758,601.5365,1837.5583,1657.6038,7326.0635,21508.723499999996,2039.3323,1387.8818,3346.8223,388.2715,913.3417
94,864.4838,1289.758,601.5365,1820.9735,1657.6038,7326.0635,21508.723499999996,2039.3323,1387.8818,3346.8223,388.2715,913.3417
95,864.4838,1289.758,601.5365,1820.9735,1657.6038,7198.7183,21508.723499999996,2039.3323,1387.8818,3346.8223,388.2715,913.3417
96,864.4838,1283.0475,596.0354,1820.9735,1643.989,7198.7183,21346.725,1966.8691,1376.0912,3348.03,380.552,924.758
97,866.4886,1289.2842,594.8113,1832.3246,1645.02,7198.7183,21269.8967,2026.5596,1365.102,3314.2686,380.6492,921.9011
98,855.7833,1282.7676,602.0964,1808.5244,1619.3209,7128.5396,21260.9672,2020.2222,1389.4354,3298.163,378.2475,923.863
99,861.572,1289.6816,590.5528,1819.6537,1645.9915,7067.993,21253.5152,2004.6812,1376.9651,3308.9478,375.0502,932.0179
100,862.2673,1284.0371,592.8689,1811.3481,1638.2123,7065.6255,21216.970400000002,2008.6774,1369.234,3307.287,376.6255,929.1932
101,857.4294,1270.5457,588.135,1808.3402,1637.8466,7056.0117,21292.322299999996,2027.0013,1390.0677,3308.9514,380.8141,931.5369
102,876.3286,1281.3328,595.9498,1813.967,1652.2146,7045.0654,21221.0136,2034.4128,1390.9677,3289.2554,378.0091,927.0515
103,863.3283,1277.0023,590.3641,1794.2146,1645.5764,7067.128,21224.2817,2030.094,1383.7017,3319.1565,372.9815,923.0894
104,867.6854,1277.0042,583.6882,1786.1011,1640.7178,7014.277,21232.202599999997,2050.3142,1396.7383,3323.348,383.9768,931.8759
105,855.5538,1277.0042,583.6882,1772.4917,1640.7178,7028.5293,21232.202599999997,2050.3142,1396.7383,3323.348,383.9768,931.8759
106,855.5538,1277.0042,583.6882,1772.4917,1640.7178,7016.4937,21232.202599999997,2050.3142,1396.7383,3323.348,383.9768,931.8759
107,855.5538,1277.0042,583.6882,1772.4917,1640.7178,7016.4937,21232.202599999997,2050.3142,1396.7383,3323.348,383.9768,931.8759
108,855.5538,1264.313,592.6932,1772.4917,1651.918,7016.4937,21127.4359,1981.6879,1380.4905,3317.0793,385.2924,952.0409
109,864.2457,1260.2855,605.8517,1746.3024,1654.0479,7016.4937,21200.0026,1989.4227,1358.2413,3325.0442,384.5675,941.6297
110,875.4287,1263.2312,597.856,1756.2969,1662.8705,6991.3726,21189.8329,1995.5911,1386.5237,3310.0925,380.0421,948.9795
111,863.4337,1270.6565,602.0531,1745.7932,1668.0627,7049.1865,21193.218100000002,1994.3954,1371.4674,3312.2798,388.018,948.8825
112,876.3788,1274.5435,604.2994,1737.3823,1669.5432,7035.4194,21252.1517,2009.6558,1395.9651,3300.4907,382.9309,941.9185
113,881.5937,1270.8135,603.8878,1760.9799,1667.7979,7023.6416,21187.3584,2001.0334,1370.3666,3302.2551,386.1856,951.4476
114,871.213,1275.8413,606.7488,1761.8364,1664.2598,7030.231,21185.336900000002,1990.6742,1384.2759,3291.669,381.8489,948.922
115,852.7542,1273.5562,618.6908,1771.7928,1657.5062,7000.5215,21215.1718,2018.6277,1393.4568,3295.7861,379.09,928.1047
116,870.1179,1271.8794,603.5245,1763.876,1665.4766,7016.55,21137.835900000002,2003.7302,1381.8721,3283.2808,381.5832,946.4434
117,870.6798,1261.6428,618.2185,1738.2985,1655.2399,7016.3594,21112.9227,1990.5742,1357.52,3276.7334,394.7544,932.7456
118,867.4722,1265.0474,598.18,1774.6567,1647.5372,6991.0674,21060.7024,1994.68,1392.1274,3273.0393,374.6991,942.9748
119,858.053,1260.1001,591.9966,1738.6835,1652.0316,6983.365,20958.639599999995,1970.3928,1356.3689,3259.9092,402.4359,936.1493
120,851.794,1253.8333,588.7534,1730.7659,1656.593,6975.6807,20942.3669,1970.3104,1372.5205,3252.539,375.1245,937.7053
