,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
96,96.0,42.0,138.0,18.0,0.0,2.0,27.0,6.0,73.0,17.0
97,96.0,42.0,138.0,18.0,0.0,2.0,27.0,6.0,73.0,17.0
98,108.0,49.0,185.0,14.0,0.0,4.0,30.0,4.0,92.0,18.0
99,108.0,49.0,185.0,14.0,0.0,4.0,30.0,4.0,92.0,18.0
100,128.0,60.0,139.0,10.0,0.0,4.0,26.0,7.0,68.0,18.0
101,128.0,60.0,139.0,10.0,0.0,4.0,26.0,7.0,68.0,18.0
102,121.0,59.0,113.0,13.0,0.0,3.0,21.0,8.0,20.0,24.0
103,121.0,59.0,113.0,13.0,0.0,3.0,21.0,8.0,20.0,24.0
104,104.0,66.0,148.0,13.0,0.0,2.0,27.0,3.0,25.0,30.0
105,104.0,66.0,148.0,13.0,0.0,2.0,27.0,3.0,25.0,30.0
106,39.0,87.0,135.0,10.0,0.0,1.0,18.0,3.0,58.0,31.0
107,39.0,87.0,135.0,10.0,0.0,1.0,18.0,3.0,58.0,31.0
108,14.0,92.0,141.0,10.0,1.0,2.0,18.0,4.0,58.0,29.0
109,14.0,92.0,141.0,10.0,1.0,2.0,18.0,4.0,58.0,29.0
110,9.0,95.0,138.0,10.0,1.0,3.0,28.0,8.0,21.0,29.0
111,9.0,95.0,138.0,10.0,1.0,3.0,28.0,8.0,21.0,29.0
112,17.0,121.0,135.0,12.0,3.0,4.0,37.0,9.0,38.0,36.0
113,17.0,121.0,135.0,12.0,3.0,4.0,37.0,9.0,38.0,36.0
114,23.0,112.0,136.0,9.0,4.0,3.0,43.0,10.0,51.0,34.0
115,23.0,112.0,136.0,9.0,4.0,3.0,43.0,10.0,51.0,34.0
116,27.0,122.0,132.0,7.0,5.0,2.0,51.0,8.0,52.0,35.0
117,27.0,122.0,132.0,7.0,5.0,2.0,51.0,8.0,52.0,35.0
118,26.0,119.0,149.0,7.0,0.0,4.0,81.0,6.0,45.0,34.0
119,26.0,119.0,149.0,7.0,0.0,4.0,81.0,6.0,45.0,34.0
120,15.0,116.0,179.0,7.0,0.0,5.0,51.0,7.0,23.0,24.0
121,15.0,116.0,179.0,7.0,0.0,5.0,51.0,7.0,23.0,24.0
122,4.0,138.0,204.0,15.0,0.0,4.0,39.0,7.0,26.0,16.0
123,4.0,138.0,204.0,15.0,0.0,4.0,39.0,7.0,26.0,16.0
124,7.0,159.0,205.0,16.0,0.0,3.0,31.0,7.0,29.0,15.0
125,7.0,159.0,205.0,16.0,0.0,3.0,31.0,7.0,29.0,15.0
126,8.0,161.0,294.0,13.0,1.0,1.0,25.0,11.0,35.0,16.0
127,8.0,161.0,294.0,13.0,1.0,1.0,25.0,11.0,35.0,16.0
128,10.0,174.0,238.0,9.0,8.0,2.0,35.0,18.0,47.0,15.0
129,10.0,174.0,238.0,9.0,8.0,2.0,35.0,18.0,47.0,15.0
130,7.0,169.0,234.0,14.0,12.0,2.0,37.0,21.0,64.0,16.0
131,7.0,169.0,234.0,14.0,12.0,2.0,37.0,21.0,64.0,16.0
132,7.0,169.0,234.0,14.0,12.0,2.0,37.0,21.0,64.0,16.0
133,5.0,157.0,189.0,18.0,17.0,3.0,24.0,25.0,75.0,16.0
134,4.0,126.0,316.0,20.0,20.0,3.0,30.0,19.0,47.0,15.0
135,4.0,126.0,316.0,20.0,20.0,3.0,30.0,19.0,47.0,15.0
136,4.0,90.0,270.0,34.0,21.0,1.0,42.0,13.0,67.0,15.0
137,4.0,90.0,270.0,34.0,21.0,1.0,42.0,13.0,67.0,15.0
