,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
121,1879.0,4397.0,252.0,2840.0,2.0,534.0,1852.0
122,1872.0,4398.0,255.0,2873.0,2.0,553.0,1908.0
123,1873.0,4398.0,256.0,2909.0,2.0,578.0,1951.0
124,1858.0,4398.0,256.0,2948.0,2.0,577.0,1881.0
125,1855.0,4396.0,251.0,2978.0,2.0,514.0,1906.0
126,1868.0,4397.0,253.0,3028.0,2.0,447.0,1896.0
127,1869.0,4398.0,249.0,3023.0,2.0,445.0,1944.0
128,1859.0,4397.0,252.0,2970.0,2.0,475.0,1972.0
129,1865.0,4398.0,252.0,2906.0,2.0,490.0,1976.0
130,1866.0,4398.0,250.0,2961.0,2.0,481.0,1989.0
131,1889.0,4397.0,252.0,3023.0,2.0,517.0,2091.0
132,1925.0,4397.0,258.0,3049.0,2.0,571.0,2217.0
133,1917.0,4399.0,257.0,3064.0,2.0,587.0,2340.0
134,1907.0,4397.0,259.0,3069.0,2.0,589.0,2475.0
135,1907.0,4397.0,259.0,3069.0,2.0,589.0,2475.0
136,1911.0,4397.0,252.0,3118.0,2.0,588.0,2448.0
137,1876.0,4397.0,253.0,3115.0,2.0,581.0,2486.0
138,1883.0,4398.0,253.0,3082.0,2.0,606.0,2500.0
139,1860.0,4398.0,253.0,3056.0,2.0,610.0,2535.0
140,1837.0,4397.0,257.0,3023.0,2.0,603.0,2596.0
141,1891.0,4400.0,256.0,3045.0,2.0,597.0,2593.0
142,1895.0,4397.0,258.0,3078.0,2.0,597.0,2596.0
143,2045.0,4398.0,256.0,3047.0,2.0,605.0,2554.0
144,2105.0,4397.0,256.0,3083.0,2.0,614.0,2615.0
145,2182.0,4396.0,255.0,3117.0,2.0,621.0,2658.0
146,2182.0,4396.0,255.0,3117.0,2.0,621.0,2658.0
147,2277.0,4398.0,250.0,3135.0,2.0,599.0,2667.0
148,2263.0,4397.0,253.0,3141.0,2.0,572.0,2734.0
149,2331.0,4399.0,254.0,3129.0,2.0,559.0,2790.0
150,2393.0,4398.0,252.0,3135.0,2.0,524.0,2764.0
151,2426.0,4398.0,249.0,3131.0,2.0,503.0,2709.0
152,2457.0,4399.0,250.0,3106.0,2.0,530.0,2691.0
153,2571.0,4397.0,249.0,3093.0,2.0,552.0,2727.0
154,2697.0,4396.0,249.0,3071.0,2.0,480.0,2746.0
155,2798.0,4399.0,249.0,3052.0,2.0,499.0,2752.0
156,2782.0,4397.0,249.0,3041.0,2.0,550.0,2777.0
157,2788.0,4396.0,245.0,3054.0,2.0,565.0,2815.0
158,2803.0,4396.0,243.0,3063.0,2.0,567.0,2957.0
159,2817.0,4396.0,241.0,3075.0,2.0,567.0,2968.0
160,2814.0,4397.0,245.0,3090.0,2.0,558.0,3047.0
161,2813.0,4397.0,248.0,3111.0,2.0,512.0,2966.0
162,2847.0,4397.0,246.0,3112.0,2.0,499.0,2866.0
163,2880.0,4397.0,248.0,3114.0,2.0,494.0,2808.0
164,2820.0,4400.0,253.0,3088.0,2.0,490.0,2891.0
165,2805.0,4399.0,253.0,3088.0,2.0,501.0,2932.0
