,noaa_wind_speed_46061,noaa_wind_direction_46061,noaa_wind_speed_44005,noaa_wind_direction_41008,noaa_wind_direction_44005,noaa_wind_speed_41008
164,0.26,0.17222222222222222,1.02,0.08055555555555556,0.9472222222222222,0.5599999999999999
165,0.2,0.26944444444444443,1.19,0.08888888888888889,0.9555555555555556,0.54
166,0.4,0.12777777777777777,1.16,0.125,0.9583333333333334,0.52
167,0.55,0.1527777777777778,1.22,0.09166666666666666,0.9444444444444444,0.48
168,0.61,0.2361111111111111,1.3800000000000001,0.075,0.9472222222222222,0.52
169,1.02,0.2833333333333333,1.53,0.925,0.9416666666666667,0.86
170,0.9099999999999999,0.2777777777777778,1.7,0.9861111111111112,0.9166666666666666,0.96
171,0.93,0.29444444444444445,1.55,0.041666666666666664,0.9277777777777778,0.8300000000000001
172,0.8,0.3,1.41,0.05555555555555555,0.9416666666666667,0.8699999999999999
173,0.61,0.3194444444444444,1.3199999999999998,0.1111111111111111,0.9444444444444444,0.79
174,0.44000000000000006,0.48055555555555557,1.15,0.1111111111111111,0.9444444444444444,0.86
175,0.6799999999999999,0.5416666666666666,1.08,0.1361111111111111,0.9805555555555555,0.95
176,0.6,0.5638888888888889,1.02,0.14444444444444443,0.9444444444444444,0.95
177,0.8099999999999999,0.5444444444444444,0.96,0.14444444444444443,0.9361111111111111,0.9400000000000001
178,0.76,0.5138888888888888,0.86,0.1361111111111111,0.9305555555555556,0.95
179,0.72,0.4888888888888889,0.78,0.125,0.9444444444444444,1.01
180,0.65,0.45555555555555555,0.71,0.14722222222222223,0.9222222222222223,0.9
181,0.54,0.43333333333333335,0.6799999999999999,0.13333333333333333,0.9333333333333333,0.93
182,0.5599999999999999,0.4722222222222222,0.78,0.13333333333333333,0.9388888888888889,1.0
183,0.49000000000000005,0.42777777777777776,0.67,0.15,0.9111111111111111,1.05
184,0.55,0.41944444444444445,0.47000000000000003,0.13333333333333333,0.9,1.06
185,0.51,0.4027777777777778,0.3,0.13333333333333333,0.8694444444444445,0.99
186,0.43,0.39166666666666666,0.13,0.14722222222222223,0.8138888888888889,0.93
187,0.5599999999999999,0.3138888888888889,0.22999999999999998,0.15555555555555556,0.5083333333333333,0.89
188,0.5700000000000001,0.30833333333333335,0.62,0.19166666666666668,0.6583333333333333,0.8300000000000001
189,0.6,0.3277777777777778,0.6900000000000001,0.20277777777777778,0.6638888888888889,0.79
190,0.62,0.3111111111111111,0.73,0.19166666666666668,0.6472222222222223,0.8099999999999999
191,0.5900000000000001,0.2861111111111111,0.8699999999999999,0.18055555555555555,0.6305555555555555,0.71
192,0.73,0.3111111111111111,0.9400000000000001,0.1527777777777778,0.625,0.6900000000000001
193,0.77,0.3,1.0699999999999998,0.15,0.6194444444444445,0.6599999999999999
194,0.8099999999999999,0.3277777777777778,1.19,0.14166666666666666,0.5972222222222222,0.6599999999999999
195,0.86,0.3388888888888889,1.21,0.14722222222222223,0.5916666666666667,0.62
196,0.75,0.3611111111111111,1.21,0.1111111111111111,0.5861111111111111,0.6599999999999999
197,0.85,0.35555555555555557,1.44,0.04722222222222222,0.5638888888888889,0.76
198,0.8300000000000001,0.34444444444444444,1.44,0.06944444444444445,0.5972222222222222,0.93
199,0.78,0.3638888888888889,1.45,0.06666666666666667,0.5888888888888889,0.9099999999999999
200,0.78,0.3611111111111111,1.45,0.09444444444444444,0.5972222222222222,0.97
201,0.8099999999999999,0.3472222222222222,1.44,0.13055555555555556,0.6194444444444445,0.9099999999999999
202,0.86,0.3527777777777778,1.48,0.12222222222222222,0.625,0.76
