,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_smiling_eyes
201,56.0,266.0,83.0,171.0
202,55.0,300.0,87.0,196.0
203,66.0,272.0,70.0,200.0
204,52.0,249.0,92.0,181.0
205,51.0,306.0,77.0,181.0
206,48.0,284.0,75.0,181.0
207,56.0,316.0,92.0,166.0
208,55.0,272.0,78.0,187.0
209,57.0,256.0,85.0,188.0
210,47.0,306.0,80.0,189.0
211,42.0,299.0,77.0,171.0
212,50.0,315.0,92.0,177.0
213,47.0,294.0,87.0,187.0
214,64.0,295.0,83.0,189.0
215,56.0,282.0,92.0,179.0
216,52.0,248.0,82.0,200.0
217,68.0,335.0,77.0,196.0
218,46.0,329.0,83.0,167.0
219,54.0,300.0,86.0,178.0
220,39.0,273.0,76.0,191.0
221,49.0,310.0,87.0,151.0
222,59.0,307.0,85.0,180.0
223,44.0,290.0,70.0,190.0
224,57.0,281.0,77.0,164.0
225,51.0,283.0,76.0,180.0
226,44.0,250.0,89.0,169.0
227,52.0,275.0,79.0,189.0
228,52.0,261.0,69.0,163.0
229,44.0,284.0,72.0,182.0
230,47.0,286.0,86.0,183.0
231,44.0,280.0,59.0,162.0
232,50.0,304.0,93.0,147.0
233,63.0,334.0,90.0,185.0
234,50.0,354.0,80.0,163.0
235,44.0,327.0,95.0,185.0
236,54.0,311.0,75.0,182.0
237,41.0,305.0,82.0,185.0
238,50.0,306.0,93.0,159.0
239,54.0,294.0,74.0,186.0
240,48.0,295.0,69.0,201.0
241,66.0,300.0,79.0,177.0
242,59.0,322.0,75.0,203.0
243,54.0,285.0,75.0,177.0
244,56.0,275.0,73.0,173.0
245,50.0,245.0,68.0,173.0
246,41.0,298.0,88.0,194.0
247,56.0,298.0,104.0,180.0
248,52.0,296.0,93.0,189.0
249,45.0,278.0,90.0,184.0
250,52.0,261.0,105.0,180.0
251,44.0,267.0,86.0,192.0
252,60.0,269.0,103.0,198.0
253,66.0,278.0,102.0,186.0
254,66.0,285.0,82.0,202.0
255,56.0,282.0,70.0,193.0
256,41.0,313.0,89.0,171.0
257,57.0,287.0,86.0,174.0
258,64.0,281.0,80.0,214.0
259,42.0,275.0,82.0,184.0
260,53.0,272.0,98.0,182.0
261,47.0,271.0,85.0,195.0
262,35.0,309.0,92.0,190.0
263,51.0,297.0,87.0,171.0
264,57.0,308.0,74.0,198.0
265,53.0,331.0,83.0,168.0
266,61.0,294.0,82.0,179.0
267,50.0,276.0,68.0,161.0
268,54.0,261.0,64.0,169.0
269,54.0,291.0,74.0,178.0
270,50.0,295.0,72.0,172.0
271,52.0,273.0,84.0,172.0
272,59.0,306.0,84.0,167.0
273,51.0,297.0,90.0,150.0
274,45.0,272.0,85.0,193.0
275,52.0,282.0,95.0,164.0
276,58.0,275.0,86.0,175.0
277,47.0,285.0,96.0,178.0
278,41.0,267.0,78.0,181.0
279,50.0,260.0,106.0,193.0
280,48.0,277.0,97.0,183.0
281,43.0,309.0,79.0,189.0
282,39.0,278.0,69.0,203.0
283,41.0,284.0,86.0,190.0
284,51.0,292.0,80.0,187.0
285,50.0,285.0,83.0,201.0
286,55.0,284.0,79.0,175.0
287,57.0,293.0,88.0,154.0
288,63.0,330.0,96.0,177.0
289,67.0,314.0,107.0,197.0
290,49.0,268.0,102.0,200.0
291,45.0,286.0,86.0,195.0
292,64.0,357.0,1650.0,178.0
293,57.0,349.0,1248.0,163.0
294,42.0,335.0,453.0,178.0
295,54.0,320.0,405.0,166.0
296,59.0,355.0,379.0,176.0
297,55.0,317.0,233.0,209.0
298,43.0,310.0,161.0,167.0
299,57.0,319.0,148.0,192.0
300,51.0,328.0,122.0,186.0
301,37.0,294.0,120.0,171.0
302,62.0,338.0,127.0,147.0
303,56.0,342.0,101.0,169.0
304,47.0,332.0,96.0,180.0
305,47.0,317.0,103.0,169.0
306,55.0,302.0,111.0,149.0
307,55.0,367.0,94.0,179.0
308,57.0,295.0,98.0,170.0
309,51.0,287.0,98.0,189.0
310,52.0,334.0,101.0,195.0
311,47.0,314.0,101.0,163.0
312,57.0,284.0,86.0,162.0
313,53.0,325.0,103.0,177.0
314,50.0,305.0,89.0,167.0
315,42.0,294.0,76.0,176.0
316,44.0,297.0,78.0,158.0
317,60.0,304.0,78.0,193.0
318,51.0,292.0,85.0,192.0
319,43.0,329.0,94.0,170.0
320,63.0,321.0,117.0,195.0
321,52.0,309.0,91.0,155.0
322,48.0,322.0,98.0,160.0
323,47.0,297.0,101.0,180.0
324,39.0,303.0,86.0,169.0
325,49.0,293.0,90.0,186.0
326,50.0,343.0,86.0,172.0
327,51.0,332.0,92.0,189.0
328,40.0,295.0,65.0,183.0
329,50.0,278.0,83.0,164.0
330,35.0,307.0,83.0,196.0
331,43.0,321.0,78.0,196.0
332,53.0,287.0,74.0,193.0
333,48.0,306.0,95.0,187.0
334,49.0,321.0,60.0,194.0
335,44.0,296.0,93.0,170.0
336,46.0,281.0,88.0,186.0
337,55.0,288.0,88.0,172.0
338,51.0,307.0,71.0,155.0
339,51.0,338.0,72.0,153.0
340,43.0,339.0,79.0,189.0
341,64.0,343.0,93.0,173.0
342,62.0,326.0,80.0,172.0
343,69.0,291.0,89.0,151.0
344,50.0,302.0,72.0,189.0
345,38.0,295.0,68.0,181.0
346,61.0,333.0,82.0,190.0
347,58.0,324.0,61.0,179.0
348,55.0,300.0,76.0,174.0
349,42.0,292.0,73.0,175.0
350,56.0,295.0,65.0,174.0
351,63.0,263.0,85.0,186.0
352,52.0,349.0,85.0,199.0
353,62.0,350.0,61.0,187.0
354,53.0,336.0,88.0,174.0
355,52.0,323.0,81.0,185.0
356,51.0,328.0,75.0,173.0
357,45.0,340.0,77.0,172.0
358,42.0,314.0,66.0,170.0
359,63.0,330.0,91.0,185.0
360,68.0,373.0,89.0,170.0
361,59.0,359.0,72.0,167.0
362,55.0,383.0,73.0,199.0
363,51.0,385.0,86.0,195.0
364,48.0,356.0,90.0,167.0
365,42.0,318.0,76.0,180.0
366,52.0,336.0,72.0,177.0
367,51.0,345.0,89.0,170.0
368,53.0,330.0,72.0,188.0
369,53.0,307.0,74.0,181.0
370,53.0,330.0,63.0,181.0
371,74.0,373.0,75.0,182.0
372,46.0,358.0,77.0,178.0
373,69.0,318.0,70.0,186.0
374,52.0,324.0,70.0,162.0
375,66.0,346.0,73.0,187.0
376,43.0,301.0,97.0,171.0
377,60.0,301.0,84.0,193.0
378,50.0,353.0,75.0,182.0
379,54.0,364.0,87.0,195.0
380,47.0,332.0,79.0,187.0
381,44.0,315.0,71.0,151.0
382,51.0,420.0,79.0,208.0
383,53.0,350.0,76.0,184.0
384,65.0,320.0,81.0,193.0
385,40.0,341.0,76.0,185.0
386,61.0,338.0,68.0,171.0
387,47.0,359.0,75.0,194.0
388,61.0,332.0,94.0,191.0
389,58.0,344.0,73.0,156.0
390,48.0,287.0,72.0,181.0
391,45.0,323.0,70.0,178.0
392,52.0,335.0,79.0,206.0
393,46.0,327.0,74.0,174.0
394,60.0,331.0,64.0,180.0
395,62.0,328.0,66.0,175.0
396,49.0,336.0,61.0,172.0
397,48.0,313.0,65.0,193.0
398,57.0,319.0,71.0,189.0
399,50.0,334.0,77.0,183.0
400,65.0,322.0,70.0,157.0
401,72.0,331.0,68.0,173.0
402,55.0,313.0,61.0,206.0
403,53.0,312.0,81.0,184.0
404,55.0,330.0,90.0,210.0
405,64.0,357.0,90.0,210.0
406,62.0,347.0,76.0,190.0
407,80.0,378.0,79.0,189.0
408,61.0,332.0,71.0,175.0
409,56.0,322.0,68.0,214.0
410,53.0,318.0,86.0,183.0
411,60.0,294.0,91.0,171.0
412,62.0,344.0,79.0,181.0
413,61.0,351.0,73.0,206.0
414,37.0,355.0,73.0,170.0
415,51.0,377.0,66.0,161.0
416,63.0,367.0,78.0,202.0
417,67.0,398.0,90.0,169.0
418,61.0,325.0,91.0,170.0
419,49.0,329.0,69.0,175.0
420,52.0,333.0,97.0,158.0
421,45.0,311.0,67.0,170.0
422,40.0,342.0,68.0,185.0
423,56.0,326.0,90.0,199.0
424,59.0,327.0,70.0,192.0
425,60.0,327.0,78.0,184.0
426,69.0,339.0,66.0,202.0
427,58.0,355.0,58.0,189.0
428,47.0,315.0,69.0,199.0
429,50.0,326.0,82.0,193.0
430,57.0,297.0,63.0,195.0
431,49.0,313.0,66.0,208.0
432,58.0,312.0,81.0,183.0
433,45.0,310.0,80.0,195.0
434,57.0,317.0,74.0,173.0
435,47.0,310.0,67.0,164.0
436,54.0,304.0,74.0,185.0
437,54.0,323.0,86.0,177.0
438,46.0,301.0,67.0,167.0
439,58.0,295.0,70.0,198.0
440,53.0,306.0,67.0,150.0
441,46.0,287.0,58.0,165.0
442,53.0,326.0,87.0,190.0
443,55.0,278.0,62.0,182.0
444,49.0,337.0,67.0,176.0
445,55.0,313.0,60.0,170.0
446,52.0,290.0,74.0,146.0
447,57.0,340.0,66.0,172.0
448,56.0,296.0,67.0,158.0
449,70.0,283.0,68.0,160.0
450,57.0,292.0,54.0,173.0
451,49.0,291.0,76.0,184.0
452,47.0,326.0,83.0,163.0
453,45.0,318.0,71.0,172.0
454,44.0,324.0,67.0,168.0
455,55.0,289.0,64.0,198.0
456,35.0,303.0,63.0,169.0
457,54.0,304.0,59.0,162.0
458,69.0,326.0,60.0,162.0
459,60.0,320.0,70.0,175.0
460,73.0,304.0,67.0,151.0
461,51.0,286.0,73.0,179.0
462,65.0,319.0,72.0,164.0
463,50.0,321.0,59.0,192.0
464,53.0,283.0,76.0,172.0
465,56.0,294.0,53.0,177.0
466,55.0,309.0,72.0,141.0
467,57.0,302.0,68.0,164.0
468,71.0,302.0,74.0,179.0
469,49.0,304.0,70.0,156.0
470,55.0,298.0,60.0,179.0
471,66.0,312.0,71.0,162.0
472,65.0,368.0,63.0,166.0
473,62.0,354.0,63.0,148.0
474,47.0,340.0,63.0,175.0
475,53.0,343.0,49.0,159.0
476,47.0,312.0,55.0,165.0
477,47.0,325.0,57.0,135.0
478,26.0,346.0,70.0,149.0
479,58.0,321.0,59.0,137.0
480,51.0,305.0,61.0,171.0
481,54.0,325.0,59.0,131.0
482,44.0,320.0,74.0,162.0
483,56.0,331.0,60.0,163.0
484,44.0,316.0,63.0,138.0
485,45.0,291.0,49.0,163.0
486,50.0,328.0,66.0,181.0
487,40.0,300.0,51.0,195.0
488,40.0,299.0,52.0,152.0
489,61.0,300.0,71.0,152.0
490,61.0,279.0,61.0,157.0
491,52.0,340.0,70.0,163.0
492,49.0,300.0,66.0,154.0
493,58.0,308.0,59.0,182.0
494,55.0,294.0,60.0,148.0
495,65.0,285.0,55.0,154.0
496,69.0,279.0,63.0,167.0
497,56.0,277.0,76.0,154.0
498,55.0,278.0,73.0,186.0
499,48.0,312.0,65.0,163.0
500,41.0,300.0,86.0,157.0
501,52.0,327.0,74.0,158.0
502,58.0,336.0,52.0,165.0
503,41.0,283.0,75.0,182.0
504,48.0,295.0,73.0,152.0
505,61.0,289.0,48.0,155.0
506,43.0,309.0,62.0,178.0
507,40.0,311.0,70.0,144.0
508,55.0,314.0,55.0,132.0
509,49.0,298.0,50.0,189.0
510,45.0,296.0,62.0,162.0
511,52.0,287.0,63.0,168.0
512,40.0,308.0,54.0,145.0
513,50.0,315.0,73.0,160.0
514,52.0,326.0,65.0,150.0
515,43.0,296.0,68.0,147.0
516,50.0,328.0,57.0,190.0
517,47.0,304.0,69.0,182.0
518,51.0,301.0,65.0,160.0
519,49.0,317.0,69.0,154.0
520,52.0,301.0,62.0,141.0
521,44.0,305.0,61.0,154.0
522,41.0,305.0,67.0,168.0
523,42.0,284.0,66.0,152.0
524,42.0,305.0,60.0,160.0
525,53.0,300.0,56.0,154.0
526,39.0,283.0,67.0,158.0
527,56.0,274.0,57.0,147.0
528,57.0,288.0,56.0,152.0
529,51.0,276.0,50.0,160.0
530,44.0,321.0,61.0,144.0
531,48.0,281.0,61.0,170.0
532,51.0,324.0,60.0,158.0
533,53.0,336.0,41.0,157.0
534,52.0,301.0,51.0,147.0
535,40.0,300.0,59.0,151.0
536,43.0,319.0,65.0,137.0
537,39.0,317.0,59.0,155.0
538,42.0,279.0,65.0,154.0
539,43.0,272.0,67.0,147.0
540,49.0,299.0,61.0,172.0
541,59.0,318.0,55.0,148.0
542,51.0,329.0,43.0,157.0
543,38.0,295.0,61.0,153.0
544,37.0,298.0,50.0,156.0
545,33.0,318.0,79.0,162.0
546,45.0,300.0,50.0,119.0
547,44.0,298.0,60.0,151.0
548,52.0,319.0,55.0,132.0
549,54.0,287.0,52.0,133.0
550,47.0,320.0,49.0,154.0
551,49.0,298.0,63.0,149.0
552,52.0,323.0,64.0,138.0
553,46.0,290.0,59.0,156.0
554,38.0,299.0,59.0,148.0
555,45.0,291.0,51.0,144.0
556,64.0,324.0,69.0,152.0
557,48.0,305.0,66.0,142.0
558,53.0,290.0,52.0,157.0
559,47.0,285.0,66.0,163.0
560,44.0,278.0,55.0,158.0
561,52.0,311.0,67.0,134.0
562,49.0,298.0,48.0,146.0
563,47.0,308.0,57.0,153.0
564,57.0,273.0,68.0,159.0
565,60.0,304.0,56.0,160.0
566,36.0,292.0,44.0,165.0
567,54.0,294.0,51.0,155.0
568,58.0,297.0,56.0,169.0
569,42.0,281.0,55.0,161.0
570,42.0,276.0,59.0,145.0
571,55.0,267.0,70.0,160.0
572,33.0,290.0,59.0,148.0
573,51.0,296.0,57.0,152.0
574,52.0,280.0,56.0,152.0
575,41.0,261.0,56.0,161.0
576,33.0,267.0,49.0,122.0
577,40.0,306.0,60.0,151.0
578,55.0,312.0,52.0,141.0
579,57.0,289.0,60.0,170.0
580,56.0,294.0,57.0,166.0
581,40.0,273.0,68.0,150.0
582,31.0,290.0,52.0,147.0
583,55.0,305.0,41.0,150.0
584,43.0,267.0,53.0,158.0
585,55.0,273.0,62.0,157.0
586,47.0,273.0,66.0,158.0
587,48.0,282.0,46.0,132.0
588,52.0,297.0,51.0,127.0
589,41.0,254.0,66.0,151.0
590,49.0,288.0,60.0,149.0
591,49.0,280.0,45.0,151.0
592,45.0,342.0,69.0,160.0
593,45.0,322.0,44.0,129.0
594,41.0,306.0,52.0,153.0
595,34.0,290.0,48.0,162.0
596,50.0,317.0,68.0,156.0
597,43.0,292.0,63.0,120.0
598,42.0,308.0,63.0,140.0
599,42.0,280.0,75.0,141.0
600,43.0,264.0,52.0,146.0
601,55.0,273.0,53.0,164.0
602,48.0,298.0,49.0,165.0
603,52.0,291.0,53.0,136.0
604,35.0,264.0,54.0,156.0
605,34.0,285.0,60.0,146.0
606,41.0,305.0,55.0,152.0
607,48.0,274.0,69.0,156.0
608,58.0,259.0,60.0,147.0
609,54.0,270.0,64.0,134.0
610,47.0,295.0,64.0,150.0
611,34.0,267.0,53.0,148.0
612,45.0,301.0,60.0,149.0
613,45.0,260.0,60.0,128.0
614,35.0,277.0,58.0,114.0
615,38.0,275.0,52.0,153.0
616,42.0,246.0,56.0,138.0
617,57.0,270.0,56.0,124.0
618,50.0,291.0,47.0,143.0
619,50.0,300.0,63.0,160.0
620,54.0,262.0,57.0,152.0
621,39.0,318.0,51.0,168.0
622,46.0,292.0,44.0,130.0
623,45.0,281.0,57.0,146.0
624,44.0,260.0,49.0,162.0
625,51.0,281.0,46.0,136.0
626,47.0,262.0,61.0,142.0
627,45.0,272.0,49.0,142.0
628,39.0,264.0,53.0,133.0
629,59.0,249.0,54.0,149.0
630,46.0,274.0,64.0,136.0
631,41.0,269.0,54.0,138.0
632,43.0,290.0,53.0,126.0
633,50.0,262.0,48.0,107.0
634,54.0,282.0,57.0,135.0
635,50.0,276.0,50.0,135.0
636,44.0,284.0,52.0,145.0
637,51.0,288.0,59.0,147.0
638,44.0,282.0,59.0,148.0
639,40.0,286.0,46.0,129.0
640,49.0,299.0,42.0,130.0
641,43.0,271.0,51.0,125.0
642,43.0,277.0,46.0,164.0
643,43.0,285.0,55.0,152.0
644,39.0,275.0,44.0,132.0
645,53.0,266.0,59.0,139.0
646,54.0,259.0,51.0,141.0
647,47.0,275.0,61.0,130.0
648,46.0,258.0,54.0,114.0
649,41.0,259.0,42.0,136.0
650,46.0,295.0,60.0,134.0
651,41.0,287.0,45.0,121.0
652,49.0,303.0,74.0,141.0
653,40.0,330.0,58.0,143.0
654,53.0,276.0,47.0,150.0
655,48.0,296.0,45.0,135.0
656,40.0,304.0,62.0,146.0
657,51.0,290.0,58.0,138.0
658,40.0,283.0,47.0,147.0
659,42.0,277.0,54.0,152.0
660,43.0,288.0,46.0,133.0
661,40.0,311.0,56.0,135.0
662,35.0,278.0,54.0,146.0
663,39.0,280.0,57.0,139.0
664,56.0,261.0,61.0,120.0
665,59.0,319.0,51.0,136.0
666,45.0,300.0,55.0,146.0
667,40.0,336.0,42.0,130.0
668,49.0,281.0,44.0,135.0
669,46.0,269.0,54.0,133.0
670,40.0,278.0,48.0,164.0
671,45.0,278.0,62.0,152.0
672,50.0,274.0,54.0,147.0
673,36.0,278.0,53.0,124.0
674,47.0,295.0,58.0,122.0
675,45.0,262.0,53.0,133.0
676,40.0,287.0,55.0,109.0
677,56.0,246.0,61.0,136.0
678,57.0,257.0,59.0,148.0
679,52.0,255.0,47.0,150.0
680,38.0,265.0,41.0,125.0
681,48.0,253.0,52.0,130.0
682,55.0,315.0,43.0,134.0
683,50.0,293.0,51.0,139.0
684,65.0,282.0,45.0,149.0
685,37.0,256.0,62.0,148.0
686,33.0,277.0,57.0,152.0
687,49.0,285.0,45.0,135.0
688,38.0,288.0,48.0,118.0
689,35.0,284.0,62.0,132.0
690,39.0,252.0,63.0,122.0
691,45.0,287.0,52.0,134.0
692,40.0,279.0,57.0,132.0
693,38.0,290.0,41.0,125.0
694,44.0,261.0,45.0,135.0
695,37.0,276.0,36.0,133.0
696,43.0,262.0,46.0,122.0
697,49.0,291.0,40.0,143.0
698,36.0,260.0,43.0,116.0
699,36.0,272.0,50.0,138.0
700,44.0,275.0,45.0,115.0
701,48.0,288.0,50.0,131.0
702,42.0,286.0,46.0,135.0
703,46.0,284.0,48.0,145.0
704,43.0,272.0,52.0,144.0
705,38.0,264.0,66.0,133.0
706,36.0,287.0,55.0,125.0
707,49.0,319.0,56.0,120.0
708,50.0,277.0,44.0,151.0
709,48.0,270.0,59.0,141.0
710,39.0,221.0,47.0,130.0
711,41.0,236.0,54.0,111.0
712,42.0,323.0,64.0,144.0
713,50.0,283.0,60.0,134.0
714,43.0,277.0,50.0,136.0
715,48.0,305.0,53.0,124.0
716,44.0,291.0,54.0,118.0
717,46.0,259.0,47.0,130.0
718,43.0,300.0,45.0,127.0
719,35.0,288.0,40.0,132.0
720,37.0,307.0,62.0,137.0
721,49.0,246.0,50.0,123.0
722,39.0,245.0,67.0,131.0
723,48.0,248.0,52.0,131.0
724,45.0,292.0,56.0,125.0
725,44.0,265.0,42.0,118.0
726,39.0,257.0,46.0,125.0
727,39.0,237.0,52.0,113.0
728,52.0,281.0,67.0,124.0
729,35.0,298.0,65.0,114.0
730,32.0,268.0,43.0,115.0
731,43.0,266.0,58.0,128.0
732,40.0,280.0,58.0,129.0
733,57.0,256.0,58.0,125.0
734,38.0,260.0,37.0,137.0
735,41.0,288.0,51.0,113.0
736,46.0,270.0,64.0,118.0
737,44.0,282.0,50.0,129.0
738,37.0,246.0,68.0,147.0
739,43.0,263.0,55.0,127.0
740,41.0,248.0,46.0,128.0
741,53.0,253.0,59.0,141.0
742,45.0,281.0,59.0,132.0
743,40.0,275.0,35.0,133.0
744,37.0,247.0,41.0,122.0
745,45.0,276.0,44.0,130.0
746,38.0,261.0,54.0,124.0
747,32.0,246.0,54.0,120.0
748,34.0,268.0,69.0,133.0
749,46.0,264.0,42.0,119.0
750,43.0,258.0,57.0,124.0
751,41.0,267.0,39.0,141.0
752,34.0,256.0,50.0,123.0
753,40.0,261.0,66.0,134.0
754,34.0,247.0,50.0,140.0
755,33.0,262.0,49.0,130.0
756,40.0,236.0,52.0,140.0
757,33.0,262.0,52.0,118.0
758,36.0,234.0,48.0,121.0
759,34.0,241.0,54.0,101.0
760,36.0,244.0,52.0,129.0
761,39.0,266.0,49.0,115.0
762,45.0,241.0,51.0,127.0
