,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-hydro
138,4007.0,1839.0,56.0,3956.0,211.0,3138.0,3446.0
139,4053.0,1838.0,55.0,3923.0,210.0,3137.0,3446.0
140,4064.0,1859.0,55.0,3924.0,212.0,3139.0,3428.0
141,4081.0,1871.0,56.0,3924.0,211.0,3141.0,3368.0
142,4081.0,1871.0,56.0,3924.0,211.0,3141.0,3368.0
143,4083.0,1846.0,56.0,3926.0,212.0,3139.0,3343.0
144,4087.0,1830.0,55.0,3884.0,211.0,3135.0,3328.0
145,4051.0,1819.0,55.0,3795.0,210.0,3136.0,3334.0
146,3968.0,1790.0,55.0,3791.0,208.0,3139.0,3345.0
147,3930.0,1813.0,55.0,3792.0,212.0,3141.0,3344.0
148,3878.0,1825.0,56.0,3794.0,208.0,3137.0,3357.0
149,3804.0,1824.0,56.0,3791.0,206.0,3135.0,3395.0
150,3801.0,1827.0,56.0,3794.0,207.0,3137.0,3365.0
151,3766.0,1823.0,56.0,3795.0,209.0,3135.0,3322.0
152,3694.0,1804.0,56.0,3796.0,214.0,3140.0,3378.0
153,3695.0,1797.0,56.0,3771.0,213.0,3141.0,3360.0
154,3660.0,1799.0,56.0,3738.0,214.0,3141.0,3298.0
155,3601.0,1793.0,55.0,3736.0,212.0,3141.0,3256.0
156,3587.0,1792.0,56.0,3712.0,216.0,3141.0,3214.0
157,3641.0,1792.0,55.0,3662.0,216.0,3141.0,3058.0
158,3678.0,1817.0,56.0,3628.0,219.0,3141.0,2908.0
159,3676.0,1840.0,55.0,3622.0,220.0,3142.0,2826.0
160,3695.0,1844.0,56.0,3628.0,216.0,3142.0,2773.0
161,3672.0,1865.0,56.0,3588.0,214.0,3142.0,2758.0
162,3589.0,1857.0,36.0,3576.0,218.0,3141.0,2817.0
163,3589.0,1837.0,4.0,3540.0,218.0,3141.0,2776.0
164,3640.0,1857.0,3.0,3458.0,215.0,3141.0,2729.0
165,3657.0,1833.0,3.0,3447.0,215.0,3141.0,2699.0
166,3574.0,1819.0,3.0,3518.0,215.0,3142.0,2694.0
167,3503.0,1817.0,3.0,3560.0,216.0,3141.0,2700.0
168,3463.0,1823.0,3.0,3601.0,217.0,3140.0,2675.0
169,3360.0,1812.0,3.0,3667.0,212.0,3141.0,2678.0
170,3288.0,1800.0,3.0,3509.0,215.0,3140.0,2686.0
171,3245.0,1800.0,3.0,3378.0,215.0,3141.0,2686.0
172,3236.0,1800.0,3.0,3377.0,217.0,3141.0,2689.0
173,3220.0,1795.0,3.0,3329.0,221.0,3141.0,2691.0
174,3090.0,1798.0,3.0,3247.0,220.0,3140.0,2680.0
175,3011.0,1817.0,3.0,3139.0,218.0,3141.0,2693.0
176,3007.0,1810.0,3.0,3011.0,221.0,3143.0,2734.0
177,3012.0,1821.0,3.0,2955.0,223.0,3142.0,2710.0
178,3011.0,1818.0,3.0,2997.0,220.0,3143.0,2713.0
179,3010.0,1816.0,3.0,3041.0,217.0,3143.0,2602.0
180,3019.0,1803.0,3.0,3029.0,212.0,3143.0,2498.0
181,3047.0,1806.0,3.0,3027.0,219.0,3143.0,2384.0
182,3049.0,1731.0,3.0,3034.0,216.0,3142.0,2308.0
183,3049.0,1712.0,3.0,2998.0,215.0,3141.0,2301.0
184,3073.0,1719.0,3.0,2978.0,210.0,3142.0,2292.0
185,3084.0,1725.0,3.0,2961.0,217.0,3142.0,2210.0
186,3082.0,1737.0,3.0,2868.0,223.0,3142.0,2195.0
187,3112.0,1734.0,3.0,2768.0,222.0,3143.0,2246.0
188,3099.0,1714.0,3.0,2692.0,223.0,3142.0,2210.0
189,3405.0,1699.0,3.0,2835.0,219.0,3142.0,2074.0
190,3523.0,1704.0,3.0,2745.0,218.0,3141.0,2095.0
191,3551.0,1695.0,3.0,2638.0,218.0,3143.0,2021.0
192,3575.0,1711.0,3.0,2540.0,221.0,3142.0,1948.0
193,3531.0,1749.0,3.0,2504.0,223.0,3140.0,1918.0
194,3463.0,1792.0,3.0,2503.0,227.0,3141.0,1916.0
195,3398.0,1791.0,3.0,2502.0,223.0,3143.0,1914.0
196,3365.0,1805.0,3.0,2473.0,219.0,3143.0,1898.0
197,3307.0,1846.0,3.0,2451.0,219.0,3143.0,1875.0
198,3264.0,1866.0,3.0,2451.0,221.0,3144.0,1890.0
199,3205.0,1868.0,3.0,2451.0,216.0,3143.0,1892.0
200,3128.0,1865.0,3.0,2472.0,217.0,3143.0,1888.0
201,3046.0,1878.0,3.0,2499.0,218.0,3142.0,1919.0
202,2976.0,1887.0,3.0,2499.0,217.0,3143.0,1920.0
203,2928.0,1899.0,3.0,2499.0,220.0,3143.0,1902.0
204,2907.0,1897.0,3.0,2497.0,216.0,3144.0,1905.0
205,2884.0,1897.0,3.0,2495.0,215.0,3142.0,1905.0
206,2860.0,1900.0,3.0,2487.0,217.0,3143.0,1904.0
207,2844.0,1906.0,3.0,2457.0,214.0,3144.0,1903.0
208,2825.0,1897.0,3.0,2424.0,219.0,3142.0,1914.0
209,2819.0,1894.0,3.0,2402.0,217.0,3143.0,1880.0
210,2822.0,1902.0,3.0,2416.0,215.0,3142.0,1898.0
211,2811.0,1897.0,3.0,2437.0,215.0,3143.0,1897.0
212,2828.0,1908.0,3.0,2459.0,212.0,3143.0,1907.0
213,2929.0,1901.0,3.0,2491.0,211.0,3141.0,1966.0
214,2949.0,1893.0,3.0,2495.0,211.0,3141.0,1924.0
215,2920.0,1896.0,3.0,2496.0,214.0,3142.0,1954.0
216,2883.0,1886.0,3.0,2496.0,215.0,3142.0,1907.0
217,2862.0,1877.0,3.0,2497.0,215.0,3142.0,1884.0
218,2859.0,1788.0,3.0,2487.0,217.0,3143.0,1933.0
219,2857.0,1775.0,3.0,2475.0,215.0,3142.0,1970.0
220,2850.0,1774.0,3.0,2482.0,213.0,3141.0,1972.0
221,2861.0,1769.0,3.0,2496.0,214.0,3142.0,1919.0
222,2859.0,1777.0,3.0,2493.0,218.0,3143.0,1902.0
223,2861.0,1778.0,3.0,2496.0,218.0,3142.0,1886.0
224,2879.0,1786.0,3.0,2486.0,217.0,3142.0,1885.0
225,2879.0,1786.0,3.0,2486.0,217.0,3142.0,1885.0
226,2924.0,1782.0,3.0,2458.0,215.0,3142.0,1914.0
227,2899.0,1781.0,3.0,2449.0,216.0,3143.0,1908.0
228,2872.0,1769.0,3.0,2431.0,216.0,3142.0,1923.0
229,2850.0,1777.0,3.0,2431.0,218.0,3141.0,1883.0
230,2860.0,1773.0,3.0,2429.0,218.0,3141.0,1884.0
231,2872.0,1779.0,3.0,2428.0,219.0,3141.0,1880.0
232,2873.0,1801.0,3.0,2428.0,215.0,3142.0,1883.0
233,2863.0,1814.0,3.0,2425.0,221.0,3140.0,1882.0
234,2837.0,1836.0,3.0,2421.0,221.0,3142.0,1870.0
235,2830.0,1843.0,3.0,2422.0,219.0,3140.0,1894.0
236,2833.0,1850.0,3.0,2433.0,221.0,3141.0,1834.0
237,2843.0,1853.0,3.0,2456.0,222.0,3141.0,1765.0
238,2857.0,1866.0,3.0,2460.0,222.0,3141.0,1704.0
239,2869.0,1876.0,3.0,2459.0,219.0,3140.0,1694.0
240,2861.0,1874.0,3.0,2459.0,216.0,3142.0,1709.0
241,2812.0,1880.0,3.0,2460.0,218.0,3141.0,1766.0
242,2783.0,1886.0,3.0,2459.0,217.0,3141.0,1835.0
243,2810.0,1876.0,3.0,2459.0,216.0,3142.0,1847.0
244,2845.0,1874.0,3.0,2459.0,214.0,3142.0,1821.0
245,2881.0,1874.0,3.0,2448.0,211.0,3140.0,1826.0
246,2924.0,1876.0,3.0,2425.0,214.0,3141.0,1916.0
247,2991.0,1878.0,3.0,2406.0,214.0,3141.0,1908.0
248,2982.0,1882.0,3.0,2397.0,219.0,3141.0,1954.0
249,3112.0,1885.0,3.0,2389.0,218.0,3141.0,2018.0
250,3319.0,1885.0,3.0,2408.0,216.0,3140.0,2037.0
251,3403.0,1898.0,3.0,2449.0,217.0,3140.0,1988.0
252,3450.0,1898.0,3.0,2459.0,216.0,3141.0,1987.0
253,3493.0,1896.0,3.0,2457.0,216.0,3141.0,2009.0
254,3508.0,1896.0,3.0,2460.0,216.0,3141.0,1990.0
255,3473.0,1882.0,3.0,2460.0,213.0,3142.0,1993.0
256,3452.0,1792.0,3.0,2483.0,215.0,3140.0,2028.0
257,3448.0,1799.0,3.0,2521.0,217.0,3140.0,2110.0
258,3469.0,1801.0,3.0,2514.0,221.0,3140.0,2218.0
259,3495.0,1807.0,3.0,2540.0,226.0,3140.0,2346.0
260,3464.0,1810.0,4.0,2573.0,223.0,3141.0,2408.0
261,3492.0,1809.0,4.0,2619.0,223.0,3141.0,2597.0
262,3675.0,1773.0,4.0,2650.0,214.0,3140.0,2692.0
263,3663.0,1782.0,4.0,2674.0,210.0,3141.0,2805.0
