,traffic_absolute_speed
600,49.08
601,49.08
602,49.08
603,49.08
604,49.08
605,49.08
606,49.08
607,49.08
608,49.08
609,49.08
610,49.08
611,49.08
612,49.08
613,49.08
614,49.08
615,49.08
616,49.08
617,49.08
618,49.08
619,49.08
620,49.08
621,49.08
622,50.33
623,49.08
624,50.33
625,50.33
626,50.33
627,50.33
628,50.33
629,50.33
630,50.33
631,50.33
632,50.33
633,50.33
634,50.33
635,50.33
636,50.33
637,50.33
638,50.33
639,50.33
640,50.33
641,50.33
642,50.33
643,50.33
644,50.33
645,50.33
646,50.33
647,50.33
648,50.33
649,50.33
650,50.33
651,50.33
652,50.33
653,50.33
654,50.33
655,50.33
656,50.33
657,50.33
658,50.33
659,50.33
660,50.33
661,50.33
662,50.33
663,50.33
664,50.33
665,50.33
666,50.33
667,50.33
668,50.33
669,50.33
670,50.33
671,50.33
672,50.33
673,50.33
674,50.33
675,50.33
676,50.33
677,50.33
678,50.33
679,50.33
680,50.33
681,50.33
682,50.33
683,50.33
684,50.33
685,50.33
686,50.33
687,50.33
688,50.33
689,50.33
690,50.33
691,50.33
692,50.33
693,50.33
694,50.33
695,50.33
696,50.33
697,50.33
698,50.33
699,50.33
700,50.33
701,50.33
702,50.33
703,50.33
704,50.33
705,50.33
706,50.33
707,50.33
708,50.33
709,50.33
710,50.33
711,50.33
712,50.33
713,50.33
714,50.33
715,50.33
716,50.33
717,50.33
718,50.33
719,50.33
720,50.33
721,50.33
722,50.33
723,50.33
724,50.33
725,50.33
726,50.33
727,50.33
728,50.33
729,50.33
730,50.33
731,50.33
732,50.33
733,50.33
734,50.33
735,50.33
736,50.33
737,50.33
738,50.33
739,50.33
740,50.33
741,50.33
742,50.33
743,50.33
744,50.33
745,50.33
746,50.33
747,50.33
748,50.33
749,50.33
750,50.33
751,50.33
752,50.33
753,50.33
754,50.33
755,50.33
756,50.33
757,50.33
758,50.33
759,50.33
760,50.33
761,50.33
762,50.33
763,50.33
764,50.33
765,50.33
766,50.33
767,50.33
768,50.33
769,50.33
770,50.33
771,50.33
772,50.33
773,50.33
774,50.33
775,50.33
776,50.33
777,50.33
778,50.33
779,50.33
780,50.33
781,50.33
782,50.33
783,50.33
784,50.33
785,50.33
786,50.33
787,50.33
788,50.33
789,50.33
790,50.33
791,50.33
792,50.33
793,50.33
794,50.33
795,50.33
796,50.33
797,50.33
798,50.33
799,50.33
800,50.33
801,50.33
802,50.33
803,50.33
804,50.33
805,50.33
806,50.33
807,50.33
808,50.33
809,50.33
810,50.33
811,50.33
812,50.33
813,50.33
814,50.33
815,50.33
816,50.33
817,50.33
818,50.33
819,50.33
820,50.33
821,50.33
822,50.33
823,50.33
824,50.33
825,50.33
826,50.33
827,50.33
828,50.33
829,50.33
830,50.33
831,50.33
832,50.33
833,50.33
834,50.33
835,50.33
836,50.33
837,50.33
838,50.33
839,50.33
840,50.33
841,50.33
842,50.33
843,50.33
844,50.33
845,50.33
846,50.33
847,50.33
848,50.33
849,50.33
850,50.33
851,50.33
852,50.33
853,50.33
854,50.33
855,50.33
856,50.33
857,50.33
858,50.33
859,50.33
860,50.33
861,50.33
862,50.33
863,50.33
864,50.33
865,50.33
866,50.33
867,50.33
868,50.33
869,50.33
870,50.33
871,50.33
872,50.33
873,50.33
874,50.33
875,50.33
876,50.33
877,50.33
878,50.33
879,50.33
880,50.33
881,50.33
882,50.33
883,50.33
884,50.33
885,50.33
886,50.33
887,50.33
888,50.33
889,50.33
890,50.33
891,50.33
892,50.33
893,50.33
894,50.33
895,50.33
896,50.33
897,50.33
898,50.33
899,50.33
900,50.33
901,50.33
902,50.33
903,50.33
904,50.33
905,50.33
906,50.33
907,50.33
908,50.33
909,50.33
910,50.33
911,50.33
912,50.33
913,50.33
914,50.33
915,50.33
916,50.33
917,50.33
918,50.33
919,50.33
920,50.33
921,50.33
922,50.33
923,50.33
924,50.33
925,50.33
926,50.33
927,50.33
928,50.33
929,50.33
930,50.33
931,50.33
932,50.33
933,50.33
934,50.33
935,50.33
936,50.33
937,50.33
938,50.33
939,50.33
940,50.33
941,50.33
942,50.33
943,50.33
944,50.33
945,50.33
946,50.33
947,50.33
948,50.33
949,50.33
950,50.33
951,50.33
952,50.33
953,50.33
954,50.33
955,50.33
956,50.33
957,50.33
958,50.33
959,50.33
960,50.33
961,50.33
962,50.33
963,50.33
964,50.33
965,50.33
966,50.33
967,50.33
968,50.33
969,50.33
970,50.33
971,50.33
972,50.33
973,50.33
974,50.33
975,50.33
976,50.33
977,50.33
978,50.33
979,50.33
980,50.33
981,50.33
982,50.33
983,50.33
984,50.33
985,50.33
986,50.33
987,50.33
988,50.33
989,50.33
990,50.33
991,50.33
992,50.33
993,50.33
994,50.33
995,50.33
996,50.33
997,50.33
998,50.33
999,50.33
