,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_8a,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes,traffic-nj511-minutes-nj_turnpike_exit_6_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_exit_8a_to_nj_turnpike_exit_14,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes
112,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,15.0,23.0,10.0
113,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,17.0,21.0,10.0
114,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,16.0,21.0,10.0
115,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,17.0,22.0,10.0
116,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,16.0,23.0,10.0
117,11.0,13.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,16.0,22.0,10.0
118,11.0,12.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,15.0,23.0,10.0
119,11.0,10.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,15.0,23.0,10.0
120,11.0,9.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,17.0,23.0,10.0
121,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,23.0,10.0
122,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,23.0,10.0
123,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,17.0,22.0,10.0
124,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,22.0,10.0
125,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,22.0,10.0
126,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,22.0,10.0
127,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,18.0,19.0,10.0
128,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,15.0,19.0,10.0
129,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,15.0,28.0,10.0
130,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,14.0,27.0,10.0
131,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,13.0,26.0,10.0
132,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,11.0,25.0,10.0
133,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,12.0,27.0,10.0
134,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,11.0,28.0,10.0
135,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,11.0,28.0,10.0
136,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,28.0,10.0
137,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,32.0,10.0
138,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,32.0,10.0
139,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,32.0,10.0
140,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,28.0,10.0
141,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,22.0,10.0
142,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,26.0,10.0
143,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,31.0,10.0
144,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,23.0,10.0
145,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,29.0,10.0
146,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,11.0,28.0,10.0
147,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,11.0,31.0,10.0
148,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,30.0,10.0
149,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,31.0,10.0
150,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,31.0,10.0
151,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,30.0,10.0
152,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,31.0,10.0
153,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,28.0,10.0
154,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,28.0,10.0
155,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,28.0,10.0
156,11.0,8.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,26.0,10.0
157,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,21.0,10.0
158,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,20.0,10.0
159,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,23.0,10.0
160,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,23.0,10.0
161,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,18.0,10.0
162,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,20.0,10.0
163,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,18.0,10.0
164,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,18.0,10.0
165,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,17.0,10.0
166,11.0,13.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,17.0,10.0
167,11.0,10.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,18.0,10.0
168,11.0,8.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,18.0,10.0
169,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
