,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
255,20.0,21.0,31.0,29.0
256,20.0,22.0,32.0,30.0
257,23.0,24.0,31.0,29.0
258,25.0,26.0,32.0,31.0
259,26.0,28.0,35.0,33.0
260,30.0,31.0,35.0,33.0
261,28.0,32.0,27.0,26.0
262,24.0,28.0,28.0,28.0
263,23.0,26.0,29.0,28.0
264,22.0,26.0,36.0,35.0
265,22.0,25.0,35.0,32.0
266,28.0,32.0,39.0,37.0
267,26.0,30.0,34.0,33.0
268,22.0,23.0,36.0,34.0
269,27.0,29.0,39.0,37.0
270,27.0,28.0,44.0,39.0
271,24.0,26.0,40.0,36.0
272,24.0,24.0,31.0,28.0
273,24.0,23.0,30.0,27.0
274,22.0,21.0,29.0,25.0
275,20.0,19.0,32.0,26.0
276,28.0,28.0,31.0,26.0
277,33.0,33.0,26.0,24.0
278,32.0,33.0,26.0,24.0
279,32.0,33.0,24.0,23.0
280,28.0,28.0,26.0,24.0
281,28.0,29.0,26.0,26.0
282,31.0,30.0,28.0,27.0
283,35.0,35.0,30.0,30.0
284,30.0,30.0,30.0,30.0
285,31.0,31.0,33.0,31.0
286,35.0,35.0,30.0,29.0
287,32.0,31.0,30.0,29.0
288,29.0,29.0,29.0,28.0
289,32.0,32.0,30.0,29.0
290,34.0,34.0,31.0,30.0
291,32.0,31.0,28.0,27.0
292,33.0,32.0,27.0,26.0
293,31.0,31.0,26.0,25.0
294,34.0,34.0,29.0,28.0
295,30.0,29.0,28.0,27.0
296,32.0,32.0,31.0,30.0
297,29.0,29.0,30.0,29.0
298,27.0,26.0,31.0,30.0
299,29.0,29.0,30.0,30.0
300,29.0,29.0,28.0,27.0
301,28.0,28.0,28.0,27.0
302,32.0,32.0,28.0,27.0
303,27.0,26.0,28.0,27.0
304,25.0,25.0,28.0,27.0
305,29.0,28.0,30.0,29.0
306,36.0,35.0,30.0,29.0
307,39.0,38.0,33.0,32.0
308,40.0,39.0,37.0,36.0
309,46.0,46.0,39.0,38.0
310,50.0,50.0,39.0,38.0
311,48.0,47.0,38.0,37.0
312,44.0,44.0,36.0,36.0
313,40.0,40.0,34.0,33.0
314,41.0,41.0,34.0,33.0
315,46.0,46.0,30.0,30.0
316,51.0,50.0,30.0,30.0
317,55.0,55.0,32.0,32.0
318,49.0,48.0,32.0,30.0
319,44.0,44.0,31.0,30.0
320,39.0,39.0,31.0,30.0
321,39.0,39.0,29.0,28.0
322,36.0,35.0,29.0,29.0
323,39.0,38.0,30.0,29.0
324,38.0,38.0,33.0,32.0
325,38.0,38.0,34.0,33.0
326,42.0,42.0,35.0,34.0
327,42.0,41.0,36.0,35.0
328,47.0,47.0,37.0,36.0
329,48.0,48.0,40.0,39.0
330,56.0,55.0,44.0,43.0
331,56.0,55.0,40.0,40.0
332,56.0,55.0,39.0,39.0
333,54.0,52.0,41.0,40.0
334,53.0,51.0,41.0,41.0
335,47.0,46.0,43.0,43.0
336,47.0,46.0,43.0,43.0
337,49.0,48.0,48.0,48.0
338,43.0,42.0,47.0,46.0
