,electricity-load-nyiso-centrl,electricity-load-nyiso-north,electricity-load-nyiso-nyc,electricity-load-nyiso-west,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-overall,electricity-load-nyiso-millwd,electricity-load-nyiso-capitl
57,2697.5706,667.3009,10056.974,2615.1436,1345.7957,1964.6936,2165.203,4877.218,1345.2845,30756.331899999997,657.0186,2364.1294
58,2693.7607,654.8552,10060.251,2627.37,1346.5063,1965.3522,2175.1072,4877.4385,1336.4104,30758.885899999997,659.7797,2362.0547
59,2700.1758,597.8009,10087.258,2623.5002,1340.2377,1976.4552,2176.7542,4891.4746,1342.9603,30730.238599999997,662.2633,2331.3584
60,2667.635,624.9063,10069.716,2623.29,1357.465,1964.9066,2197.627,4874.4795,1323.9207,30707.2869,662.6853,2340.6555
61,2687.7256,595.2154,10128.533,2631.349,1347.4888,1961.1085,2170.476,4893.7715,1342.6727,30759.2151,663.3067,2337.5679
62,2670.023,606.6779,10153.087,2652.0427,1369.5908,1965.8132,2172.2434,4930.1284,1326.984,30816.588399999993,660.3383,2309.6597
63,2671.221,588.8088,10127.072,2619.0232,1350.3578,1971.7439,2214.981,4913.452,1336.1954,30783.0321,669.792,2320.385
64,2675.3267,585.7763,10103.037,2611.5986,1345.4185,1973.7081,2189.4233,4927.268,1323.9673,30714.6091,668.3665,2310.7188
65,2642.4766,600.0438,10139.231,2634.709,1364.1385,1974.4316,2205.084,4934.798,1328.3662,30805.251599999996,680.2259,2301.747
66,2648.6733,593.3644,10120.898,2620.9937,1361.2238,1975.9739,2214.6746,4945.343,1327.5077,30791.367700000003,666.0446,2316.6707
67,2650.3376,595.6696,10152.971,2639.681,1369.5566,1987.6385,2213.8462,4943.1455,1323.5773,30854.516200000002,664.6007,2313.4922
68,2667.5898,591.4203,10173.535,2613.2468,1357.1594,1996.4893,2216.821,4942.5977,1327.1732,30878.005600000004,662.8303,2329.1428
69,2655.3394,589.6881,10156.379,2625.7224,1375.567,1997.4735,2262.7798,4944.46,1326.7385,30911.261799999997,660.7689,2316.3452
70,2638.2183,587.8249,10120.571,2623.2952,1350.9656,1991.1244,2242.662,4961.9526,1333.2974,30842.3293,671.0734,2321.3445
71,2655.1318,576.3974,10129.195,2632.3208,1350.9904,1978.9495,2220.064,4975.158,1346.3022,30833.019100000005,659.3928,2309.1172
72,2672.9949,572.6452,10123.608,2640.1672,1374.6569,1978.3896,2233.1455,4971.872,1339.9258,30854.3243,657.4536,2289.4656
73,2677.1792,575.7899,10158.077,2635.7773,1364.2491,1978.2334,2203.029,4966.563,1346.1979,30863.952700000005,664.4065,2294.4504
74,2670.147,584.5513,10159.242,2624.6182,1366.2708,1972.3579,2216.838,4962.4165,1351.1555,30857.8098,676.3962,2273.8164
75,2688.571,591.9576,10142.483,2662.2737,1359.075,1954.2549,2199.2039,4988.5503,1345.8618,30900.113400000002,670.4296,2297.4526
76,2688.8708,587.3554,10169.696,2605.2046,1350.7131,1956.1614,2195.2505,4999.9126,1341.315,30861.9264,678.5075,2288.9395
77,2695.1853,587.2135,10154.115,2631.0537,1354.6917,1948.5361,2223.475,4976.9473,1341.0842,30885.3111,682.1733,2290.836
78,2694.0273,586.7703,10165.36,2634.8809,1359.4861,1937.2256,2192.176,4981.661,1344.7657,30872.0212,679.9647,2295.7036
79,2703.7463,579.0057,10150.474,2628.8696,1378.4741,1938.4352,2213.4688,5010.8003,1340.5968,30900.3563,663.6872,2292.7983
80,2687.0908,564.9668,10182.271,2618.9673,1355.9336,1939.8123,2247.0798,5009.53,1362.6655,30943.174899999998,670.3612,2304.4966
81,2700.4573,582.0151,10157.538,2665.2363,1355.0071,1926.4778,2192.4753,5013.899,1354.4841,30925.510500000004,667.5213,2310.3992
82,2713.796,575.9672,10150.933,2652.1555,1353.1985,1924.3113,2194.9006,5004.407,1360.2148,30943.689300000002,682.0969,2331.7085
83,2703.8633,589.9429,10145.854,2631.7896,1349.7615,1929.812,2224.2268,4978.211,1344.8685,30913.179399999997,691.7198,2323.13
84,2716.65,584.1827,10131.833,2625.5415,1360.1549,1902.3358,2183.6045,4998.029,1355.9902,30874.0721,678.6865,2337.064
85,2714.9595,588.6995,10133.939,2611.3774,1364.5925,1916.1394,2214.8599,4997.2446,1352.8386,30912.451800000003,676.0775,2341.7239
86,2716.8818,583.4367,10104.665,2620.2397,1357.5884,1919.2234,2213.956,5011.3755,1362.169,30941.437300000005,693.7608,2358.141
87,2695.1929,573.6284,10121.522,2634.6045,1353.9028,1910.8013,2198.0112,5000.7812,1375.2852,30907.144200000002,683.5172,2359.8975
88,2701.173,583.3856,10115.621,2608.0125,1349.7229,1918.0273,2231.335,5002.99,1374.6177,30930.7615,693.3955,2352.481
89,2695.5088,593.741,10120.274,2608.3806,1353.9658,1920.4146,2229.7788,5005.7827,1380.8328,30944.193900000002,693.4362,2342.0786
90,2697.838,585.6011,10083.461,2612.1492,1343.0428,1920.8455,2243.4023,4975.788,1374.8896,30885.522199999996,687.3909,2361.1138
91,2701.779,581.7119,10108.806,2612.94,1367.2113,1923.54,2213.9536,4979.22,1372.2136,30914.510399999996,683.4675,2369.6675
92,2711.6836,593.1841,10087.742,2589.4573,1348.1663,1899.2196,2236.4187,4992.071,1375.7202,30873.540500000003,681.9587,2357.919
93,2708.0303,586.6581,10079.069,2580.729,1347.4609,1907.0498,2252.1987,4984.492,1383.7175,30884.454200000004,688.2027,2366.8462
94,2718.4468,582.1491,10009.824,2566.1467,1346.6761,1924.3872,2258.8562,4975.4746,1381.3185,30851.791500000003,693.5855,2394.9268
95,2701.357,581.5698,9928.893,2568.2092,1348.3113,1921.9448,2244.688,4974.415,1385.1194,30680.290500000003,689.8855,2335.8975
96,2707.3538,573.2094,9905.867,2556.9324,1363.2861,1924.4467,2231.9866,4943.6816,1391.5282,30605.890000000003,681.4405,2326.1577
97,2690.4512,591.2984,9911.322,2549.2039,1367.2776,1932.224,2240.4897,4927.414,1378.7595,30633.133700000002,684.2759,2360.4175
98,2690.3608,579.1602,9901.568,2555.587,1352.8936,1927.9823,2255.1125,4941.9414,1395.1648,30656.384399999995,686.2988,2370.315
99,2694.3892,577.507,9849.649,2544.9421,1351.0837,1929.4783,2241.913,4906.1943,1402.4287,30528.016400000004,685.4733,2344.9578
100,2688.9863,580.8522,9873.775,2536.0068,1365.0881,1923.3801,2227.6953,4900.584,1407.5479,30504.0364,662.671,2337.4497
101,2669.767,574.0353,9858.195,2534.0256,1343.4629,1927.1018,2245.49,4869.8315,1399.0457,30441.965500000002,679.6074,2341.4033
102,2648.3643,585.9472,9803.391,2514.6562,1355.1959,1919.7373,2224.6958,4849.252,1396.0823,30298.655499999997,662.4871,2338.8464
103,2663.161,581.1818,9804.205,2519.681,1365.3555,1919.5051,2239.725,4836.088,1396.714,30308.1421,656.1351,2326.3906
104,2661.9668,582.8767,9785.552,2513.5881,1341.3547,1918.6189,2241.3406,4855.591,1401.9783,30284.363100000002,668.393,2313.103
105,2640.9526,587.4476,9754.783,2500.9849,1337.5964,1913.0446,2255.783,4787.1655,1403.585,30167.9727,674.1461,2312.484
106,2639.9268,588.0794,9757.5625,2475.0833,1331.2556,1905.9061,2247.7524,4764.883,1388.8142,30066.720299999997,659.4343,2308.0227
107,2624.2356,607.6923,9659.06,2456.4897,1326.2994,1890.3555,2217.7246,4733.9966,1372.6187,29846.696900000003,668.7301,2289.4944
108,2612.2554,604.9984,9662.389,2475.8335,1341.3596,1874.2295,2206.8281,4704.871,1369.6246,29804.109,647.3532,2304.3667
109,2605.182,617.349,9655.933,2462.212,1314.4144,1871.8469,2200.7522,4710.79,1362.6389,29763.5712,656.9982,2305.4546
110,2601.3838,622.2498,9657.248,2452.9492,1287.5468,1866.9666,2204.856,4698.883,1367.5436,29696.3457,651.0551,2285.6638
111,2583.7412,613.2615,9600.09,2447.6892,1291.4055,1863.0579,2213.82,4663.541,1361.2026,29593.697900000003,657.3138,2298.5752
112,2579.7166,621.2376,9616.043,2461.8696,1296.654,1854.2322,2220.1963,4655.031,1351.4016,29590.4493,634.0508,2300.0166
113,2562.6926,623.82,9545.436,2439.0732,1294.8059,1848.6415,2202.1858,4606.91,1355.5886,29404.943399999996,648.46,2277.3298
114,2554.7036,626.9171,9546.54,2434.9558,1293.9458,1839.0765,2185.3853,4580.4175,1347.0371,29328.1931,642.1246,2277.0898
115,2535.6616,622.0582,9491.224,2435.9592,1294.4204,1843.8782,2179.03,4558.6973,1345.6967,29240.6689,641.7335,2292.3098
116,2535.7527,635.9397,9516.312,2444.433,1284.6329,1833.5181,2155.1313,4562.4004,1343.2511,29219.9853,640.2877,2268.3264
117,2509.7297,645.731,9472.633,2409.8645,1297.0918,1815.8069,2143.2778,4509.0547,1344.783,29030.071200000002,631.2321,2250.8667
118,2512.4233,644.3289,9452.47,2419.5527,1289.4735,1817.7435,2156.6157,4499.9004,1330.4359,28981.214400000004,621.4345,2236.836
119,2489.7573,633.5159,9368.734,2391.5552,1288.336,1807.4314,2132.4941,4461.8086,1336.8472,28785.4788,633.7215,2241.2776
120,2497.3167,637.6561,9349.564,2398.3472,1275.6265,1798.0696,2146.7646,4428.7695,1339.6595,28715.2411,630.6649,2212.8025
121,2496.8394,641.7457,9358.828,2374.4548,1279.9098,1794.1858,2112.295,4429.7207,1333.9893,28666.729999999996,626.9344,2217.8271
122,2478.1133,634.2967,9362.484,2359.4016,1282.6014,1791.2356,2103.8486,4402.972,1333.9735,28607.820799999998,644.9036,2213.9905
123,2479.6128,633.885,9336.736,2373.3733,1287.466,1785.127,2101.0312,4392.2734,1333.8364,28567.517,628.8224,2215.3535
124,2484.2883,638.5149,9330.365,2382.7727,1273.1948,1780.9558,2101.8516,4359.0034,1330.9009,28496.2268,619.1401,2195.2393
125,2462.502,640.2119,9331.796,2360.6597,1271.1971,1779.376,2122.4749,4348.8926,1332.4128,28504.286999999997,635.9661,2218.7979
126,2460.541,646.1154,9372.652,2371.6365,1268.4521,1774.0776,2103.1145,4350.028,1334.4695,28518.9533,627.3232,2210.5435
127,2440.776,654.7827,9365.416,2353.5083,1268.7698,1776.068,2101.774,4358.2393,1326.8954,28462.7414,615.9719,2200.54
128,2438.9863,655.4465,9355.257,2347.6262,1256.9049,1769.0234,2087.1655,4353.758,1317.7946,28391.129899999993,619.7761,2189.3914
129,2427.2083,662.4482,9313.932,2350.028,1261.4019,1760.9568,2053.944,4328.341,1321.7147,28277.1319,617.9087,2179.2483
130,2443.1055,669.1584,9326.671,2348.133,1273.2603,1754.3313,2074.6763,4312.374,1313.8147,28283.5905,597.09,2170.976
131,2427.0864,664.6138,9229.614,2327.392,1266.6975,1749.6364,2065.15,4277.074,1295.5175,28073.004500000003,606.3696,2163.8533
132,2408.201,648.8938,9207.379,2335.011,1273.3739,1747.1768,2068.6204,4250.596,1308.5955,28014.1419,594.7471,2171.5474
133,2407.1675,638.499,9199.33,2340.8613,1257.5741,1739.1161,2033.1755,4255.46,1306.4104,27951.005100000002,603.0308,2170.3804
134,2387.6558,649.2407,9186.798,2332.2266,1257.6708,1736.779,2012.9662,4221.788,1286.5092,27799.9902,584.3745,2143.9814
135,2383.2703,651.1132,9191.742,2320.773,1235.7992,1733.1925,2024.8041,4203.497,1279.7219,27764.7989,592.9537,2147.932
136,2371.941,654.2821,9137.906,2313.846,1253.2959,1723.2388,1991.888,4174.725,1272.9912,27600.269600000003,584.7808,2121.3748
137,2361.5205,649.0474,9146.913,2300.9355,1242.8292,1717.4048,1986.4967,4159.4043,1265.0289,27523.5742,579.1129,2114.881
138,2347.732,638.3638,9113.629,2323.6023,1233.6506,1712.7332,1993.5958,4137.8154,1267.612,27466.3806,583.5465,2114.1
139,2337.6577,646.2966,9055.585,2333.8037,1235.1884,1700.8132,1946.4724,4114.448,1249.5956,27303.151200000004,579.7664,2103.5242
140,2329.1904,642.7211,9033.091,2334.8645,1219.9176,1689.2319,1943.5483,4045.1584,1247.6725,27158.5045,583.4396,2089.6692
141,2339.5898,643.0195,9020.93,2339.2463,1214.6823,1675.2266,1919.8572,4025.397,1237.5552,27083.375600000003,575.9994,2091.8723
142,2339.3357,648.9601,9004.174,2333.1929,1212.616,1673.6337,1942.2865,3990.937,1231.3989,27012.422599999998,571.2584,2064.6294
143,2326.1191,647.2861,8933.926,2310.8418,1188.7986,1662.5491,1904.7153,3952.6409,1210.6248,26749.103300000002,566.5381,2045.0635
144,2302.942,642.712,8926.516,2291.3577,1180.1125,1647.1644,1887.0654,3928.2515,1212.2736,26594.8284,552.0051,2024.4282
