,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
390,2.0,28.0,9.0
391,2.0,28.0,9.0
392,3.0,27.0,11.0
393,3.0,27.0,11.0
394,3.0,33.0,6.0
395,3.0,33.0,6.0
396,2.0,48.0,7.0
397,2.0,48.0,7.0
398,4.0,49.0,11.0
399,4.0,49.0,11.0
400,10.0,43.0,16.0
401,10.0,43.0,16.0
402,10.0,55.0,23.0
403,10.0,55.0,23.0
404,7.0,52.0,11.0
405,7.0,52.0,11.0
406,6.0,59.0,12.0
407,6.0,59.0,12.0
408,12.0,62.0,15.0
409,12.0,62.0,15.0
410,17.0,50.0,22.0
411,17.0,50.0,22.0
412,20.0,55.0,29.0
413,20.0,55.0,29.0
414,8.0,53.0,28.0
415,8.0,53.0,28.0
416,5.0,46.0,28.0
417,5.0,46.0,28.0
418,4.0,56.0,37.0
419,4.0,56.0,37.0
420,4.0,54.0,50.0
421,4.0,54.0,50.0
422,3.0,44.0,57.0
423,3.0,44.0,57.0
424,11.0,40.0,65.0
425,11.0,40.0,65.0
426,31.0,47.0,60.0
427,31.0,47.0,60.0
428,37.0,52.0,54.0
429,37.0,52.0,54.0
430,35.0,66.0,45.0
431,35.0,66.0,45.0
432,34.0,45.0,48.0
433,34.0,45.0,48.0
434,39.0,37.0,13.0
435,39.0,37.0,13.0
436,45.0,38.0,8.0
437,45.0,38.0,8.0
438,12.0,28.0,11.0
439,12.0,28.0,11.0
440,12.0,34.0,14.0
441,12.0,34.0,14.0
442,22.0,23.0,8.0
443,22.0,23.0,8.0
444,6.0,16.0,3.0
445,6.0,16.0,3.0
446,10.0,21.0,6.0
447,10.0,21.0,6.0
448,13.0,20.0,6.0
449,13.0,20.0,6.0
450,0.0,22.0,0.0
451,0.0,22.0,0.0
452,0.0,23.0,0.0
453,0.0,23.0,0.0
454,0.0,36.0,16.0
455,0.0,36.0,16.0
456,16.0,34.0,17.0
457,16.0,34.0,17.0
458,20.0,29.0,17.0
459,20.0,29.0,17.0
460,20.0,29.0,0.0
461,20.0,29.0,0.0
462,0.0,29.0,0.0
463,0.0,29.0,0.0
464,0.0,30.0,0.0
465,0.0,30.0,0.0
466,2.0,20.0,17.0
467,2.0,20.0,17.0
468,2.0,23.0,14.0
469,2.0,23.0,14.0
470,1.0,30.0,9.0
471,1.0,30.0,9.0
472,5.0,35.0,3.0
473,5.0,35.0,3.0
474,6.0,47.0,4.0
475,6.0,47.0,4.0
476,11.0,35.0,8.0
477,11.0,35.0,8.0
478,19.0,30.0,9.0
479,19.0,30.0,9.0
480,20.0,22.0,7.0
481,20.0,22.0,7.0
482,11.0,22.0,10.0
483,11.0,22.0,10.0
484,14.0,21.0,14.0
485,14.0,21.0,14.0
486,28.0,17.0,19.0
487,28.0,17.0,19.0
488,35.0,19.0,25.0
489,35.0,19.0,25.0
490,51.0,30.0,17.0
491,51.0,30.0,17.0
492,58.0,34.0,13.0
493,58.0,34.0,13.0
