,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
507,180.0,301.0
508,165.0,273.0
509,162.0,296.0
510,166.0,306.0
511,146.0,286.0
512,154.0,273.0
513,163.0,248.0
514,178.0,282.0
515,135.0,319.0
516,158.0,284.0
517,140.0,273.0
518,163.0,259.0
519,143.0,302.0
520,158.0,293.0
521,154.0,278.0
522,149.0,317.0
523,173.0,264.0
524,159.0,301.0
525,162.0,265.0
526,141.0,271.0
527,155.0,294.0
528,161.0,263.0
529,161.0,270.0
530,153.0,258.0
531,171.0,263.0
532,142.0,273.0
533,157.0,270.0
534,139.0,277.0
535,173.0,270.0
536,153.0,307.0
537,137.0,323.0
538,149.0,279.0
539,161.0,347.0
540,179.0,314.0
541,137.0,288.0
542,157.0,357.0
543,148.0,323.0
544,151.0,276.0
545,148.0,302.0
546,147.0,287.0
547,137.0,314.0
548,150.0,307.0
549,161.0,265.0
550,139.0,295.0
551,168.0,253.0
552,173.0,269.0
553,137.0,282.0
554,143.0,276.0
555,146.0,294.0
556,141.0,290.0
557,157.0,284.0
558,148.0,291.0
559,126.0,290.0
560,153.0,252.0
561,158.0,291.0
562,141.0,278.0
563,153.0,273.0
564,146.0,301.0
565,143.0,306.0
566,155.0,267.0
567,133.0,279.0
568,156.0,310.0
569,143.0,294.0
570,134.0,290.0
571,155.0,298.0
572,166.0,270.0
573,166.0,287.0
574,126.0,279.0
575,130.0,317.0
576,139.0,294.0
577,143.0,282.0
578,145.0,296.0
579,152.0,285.0
580,139.0,296.0
581,139.0,294.0
582,132.0,294.0
583,150.0,297.0
584,146.0,301.0
585,119.0,278.0
586,144.0,295.0
587,144.0,272.0
588,140.0,267.0
589,148.0,308.0
590,122.0,290.0
591,142.0,249.0
592,136.0,288.0
593,160.0,272.0
594,148.0,261.0
595,124.0,284.0
596,145.0,297.0
597,152.0,274.0
598,136.0,278.0
599,198.0,363.0
600,150.0,310.0
601,127.0,274.0
602,155.0,321.0
603,136.0,263.0
604,153.0,316.0
605,151.0,295.0
606,145.0,297.0
607,142.0,272.0
608,108.0,306.0
609,145.0,264.0
610,133.0,271.0
611,143.0,300.0
612,138.0,260.0
613,138.0,274.0
614,136.0,290.0
615,143.0,267.0
616,134.0,306.0
617,150.0,275.0
618,145.0,268.0
619,144.0,292.0
620,125.0,287.0
621,133.0,262.0
622,143.0,253.0
623,139.0,265.0
624,139.0,296.0
625,112.0,305.0
626,129.0,262.0
627,150.0,299.0
628,139.0,288.0
629,135.0,261.0
630,164.0,258.0
631,121.0,245.0
632,123.0,277.0
633,146.0,287.0
634,129.0,270.0
635,154.0,261.0
636,147.0,242.0
637,134.0,268.0
638,132.0,252.0
639,120.0,263.0
640,149.0,251.0
641,152.0,269.0
642,149.0,292.0
643,137.0,271.0
644,151.0,276.0
645,132.0,260.0
646,140.0,269.0
647,110.0,264.0
648,118.0,243.0
649,159.0,288.0
650,157.0,240.0
651,146.0,225.0
652,146.0,264.0
653,131.0,264.0
654,123.0,257.0
655,129.0,262.0
656,150.0,271.0
657,107.0,292.0
658,127.0,261.0
659,57.0,127.0
660,12.0,31.0
661,20.0,36.0
662,48.0,83.0
663,26.0,47.0
664,21.0,55.0
665,41.0,89.0
666,61.0,153.0
667,47.0,77.0
668,91.0,186.0
669,82.0,181.0
670,51.0,119.0
671,73.0,182.0
672,79.0,173.0
673,74.0,181.0
674,71.0,158.0
675,48.0,89.0
676,114.0,204.0
677,103.0,218.0
678,65.0,108.0
679,25.0,41.0
680,13.0,35.0
681,25.0,38.0
682,62.0,96.0
683,20.0,38.0
684,18.0,29.0
685,20.0,36.0
686,18.0,47.0
687,87.0,202.0
688,54.0,134.0
689,17.0,33.0
690,17.0,29.0
691,16.0,35.0
692,16.0,39.0
693,23.0,56.0
694,59.0,125.0
695,75.0,151.0
696,99.0,209.0
697,88.0,218.0
698,76.0,126.0
699,17.0,42.0
700,21.0,37.0
701,68.0,116.0
702,71.0,117.0
703,64.0,131.0
704,89.0,155.0
705,82.0,165.0
706,59.0,100.0
707,38.0,64.0
708,81.0,156.0
709,12.0,27.0
710,52.0,96.0
711,19.0,53.0
712,24.0,49.0
713,50.0,98.0
714,72.0,196.0
715,75.0,201.0
716,82.0,194.0
717,64.0,138.0
718,79.0,183.0
719,42.0,109.0
720,40.0,66.0
721,51.0,122.0
722,23.0,47.0
723,16.0,38.0
724,66.0,140.0
725,85.0,188.0
