,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
674,23.0,55.0,34.0
675,23.0,51.0,26.0
676,23.0,51.0,26.0
677,15.0,36.0,21.0
678,15.0,36.0,21.0
679,16.0,39.0,25.0
680,16.0,39.0,25.0
681,17.0,41.0,38.0
682,17.0,41.0,38.0
683,17.0,41.0,38.0
684,21.0,50.0,52.0
685,21.0,50.0,52.0
686,28.0,52.0,62.0
687,28.0,52.0,62.0
688,33.0,62.0,61.0
689,33.0,62.0,61.0
690,32.0,90.0,32.0
691,32.0,90.0,32.0
692,25.0,127.0,12.0
693,25.0,127.0,12.0
694,7.0,124.0,14.0
695,7.0,124.0,14.0
696,5.0,131.0,9.0
697,5.0,131.0,9.0
698,5.0,131.0,9.0
699,3.0,173.0,5.0
700,3.0,173.0,5.0
701,3.0,173.0,5.0
702,2.0,209.0,0.0
703,2.0,209.0,0.0
704,2.0,113.0,1.0
705,2.0,113.0,1.0
706,2.0,134.0,8.0
707,2.0,134.0,8.0
708,2.0,181.0,6.0
709,2.0,181.0,6.0
710,5.0,208.0,2.0
711,5.0,208.0,2.0
712,8.0,209.0,4.0
713,8.0,209.0,4.0
714,1.0,188.0,7.0
715,1.0,188.0,7.0
716,1.0,193.0,4.0
717,1.0,193.0,4.0
718,0.0,195.0,11.0
719,0.0,195.0,11.0
720,0.0,183.0,14.0
721,0.0,183.0,14.0
722,0.0,132.0,18.0
723,0.0,132.0,18.0
724,0.0,108.0,27.0
725,0.0,108.0,27.0
726,0.0,77.0,27.0
727,0.0,77.0,27.0
728,0.0,77.0,27.0
729,0.0,96.0,0.0
730,0.0,96.0,0.0
731,0.0,118.0,0.0
732,0.0,118.0,0.0
733,0.0,118.0,0.0
734,0.0,63.0,0.0
735,0.0,63.0,0.0
736,0.0,72.0,0.0
737,0.0,72.0,0.0
738,0.0,79.0,0.0
739,0.0,79.0,0.0
740,14.0,44.0,2.0
741,14.0,44.0,2.0
742,15.0,53.0,4.0
743,15.0,53.0,4.0
744,17.0,59.0,5.0
745,17.0,59.0,5.0
746,19.0,70.0,4.0
747,19.0,70.0,4.0
748,15.0,93.0,11.0
749,15.0,93.0,11.0
750,15.0,111.0,20.0
751,15.0,111.0,20.0
752,18.0,117.0,22.0
753,18.0,117.0,22.0
754,21.0,125.0,24.0
755,21.0,125.0,24.0
756,20.0,144.0,34.0
757,20.0,144.0,34.0
758,22.0,129.0,33.0
759,22.0,129.0,33.0
760,16.0,108.0,26.0
761,16.0,108.0,26.0
762,15.0,108.0,24.0
763,15.0,108.0,24.0
764,13.0,117.0,24.0
765,13.0,117.0,24.0
766,11.0,123.0,21.0
767,11.0,123.0,21.0
768,11.0,123.0,21.0
769,11.0,100.0,15.0
770,11.0,100.0,15.0
771,13.0,44.0,19.0
772,13.0,44.0,19.0
773,10.0,41.0,26.0
774,10.0,41.0,26.0
775,8.0,48.0,18.0
776,8.0,48.0,18.0
777,9.0,42.0,14.0
778,9.0,42.0,14.0
779,9.0,42.0,14.0
780,9.0,45.0,13.0
781,9.0,45.0,13.0
782,8.0,49.0,14.0
783,8.0,49.0,14.0
784,16.0,53.0,20.0
785,16.0,53.0,20.0
786,16.0,75.0,41.0
787,16.0,75.0,41.0
788,16.0,75.0,41.0
789,23.0,100.0,44.0
790,30.0,111.0,42.0
791,30.0,111.0,42.0
792,24.0,128.0,41.0
793,24.0,128.0,41.0
794,24.0,128.0,41.0
795,16.0,124.0,40.0
796,16.0,124.0,40.0
797,16.0,121.0,39.0
798,16.0,121.0,39.0
799,10.0,95.0,27.0
800,10.0,95.0,27.0
801,5.0,69.0,18.0
802,5.0,69.0,18.0
803,8.0,83.0,4.0
804,8.0,83.0,4.0
805,8.0,83.0,4.0
806,6.0,93.0,1.0
807,6.0,93.0,1.0
808,4.0,96.0,0.0
809,4.0,96.0,0.0
810,4.0,115.0,3.0
811,4.0,115.0,3.0
812,4.0,115.0,3.0
813,9.0,148.0,4.0
814,9.0,148.0,4.0
815,24.0,166.0,10.0
816,24.0,166.0,10.0
817,24.0,166.0,10.0
818,24.0,166.0,10.0
819,24.0,209.0,0.0
820,24.0,209.0,0.0
821,24.0,209.0,0.0
822,24.0,209.0,0.0
823,4.0,198.0,0.0
824,4.0,198.0,0.0
825,4.0,198.0,0.0
826,4.0,155.0,0.0
827,4.0,155.0,0.0
828,0.0,153.0,0.0
829,0.0,153.0,0.0
830,0.0,153.0,0.0
831,0.0,153.0,0.0
832,0.0,163.0,0.0
833,0.0,163.0,0.0
834,20.0,198.0,24.0
835,20.0,198.0,24.0
836,20.0,68.0,27.0
837,20.0,68.0,27.0
838,20.0,68.0,27.0
839,0.0,75.0,27.0
840,0.0,75.0,27.0
841,10.0,66.0,0.0
842,10.0,66.0,0.0
843,14.0,51.0,11.0
844,14.0,51.0,11.0
845,5.0,67.0,14.0
846,5.0,67.0,14.0
847,4.0,53.0,15.0
848,4.0,53.0,15.0
849,30.0,55.0,18.0
850,30.0,55.0,18.0
851,23.0,92.0,18.0
852,23.0,92.0,18.0
853,20.0,104.0,17.0
854,20.0,104.0,17.0
855,20.0,104.0,17.0
856,10.0,129.0,7.0
857,10.0,129.0,7.0
858,7.0,121.0,17.0
859,7.0,121.0,17.0
860,12.0,130.0,22.0
861,12.0,130.0,22.0
862,20.0,164.0,22.0
863,20.0,164.0,22.0
864,1.0,156.0,27.0
865,1.0,156.0,27.0
866,8.0,127.0,41.0
867,8.0,127.0,41.0
868,12.0,122.0,53.0
869,12.0,122.0,53.0
870,12.0,122.0,53.0
871,3.0,150.0,59.0
872,3.0,150.0,59.0
873,6.0,170.0,62.0
874,6.0,170.0,62.0
875,13.0,143.0,74.0
876,13.0,143.0,74.0
877,15.0,132.0,100.0
878,15.0,132.0,100.0
879,18.0,158.0,99.0
880,18.0,158.0,99.0
881,18.0,154.0,96.0
882,18.0,154.0,96.0
883,16.0,113.0,91.0
884,16.0,113.0,91.0
885,18.0,101.0,106.0
886,18.0,101.0,106.0
887,22.0,133.0,132.0
888,22.0,133.0,132.0
889,22.0,133.0,132.0
890,23.0,109.0,168.0
891,23.0,109.0,168.0
892,23.0,109.0,168.0
893,29.0,78.0,166.0
894,29.0,78.0,166.0
895,43.0,76.0,172.0
896,43.0,76.0,172.0
897,47.0,72.0,150.0
898,47.0,72.0,150.0
899,46.0,73.0,155.0
900,46.0,73.0,155.0
901,50.0,94.0,160.0
902,50.0,94.0,160.0
903,49.0,54.0,159.0
904,49.0,54.0,159.0
905,45.0,63.0,181.0
906,45.0,63.0,181.0
907,45.0,63.0,181.0
908,43.0,74.0,117.0
909,43.0,74.0,117.0
910,31.0,93.0,129.0
911,31.0,93.0,129.0
912,31.0,93.0,129.0
913,31.0,93.0,129.0
914,13.0,98.0,93.0
915,13.0,98.0,93.0
916,10.0,166.0,188.0
917,10.0,166.0,188.0
918,11.0,210.0,155.0
919,11.0,210.0,155.0
920,19.0,172.0,124.0
921,19.0,172.0,124.0
922,36.0,117.0,86.0
923,36.0,117.0,86.0
924,40.0,114.0,61.0
925,40.0,114.0,61.0
926,38.0,90.0,71.0
927,38.0,90.0,71.0
928,9.0,76.0,0.0
929,9.0,76.0,0.0
930,0.0,66.0,0.0
931,0.0,66.0,0.0
932,0.0,23.0,0.0
933,0.0,23.0,0.0
934,0.0,26.0,0.0
935,0.0,26.0,0.0
936,0.0,34.0,13.0
937,0.0,34.0,13.0
938,0.0,15.0,8.0
939,0.0,15.0,8.0
940,0.0,36.0,3.0
941,0.0,36.0,3.0
942,0.0,44.0,0.0
943,0.0,44.0,0.0
944,0.0,58.0,0.0
945,0.0,58.0,0.0
946,18.0,61.0,0.0
947,18.0,61.0,0.0
948,15.0,62.0,18.0
949,15.0,62.0,18.0
950,15.0,58.0,19.0
