,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
592,9.0,34.0
593,17.0,38.0
594,14.0,35.0
595,16.0,27.0
596,19.0,35.0
597,13.0,30.0
598,8.0,35.0
599,14.0,28.0
600,19.0,25.0
601,19.0,26.0
602,13.0,25.0
603,9.0,34.0
604,16.0,27.0
605,8.0,25.0
606,10.0,46.0
607,12.0,30.0
608,14.0,36.0
609,18.0,35.0
610,15.0,27.0
611,13.0,22.0
612,16.0,25.0
613,13.0,40.0
614,17.0,24.0
615,12.0,31.0
616,12.0,31.0
617,15.0,29.0
618,17.0,28.0
619,18.0,34.0
620,18.0,32.0
621,13.0,37.0
622,18.0,31.0
623,21.0,37.0
624,14.0,28.0
625,9.0,26.0
626,13.0,41.0
627,17.0,30.0
628,11.0,40.0
629,18.0,37.0
630,15.0,24.0
631,15.0,32.0
632,8.0,29.0
633,17.0,32.0
634,6.0,29.0
635,14.0,32.0
636,16.0,36.0
637,17.0,35.0
638,12.0,21.0
639,15.0,43.0
640,17.0,31.0
641,15.0,34.0
642,11.0,35.0
643,13.0,29.0
644,13.0,24.0
645,11.0,21.0
646,15.0,29.0
647,12.0,40.0
648,18.0,37.0
649,12.0,32.0
650,17.0,26.0
651,17.0,24.0
652,5.0,42.0
653,9.0,31.0
654,14.0,25.0
655,14.0,34.0
656,8.0,24.0
657,9.0,37.0
658,12.0,32.0
659,13.0,41.0
660,12.0,33.0
661,16.0,26.0
662,11.0,23.0
663,21.0,35.0
664,19.0,28.0
665,9.0,23.0
666,14.0,33.0
667,13.0,29.0
668,18.0,25.0
669,10.0,26.0
670,15.0,27.0
671,12.0,27.0
672,19.0,23.0
673,15.0,18.0
674,18.0,20.0
675,10.0,37.0
676,16.0,35.0
677,18.0,32.0
678,12.0,19.0
679,9.0,26.0
680,8.0,28.0
681,13.0,26.0
682,19.0,28.0
683,13.0,31.0
684,9.0,36.0
685,19.0,31.0
686,16.0,37.0
687,13.0,33.0
688,8.0,34.0
689,11.0,26.0
690,18.0,23.0
691,13.0,38.0
692,15.0,26.0
693,13.0,26.0
694,15.0,21.0
695,11.0,30.0
696,19.0,29.0
697,17.0,26.0
698,11.0,25.0
699,6.0,22.0
700,13.0,18.0
701,16.0,37.0
702,13.0,17.0
703,16.0,26.0
704,16.0,18.0
705,14.0,24.0
706,16.0,24.0
707,9.0,28.0
708,15.0,30.0
709,13.0,36.0
710,11.0,30.0
711,13.0,29.0
712,16.0,20.0
713,13.0,26.0
714,14.0,24.0
715,17.0,30.0
716,11.0,34.0
717,9.0,19.0
718,18.0,22.0
719,13.0,25.0
720,16.0,17.0
721,9.0,30.0
722,20.0,36.0
723,13.0,21.0
724,8.0,27.0
725,14.0,18.0
726,15.0,32.0
727,9.0,27.0
728,10.0,33.0
729,15.0,30.0
730,10.0,35.0
731,21.0,27.0
732,15.0,34.0
733,12.0,21.0
734,19.0,28.0
735,18.0,33.0
736,16.0,27.0
737,10.0,29.0
738,17.0,35.0
739,14.0,20.0
740,18.0,18.0
741,15.0,25.0
742,9.0,32.0
743,13.0,24.0
744,22.0,34.0
745,11.0,18.0
746,20.0,23.0
747,9.0,23.0
748,8.0,23.0
749,16.0,32.0
750,17.0,23.0
751,19.0,18.0
752,16.0,24.0
753,12.0,28.0
754,15.0,23.0
755,9.0,17.0
756,21.0,18.0
757,13.0,23.0
758,16.0,19.0
759,19.0,32.0
760,14.0,27.0
761,9.0,29.0
762,10.0,30.0
763,21.0,28.0
764,15.0,29.0
765,12.0,30.0
766,22.0,26.0
767,17.0,29.0
768,12.0,24.0
769,9.0,27.0
770,11.0,38.0
771,14.0,35.0
772,13.0,22.0
773,14.0,29.0
774,18.0,17.0
775,17.0,33.0
776,15.0,26.0
777,17.0,22.0
778,23.0,39.0
779,16.0,33.0
780,22.0,30.0
781,22.0,22.0
782,23.0,28.0
783,15.0,37.0
784,19.0,29.0
785,22.0,32.0
786,17.0,27.0
787,7.0,23.0
788,18.0,37.0
789,15.0,30.0
790,17.0,29.0
791,19.0,29.0
792,19.0,15.0
793,29.0,23.0
794,11.0,32.0
795,16.0,24.0
796,18.0,31.0
797,16.0,32.0
798,19.0,34.0
799,23.0,32.0
800,9.0,22.0
801,15.0,26.0
802,16.0,31.0
803,14.0,41.0
804,18.0,24.0
805,16.0,28.0
806,19.0,27.0
807,20.0,27.0
808,17.0,30.0
809,16.0,31.0
810,12.0,31.0
811,19.0,27.0
812,17.0,29.0
813,12.0,26.0
814,15.0,35.0
815,17.0,39.0
816,18.0,21.0
817,19.0,25.0
818,14.0,34.0
819,14.0,36.0
820,12.0,29.0
821,25.0,25.0
822,15.0,30.0
823,15.0,30.0
824,18.0,24.0
825,19.0,28.0
826,18.0,30.0
827,19.0,34.0
828,11.0,37.0
829,16.0,26.0
830,18.0,23.0
831,12.0,31.0
832,15.0,30.0
833,24.0,29.0
834,22.0,29.0
835,22.0,28.0
836,11.0,35.0
837,22.0,31.0
838,23.0,12.0
839,20.0,33.0
840,13.0,37.0
841,17.0,28.0
842,17.0,32.0
843,23.0,33.0
844,19.0,23.0
845,22.0,17.0
846,15.0,19.0
847,17.0,40.0
848,14.0,31.0
849,16.0,42.0
850,21.0,35.0
851,15.0,30.0
852,20.0,21.0
853,14.0,22.0
854,16.0,32.0
855,16.0,35.0
856,18.0,30.0
857,15.0,26.0
858,22.0,32.0
859,28.0,35.0
860,18.0,42.0
861,28.0,27.0
862,25.0,36.0
863,14.0,19.0
864,18.0,30.0
865,18.0,37.0
866,19.0,35.0
867,12.0,29.0
868,20.0,30.0
869,21.0,30.0
870,25.0,22.0
871,14.0,32.0
872,18.0,32.0
873,21.0,33.0
874,22.0,35.0
875,19.0,31.0
876,19.0,32.0
877,20.0,35.0
878,14.0,32.0
879,20.0,21.0
880,16.0,26.0
881,8.0,37.0
882,27.0,31.0
883,20.0,37.0
884,17.0,30.0
885,27.0,31.0
886,18.0,36.0
887,25.0,36.0
888,11.0,25.0
889,19.0,22.0
890,22.0,29.0
891,20.0,47.0
892,21.0,28.0
893,12.0,30.0
894,18.0,37.0
895,21.0,35.0
896,32.0,36.0
897,14.0,38.0
898,27.0,23.0
899,26.0,28.0
900,28.0,29.0
901,27.0,28.0
902,20.0,38.0
903,16.0,41.0
904,16.0,31.0
905,19.0,40.0
906,24.0,32.0
907,19.0,27.0
908,22.0,24.0
909,17.0,49.0
910,20.0,37.0
911,26.0,27.0
912,16.0,33.0
913,20.0,38.0
914,22.0,35.0
915,22.0,30.0
916,16.0,37.0
917,21.0,30.0
918,21.0,44.0
919,21.0,32.0
920,22.0,31.0
921,19.0,40.0
922,22.0,44.0
923,22.0,30.0
924,25.0,38.0
925,31.0,43.0
926,17.0,29.0
927,19.0,38.0
928,20.0,25.0
929,25.0,43.0
930,17.0,33.0
931,17.0,31.0
932,16.0,37.0
933,26.0,40.0
934,19.0,38.0
935,19.0,39.0
936,21.0,39.0
937,16.0,36.0
938,22.0,33.0
939,22.0,35.0
940,25.0,35.0
941,25.0,37.0
942,22.0,35.0
943,12.0,47.0
944,10.0,37.0
945,23.0,36.0
946,19.0,41.0
947,22.0,36.0
948,22.0,41.0
949,22.0,39.0
950,27.0,37.0
951,23.0,36.0
952,26.0,39.0
953,18.0,42.0
954,13.0,38.0
955,28.0,27.0
956,14.0,31.0
957,20.0,41.0
958,17.0,30.0
959,23.0,29.0
960,23.0,27.0
961,25.0,31.0
962,26.0,48.0
963,15.0,33.0
964,30.0,35.0
965,29.0,33.0
966,21.0,37.0
967,25.0,34.0
968,22.0,35.0
969,25.0,50.0
970,22.0,49.0
971,21.0,44.0
972,21.0,43.0
973,23.0,33.0
974,17.0,34.0
975,20.0,44.0
976,22.0,43.0
977,24.0,40.0
978,23.0,45.0
979,20.0,37.0
980,28.0,49.0
981,20.0,38.0
982,28.0,50.0
983,16.0,32.0
984,18.0,36.0
985,21.0,33.0
986,24.0,44.0
987,27.0,34.0
988,32.0,38.0
989,20.0,34.0
990,25.0,39.0
991,20.0,51.0
992,26.0,33.0
993,17.0,43.0
994,14.0,47.0
995,26.0,40.0
996,24.0,43.0
997,17.0,50.0
998,26.0,49.0
999,25.0,40.0
