,electricity-load-nyiso-west,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-north,electricity-load-nyiso-longil,electricity-load-nyiso-overall,electricity-load-nyiso-capitl,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-nyc,electricity-load-nyiso-genese
710,1723.6466,1706.0509,992.8175,792.5802,582.6123,2232.2617,16753.6912,1271.3892,616.3897,311.6695,5370.081,1154.1926
711,1713.9755,1712.509,975.463,791.8187,590.9367,2225.8247,16675.883,1259.9225,611.0171,314.8947,5334.176,1145.3451
712,1706.638,1704.076,979.9358,783.6102,585.6325,2212.6733,16566.307099999998,1253.4645,611.0462,301.7833,5288.156,1139.2913
713,1714.8221,1699.0194,958.1575,778.5743,588.4382,2189.3071,16508.7294,1246.3506,603.2356,309.4218,5285.7817,1135.6211
714,1719.6061,1648.6527,971.9888,762.7516,592.5998,2180.4211,16389.4065,1230.8069,604.6016,302.6409,5251.9297,1123.4073
715,1671.5546,1652.237,948.9042,759.6377,583.1433,2169.407,16243.7526,1224.4243,593.6963,302.707,5228.128,1109.9132
716,1672.32,1654.3854,958.9985,753.0217,582.4299,2134.4465,16175.075799999999,1215.7751,586.9876,307.0439,5202.723,1106.9442
717,1659.4467,1663.1785,964.1145,745.5217,586.9016,2115.7202,16140.4098,1210.5146,611.1606,300.441,5179.2104,1104.2
718,1663.1418,1634.0903,954.0457,737.8689,588.454,2100.499,16041.1054,1206.4087,583.7017,305.0166,5167.6597,1100.219
719,1634.1248,1596.738,878.3853,730.4562,576.3467,2085.4946,15815.6832,1196.9818,586.7253,299.1891,5145.9023,1085.3391
720,1651.4221,1616.1785,936.9996,737.6368,580.6329,2091.1348,15866.128999999997,1189.3223,594.8671,273.5294,5106.119,1088.2865
721,1650.5874,1603.948,923.2281,728.8613,587.2257,2057.9004,15767.1211,1179.9031,594.766,287.8576,5077.1484,1075.6951
722,1630.4408,1605.3228,935.3457,723.9185,583.6246,2037.9534,15679.750499999998,1168.492,574.6141,282.6824,5069.142,1068.2142
723,1627.0908,1607.3309,910.9063,712.5577,579.9208,2037.7778,15570.303399999999,1168.908,563.6849,283.8959,5017.044,1061.1863
724,1608.2539,1583.2362,907.535,710.1305,574.05,2025.4277,15426.7687,1152.8441,555.0575,281.6119,4975.9375,1052.6844
725,1607.1233,1578.2106,875.676,696.1752,581.6139,2013.8748,15377.5926,1155.5398,557.3334,279.8092,4981.874,1050.3624
726,1563.9473,1578.2825,909.0809,698.0557,566.8843,1994.8108,15248.4796,1142.0051,556.2869,252.0654,4945.513,1041.5477
727,1570.6726,1564.4113,880.2781,686.6508,573.5463,1956.803,15150.859400000001,1146.8159,556.0173,275.6701,4906.2466,1033.7474
728,1573.6101,1505.6577,900.3936,679.7899,560.743,1959.241,15045.6319,1137.7314,551.1811,269.1777,4877.546,1030.5604
729,1562.0133,1491.5259,859.8506,677.5947,573.2715,1931.5112,14912.3062,1126.0493,544.7391,260.1228,4860.885,1024.7428
730,1546.2411,1528.9753,859.821,676.5618,564.9782,1916.4893,14862.0839,1120.6963,543.6946,267.9853,4813.3984,1023.2426
731,1535.9437,1527.2947,852.9894,664.0261,572.801,1911.1675,14832.312,1122.7625,541.3261,257.6143,4828.088,1018.2987
732,1546.1031,1538.1676,852.3089,666.4525,571.7408,1906.1038,14758.7078,1123.1808,527.1423,249.9206,4764.285,1013.3024
733,1528.7695,1476.6821,870.24,659.3142,575.3701,1875.5929,14618.0636,1104.2617,534.8774,248.2926,4732.9385,1011.7246
734,1513.123,1499.7051,843.462,660.7559,561.7087,1873.4935,14519.151699999999,1111.2476,516.5563,237.8727,4698.847,1002.3799
735,1529.6458,1499.468,824.8016,659.5775,573.0905,1863.3909,14543.677300000001,1104.1157,520.3378,249.7487,4719.4478,1000.053
736,1467.9138,1430.5225,825.1043,651.369,563.4822,1821.1719,14207.883000000002,1105.9869,506.8355,232.8516,4617.8477,984.7976
737,1480.5494,1431.6572,806.4506,662.4008,557.6227,1800.5708,14141.8646,1080.2192,508.4366,241.3442,4594.759,977.8541
738,1492.4685,1466.3641,812.5363,654.1689,550.9674,1799.9735,14150.380399999998,1079.8545,508.2084,236.9101,4576.2764,972.6523
739,1485.7286,1466.6562,797.0237,649.7991,547.5646,1780.9045,14068.7254,1076.4932,508.8463,225.7067,4554.1533,975.8492
740,1480.9447,1461.6959,811.5787,657.1817,548.6855,1781.9293,14034.763799999999,1071.7747,501.0595,216.9176,4528.854,974.1422
741,1486.0907,1456.2426,799.9617,655.2662,551.2522,1771.323,13988.627800000002,1069.0657,498.7954,232.2347,4505.169,963.2266
742,1463.5205,1453.2433,797.4143,658.9917,547.9601,1741.3665,13913.653400000001,1062.8406,495.5228,233.5574,4500.181,959.0552
743,1481.3865,1447.3823,796.962,648.3176,551.924,1735.3379,13903.180400000001,1064.6665,492.6228,233.0445,4489.8306,961.7057
744,1479.0795,1439.2559,810.7936,646.6491,543.0088,1734.7051,13850.322,1071.6724,490.5306,215.1148,4467.341,952.1712
745,1441.915,1441.951,795.7772,643.5892,543.5294,1721.9807,13773.482,1068.3224,494.7449,223.3011,4448.076,950.2951
746,1463.328,1405.0555,756.7942,647.0029,548.5131,1722.814,13705.4342,1069.1696,495.2663,225.8954,4422.583,949.0122
747,1450.2393,1415.4622,785.325,636.0829,550.9435,1714.429,13681.735399999998,1077.8046,485.5043,220.5136,4398.3223,947.1087
748,1443.8124,1424.9463,741.6169,638.6641,546.2222,1693.0717,13570.4855,1048.0511,489.8948,224.8239,4380.3994,938.9827
749,1414.1118,1429.2792,753.1953,621.3395,536.4434,1704.8705,13519.2646,1060.1403,477.6556,218.5985,4368.451,935.1795
750,1448.8704,1424.4966,768.6346,607.5696,557.7119,1679.9338,13525.22,1049.3904,494.7028,219.2063,4340.3154,934.3882
751,1451.7355,1362.3823,786.2056,636.4968,537.6412,1675.0382,13455.566200000001,1042.581,495.8778,211.2333,4324.269,932.1055
752,1449.249,1410.2681,782.107,620.6928,541.5292,1668.2991,13460.3521,1044.1614,483.3062,207.9271,4324.5513,928.2609
753,1448.2144,1431.7236,742.3807,618.4305,546.2508,1662.178,13420.033000000001,1040.4628,491.1227,205.2128,4306.7974,927.2593
754,1429.1641,1423.4932,743.3832,607.7103,535.7184,1654.0371,13359.4751,1052.944,487.3109,207.9257,4296.616,921.1722
755,1422.1039,1385.2295,764.7501,621.0862,536.2864,1657.7845,13340.228700000001,1045.7208,483.3952,206.9514,4309.2974,907.6233
756,1420.9999,1376.176,748.1414,617.9478,541.5798,1656.9962,13283.2905,1038.478,486.705,207.5439,4270.5107,918.2118
757,1403.0735,1389.9402,749.2221,612.8673,536.0018,1650.5337,13266.4331,1038.6726,485.4881,227.6141,4245.271,927.7487
758,1417.8641,1401.7539,729.514,613.0355,536.605,1639.7004,13217.2207,1041.4664,496.7112,220.8555,4206.506,913.2087
