,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
62,781.6939,1436.0203,1752.0719,475.42,2160.5786,6445.4307,813.7973,20861.440299999995,1274.3842,2798.272,1184.1652,1739.6062
63,771.7521,1434.9028,1746.7297,472.234,2157.0066,6425.026,824.3818,20831.5723,1279.6733,2799.287,1179.2239,1741.3551
64,776.0955,1415.3829,1730.5774,469.1264,2184.9023,6445.49,832.6933,20822.783799999997,1277.7959,2786.8618,1163.3761,1740.4822
65,763.6235,1424.9839,1764.2174,468.8299,2182.9985,6448.921,827.0289,20862.758800000007,1275.5889,2790.018,1174.4762,1742.0726
66,763.6235,1424.9839,1764.2174,468.8299,2182.9985,6448.921,827.0289,20862.758800000007,1275.5889,2790.018,1174.4762,1742.0726
67,763.6235,1424.9839,1764.2174,468.8299,2182.9985,6448.921,827.0289,20862.758800000007,1275.5889,2790.018,1174.4762,1742.0726
68,783.0961,1416.407,1740.1635,479.1725,2203.1812,6410.0693,839.5388,20857.713499999998,1266.9327,2776.2866,1197.6367,1745.2291
69,778.0988,1423.0225,1742.4796,479.546,2211.9133,6429.29,836.4578,20869.1917,1266.4241,2777.763,1188.6903,1735.5063
70,775.8925,1406.8856,1752.8292,474.6406,2161.2852,6424.9473,842.4799,20787.7827,1261.4323,2775.2761,1172.1006,1740.0134
71,779.1679,1405.724,1733.3689,475.4136,2155.999,6421.8857,834.8636,20736.0099,1261.9193,2768.9556,1172.3218,1726.3905
72,766.7339,1402.4995,1738.4668,480.8912,2145.3857,6410.7163,857.8721,20743.668499999996,1259.2622,2777.5664,1163.1904,1741.084
73,776.2401,1380.6974,1728.7324,475.0704,2179.28,6404.4873,841.6843,20736.9396,1253.8186,2776.6992,1172.9844,1747.2455
74,764.4835,1394.8113,1719.7511,476.279,2194.321,6414.2393,833.609,20752.8326,1254.859,2772.3325,1182.4323,1745.7146
75,774.7329,1396.3163,1728.424,469.9768,2186.2197,6405.192,840.3232,20772.817199999998,1256.8264,2768.4097,1190.492,1755.9042
76,770.8852,1391.354,1740.0302,470.9912,2191.9695,6407.995,837.6018,20766.208100000003,1262.8542,2771.809,1182.1609,1738.5571
77,770.8446,1382.1798,1712.1041,460.0438,2209.7292,6425.9004,834.5138,20746.359800000002,1249.8662,2773.0835,1189.5979,1738.4965
78,763.6288,1381.3593,1735.3822,475.1108,2217.7788,6419.624,858.3476,20773.428900000003,1254.1368,2767.7026,1170.6903,1729.6677
79,760.3903,1373.0374,1695.1442,474.9071,2224.8086,6399.079,834.4525,20731.675699999996,1251.6023,2764.9766,1210.2573,1743.0204
80,765.3654,1402.2538,1728.9209,462.0896,2194.9539,6411.4023,835.3618,20720.019599999996,1255.0994,2762.6245,1158.5132,1743.4348
81,775.0167,1408.1781,1722.5325,453.1727,2233.295,6409.5205,832.8604,20755.210900000002,1260.2876,2765.406,1152.6797,1742.2617
82,765.2431,1411.2811,1705.1917,444.4688,2246.9255,6404.1797,839.3925,20707.5296,1263.9385,2763.044,1134.1138,1729.7509
83,760.6462,1374.3167,1699.1506,462.3267,2246.8115,6430.985,851.3904,20729.608,1262.3207,2763.409,1133.6245,1744.6267
84,757.3046,1401.5642,1729.1338,456.4229,2242.8853,6418.6016,835.0869,20740.982899999995,1260.9819,2758.1482,1142.0896,1738.7639
85,759.5106,1410.9719,1714.4662,470.1624,2276.9055,6431.324,838.192,20804.628399999998,1270.408,2767.6165,1131.6864,1733.3849
86,759.5106,1410.9719,1714.4662,470.1624,2276.9055,6431.324,838.192,20804.628399999998,1270.408,2767.6165,1131.6864,1733.3849
87,752.7901,1406.4357,1719.7078,467.1043,2278.258,6417.618,836.412,20822.2171,1274.0333,2775.7793,1153.636,1740.4426
88,753.4973,1395.3943,1722.9434,465.4484,2240.1672,6421.384,843.8004,20800.147399999998,1272.0364,2772.2754,1164.642,1748.5586
89,762.307,1395.7208,1713.9462,462.2333,2243.853,6432.416,846.4739,20792.0805,1279.9988,2765.2324,1146.5829,1743.3162
90,752.3477,1407.1467,1731.6984,448.0462,2296.6265,6427.017,838.34,20854.735800000002,1279.9425,2777.1582,1141.9014,1754.5112
