,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-hud_valley
802,38.25,36.21,53.65,36.21,38.44,50.15,50.34,39.58,43.63,39.07,37.33,50.95,51.17,49.97,49.3
803,38.25,36.25,53.6,36.29,38.47,50.2,50.4,39.61,43.6,39.07,37.33,51.05,51.11,50.03,49.32
804,40.3,38.73,53.48,38.77,40.73,50.99,51.23,41.86,45.08,41.25,39.35,51.92,51.49,50.8,50.22
805,40.34,38.96,52.03,39.0,40.82,49.91,50.11,41.92,44.62,41.37,39.4,50.88,50.26,49.72,49.2
806,37.76,32.56,75.07,32.56,37.13,63.88,64.08,39.0,49.75,38.49,36.72,64.72,68.25,63.74,62.16
807,38.69,33.49,77.19,33.46,38.09,65.72,65.95,40.09,51.06,39.5,37.61,66.52,70.19,65.58,63.95
808,10.59,3.02,69.51,3.01,8.82,49.66,49.72,11.23,28.6,10.9,10.04,49.85,58.26,49.69,47.28
809,45.14,45.61,48.94,45.42,46.3,50.0,50.18,47.55,47.32,46.76,43.99,50.79,48.75,49.77,49.59
810,31.42,25.7,80.18,25.64,30.7,65.03,65.23,33.06,46.9,32.56,30.44,65.66,71.17,64.97,62.98
811,54.19,54.47,58.57,54.25,55.47,59.9,60.23,56.96,56.74,56.08,52.7,61.11,58.34,59.68,59.45
812,53.93,54.48,58.4,54.15,55.31,59.72,60.0,56.8,56.47,55.86,52.44,60.99,58.12,59.45,59.22
813,53.76,54.53,58.51,54.25,55.25,59.89,60.23,56.91,56.52,55.97,52.32,61.23,58.29,59.67,59.45
814,35.31,33.39,57.59,33.22,35.69,51.87,52.09,37.44,42.89,36.75,34.23,52.77,53.74,51.73,50.81
815,48.55,49.43,53.28,49.18,50.0,54.41,54.76,51.72,51.17,50.77,47.05,55.67,53.03,54.21,54.0
816,36.45,33.71,66.01,33.54,36.64,57.91,58.14,38.76,46.29,38.07,35.24,58.76,60.79,57.76,56.56
817,37.7,33.6,77.22,33.43,37.58,65.64,65.88,40.04,50.58,39.37,36.43,66.44,70.07,65.54,63.93
818,38.56,34.5,77.68,34.32,38.45,66.24,66.41,40.86,51.28,40.21,47.16,66.98,70.54,66.1,64.5
819,39.9,36.0,79.39,35.81,39.94,67.98,68.08,42.44,52.85,41.76,48.49,68.68,72.29,67.83,66.22
820,35.61,32.96,59.33,32.86,35.8,53.04,53.19,37.47,43.6,36.96,44.35,53.62,55.14,52.89,51.9
821,33.67,28.39,71.55,28.42,33.06,60.1,60.31,34.93,45.81,34.56,32.46,60.74,64.5,60.02,58.42
822,34.67,30.4,70.11,30.36,34.42,59.77,59.98,36.45,46.16,35.97,33.4,60.43,63.61,59.64,58.21
823,33.66,26.58,89.58,26.5,32.61,71.98,72.18,35.12,51.23,34.74,32.32,72.63,79.05,71.92,69.64
824,59.83,60.14,67.19,59.89,61.48,68.16,68.52,63.51,63.64,62.65,57.73,69.39,66.59,67.91,67.59
825,37.76,33.82,73.35,33.65,37.67,63.14,63.37,39.86,49.42,39.39,36.3,63.89,66.86,63.03,61.56
826,34.65,27.8,88.99,27.71,33.66,72.01,72.19,36.28,51.83,35.87,33.24,72.71,78.77,71.95,69.73
827,34.57,29.29,76.71,29.23,34.05,64.02,64.23,36.26,48.09,35.79,33.29,64.76,68.88,63.91,62.17
828,37.7,34.37,67.18,34.3,37.8,59.14,59.37,39.8,47.55,39.29,36.31,59.93,61.91,58.99,57.76
829,37.7,34.25,67.91,34.21,37.78,59.58,59.85,39.8,47.77,39.32,36.31,60.38,62.5,59.47,58.21
830,58.2,56.18,74.68,56.07,59.09,72.11,72.41,60.99,64.51,60.31,56.15,73.29,72.11,71.84,71.07
831,55.95,53.91,75.92,53.8,56.85,72.11,72.46,58.97,63.31,58.2,54.0,73.14,72.67,71.86,70.97
832,6.69,-5.06,96.82,-5.05,3.66,65.73,65.77,6.64,33.9,6.75,6.03,65.82,79.26,65.85,62.27
833,6.69,-5.02,96.81,-5.03,3.66,65.73,65.76,6.65,33.91,6.76,6.03,65.79,79.26,65.84,62.27
834,19.04,8.99,94.35,9.0,16.83,71.92,72.04,19.49,43.37,19.56,18.09,72.31,72.78,71.92,68.42
835,19.02,10.48,83.33,10.48,17.22,63.26,63.37,19.51,39.37,19.55,18.13,63.66,67.76,63.25,60.43
836,26.31,20.3,72.7,20.3,25.42,58.09,58.27,27.36,40.91,27.24,25.24,58.7,63.96,58.03,56.12
837,26.31,19.47,77.07,19.46,25.14,61.71,61.9,27.15,42.55,27.07,25.23,62.3,65.32,61.65,59.4
838,26.34,19.57,77.01,19.55,25.19,61.72,61.92,27.21,42.56,27.11,25.23,62.31,65.3,61.64,59.39
839,26.33,19.81,73.54,19.77,25.23,61.86,62.07,27.15,42.62,27.04,25.23,62.38,56.3,61.76,59.27
840,26.32,20.36,71.02,20.34,25.35,56.97,57.16,27.2,40.4,27.07,25.22,57.46,62.6,56.9,55.04
841,26.32,20.34,71.04,20.32,25.37,56.98,57.19,27.18,40.38,27.08,25.24,57.51,62.61,56.93,55.05
842,26.33,19.4,77.13,19.38,25.09,61.75,61.95,27.06,42.59,27.0,25.23,62.31,65.32,61.69,59.43
843,27.83,19.4,77.11,19.4,25.11,61.74,61.94,27.06,42.6,27.02,25.21,62.31,65.31,61.68,59.43
844,19.05,10.42,83.43,10.42,17.18,63.27,63.41,19.44,39.38,19.52,18.1,63.65,67.89,63.27,60.43
845,11.78,-3.15,115.58,-3.15,7.28,84.81,84.88,10.77,44.89,11.04,9.94,84.98,81.99,84.86,79.83
846,10.83,-3.82,120.35,-3.82,7.12,88.73,88.81,10.82,46.71,11.15,9.93,88.91,84.18,88.78,83.42
847,10.83,-3.84,118.81,-3.83,7.12,90.43,90.5,10.81,47.48,11.14,9.93,90.61,76.05,90.43,84.68
848,19.02,12.03,72.11,12.03,17.61,54.75,54.89,19.56,35.45,19.59,18.14,55.12,62.04,54.74,52.55
849,25.16,17.49,70.67,17.49,22.62,55.75,55.91,24.46,38.4,24.42,22.69,56.21,61.87,55.69,53.72
850,20.31,12.29,69.33,12.29,17.64,52.91,53.04,19.46,34.57,19.5,18.14,53.28,59.78,52.88,50.8
851,20.3,12.75,66.2,12.74,17.77,50.9,51.04,19.51,33.65,19.54,18.15,51.27,57.28,50.88,48.92
852,25.14,18.67,61.64,18.65,22.91,49.88,50.07,24.45,35.68,24.41,22.7,50.34,54.6,49.81,48.2
853,26.81,22.53,59.45,22.5,26.32,49.76,49.98,27.77,37.29,27.69,25.75,50.27,53.5,49.66,48.22
854,26.8,22.45,59.65,22.42,26.29,49.87,50.08,27.74,37.34,27.64,25.75,50.38,53.68,49.77,48.35
855,27.92,23.71,59.02,23.68,27.45,49.89,50.09,28.84,37.98,28.77,26.81,50.44,53.37,49.78,48.4
856,29.92,26.41,55.97,26.41,29.72,48.79,49.0,31.01,38.55,30.89,28.79,49.63,51.35,48.65,47.47
857,28.38,22.81,69.1,22.79,27.6,59.57,59.77,29.37,42.69,29.28,27.22,60.41,54.42,59.42,57.22
858,26.76,21.54,64.0,21.56,26.05,54.81,54.99,27.85,39.64,27.69,25.74,55.6,52.08,54.68,52.67
859,26.89,15.82,106.59,15.82,24.63,88.61,88.82,28.06,55.25,27.86,25.66,89.23,71.33,88.47,83.77
860,28.35,22.52,72.31,22.54,27.57,59.44,59.66,29.58,42.64,29.38,27.24,60.21,63.01,59.33,57.29
861,29.93,24.83,67.51,24.85,29.4,59.24,59.48,31.3,43.4,31.1,28.77,60.15,53.82,59.08,56.94
862,29.92,24.61,67.57,24.66,29.31,59.28,59.49,31.13,43.38,30.96,28.77,60.13,53.68,59.09,56.96
863,29.9,24.61,67.57,24.66,29.28,59.28,59.49,31.13,43.38,30.93,28.77,60.19,53.68,59.12,56.96
864,29.91,24.03,71.62,24.08,29.14,62.54,62.78,31.13,44.88,30.92,28.76,63.42,55.39,62.38,59.95
865,25.23,18.14,75.78,18.18,23.99,63.63,63.82,26.2,42.86,26.04,24.21,64.32,57.05,63.49,60.67
866,34.19,31.53,51.36,31.63,34.36,48.63,48.91,35.44,40.79,35.32,32.92,63.94,46.42,48.44,47.37
867,34.55,33.05,48.14,33.08,35.12,46.33,46.58,36.29,39.95,36.04,33.27,65.85,45.31,46.09,45.31
868,44.9,44.68,47.86,44.73,46.05,51.16,51.48,47.02,47.73,46.7,43.3,62.87,45.68,50.82,50.32
869,141.82,139.81,141.41,139.68,144.54,168.8,169.67,146.83,153.91,146.12,136.81,171.98,99.51,167.53,164.01
870,94.55,73.47,75.72,73.47,76.03,87.24,87.78,77.3,85.03,76.86,63.67,88.84,59.59,86.68,85.14
871,54.03,53.98,56.74,53.92,55.41,62.7,63.15,56.57,57.97,56.02,52.16,64.2,50.01,62.33,61.48
872,44.03,43.89,47.53,43.89,45.15,49.6,49.96,46.14,46.59,45.69,42.48,50.95,47.85,49.33,48.97
873,45.34,43.89,47.49,43.89,45.19,49.6,49.96,46.14,46.68,45.73,41.64,51.06,47.85,49.33,48.97
874,43.52,43.43,46.89,43.43,44.63,49.08,49.39,45.56,46.05,45.16,42.0,50.43,47.3,48.77,48.41
875,44.08,42.93,46.4,42.93,44.2,48.6,48.95,45.08,45.61,44.73,40.86,49.93,46.8,48.29,47.94
876,46.61,44.68,48.34,44.72,46.15,50.6,50.96,46.97,47.66,46.7,42.4,51.97,48.76,50.27,49.91
877,51.26,50.38,53.28,50.43,52.03,58.39,58.8,52.96,54.32,52.65,48.89,59.79,48.4,57.99,57.23
878,48.19,47.99,50.94,48.04,49.42,55.47,55.87,50.45,51.5,49.96,46.56,56.92,47.1,55.1,54.41
879,48.74,47.89,50.94,47.99,49.52,55.47,55.87,50.45,51.65,50.11,46.5,56.92,47.1,55.1,54.41
880,48.4,47.81,51.08,48.01,49.49,55.51,55.91,50.42,51.61,50.08,46.72,56.96,47.3,55.09,54.41
881,34.52,32.25,51.02,32.42,34.83,48.63,48.91,36.06,40.96,35.69,33.33,49.68,46.63,48.4,47.4
882,47.41,46.77,51.14,47.01,48.52,53.44,53.82,49.48,50.08,49.1,45.71,54.84,51.47,53.1,52.66
883,48.08,47.59,51.91,47.83,49.26,54.22,54.61,50.29,50.83,49.89,46.36,55.64,52.26,53.87,53.43
884,48.95,48.4,52.8,48.7,50.15,55.2,55.6,51.2,51.8,50.75,47.25,56.65,53.2,54.85,54.45
885,49.1,48.5,52.9,48.75,50.2,55.2,55.6,51.2,51.85,50.8,47.39,56.65,53.25,54.85,54.45
886,48.8,48.45,52.85,48.7,50.05,55.2,55.55,51.2,51.7,50.7,47.1,56.6,53.2,54.85,54.4
887,49.2,48.45,52.85,48.75,50.25,55.2,55.55,51.2,51.9,50.85,47.44,56.6,53.2,54.85,54.4
888,50.08,48.44,52.95,48.74,50.39,55.2,55.6,51.29,52.04,50.99,47.31,56.65,53.25,54.85,54.45
889,49.51,48.44,52.89,48.74,50.34,55.2,55.55,51.29,51.99,50.94,47.63,56.7,53.25,54.85,54.45
890,50.29,49.16,52.57,49.47,51.09,57.24,57.65,52.11,53.34,51.75,48.44,58.77,48.01,56.85,56.17
891,53.79,52.04,56.89,52.42,54.2,59.42,59.8,55.22,56.08,54.9,51.08,60.99,57.22,59.0,58.56
892,50.95,49.47,53.92,49.78,51.56,56.27,56.63,52.48,53.26,52.18,48.96,57.71,54.23,55.92,55.45
893,49.49,48.49,52.84,48.74,50.24,55.2,55.55,51.39,52.01,50.94,47.52,56.65,53.15,54.85,54.4
894,48.43,47.84,51.2,48.14,49.42,55.81,56.16,50.66,51.7,50.11,46.7,57.22,46.99,55.39,54.69
895,49.53,48.69,57.19,48.99,50.59,61.33,61.69,52.12,54.89,51.5,47.78,62.71,49.67,60.89,59.9
896,52.54,52.11,55.46,52.48,53.67,61.32,61.7,55.13,56.49,54.59,50.6,62.73,49.0,60.84,60.04
897,40.35,38.26,57.6,38.5,40.79,57.1,57.43,42.25,47.95,41.86,38.88,58.16,49.25,56.8,55.49
898,42.69,42.21,45.79,42.52,43.57,48.65,48.95,44.57,45.3,44.22,41.17,49.56,44.33,48.29,47.8
899,39.33,38.01,49.15,38.28,39.93,49.63,49.95,41.02,43.99,40.75,37.89,50.51,45.69,49.34,48.6
900,43.18,42.52,46.09,42.83,44.02,49.05,49.36,44.98,45.78,44.68,41.55,49.97,44.5,48.73,48.23
901,39.84,39.34,42.92,39.62,40.6,44.96,45.24,41.62,42.09,41.29,38.31,45.81,43.03,44.63,44.25
902,39.27,38.91,42.57,39.19,40.2,44.51,44.83,41.16,41.65,40.8,37.9,45.44,42.87,44.23,43.87
903,39.31,38.83,42.44,39.11,40.11,44.45,44.73,41.08,41.6,40.75,37.9,45.46,42.8,44.13,43.77
904,39.34,38.65,42.53,39.01,40.1,44.44,44.76,40.99,41.63,40.71,37.9,45.33,42.82,44.13,43.8
905,34.15,-8.94,50.25,21.16,34.35,46.89,47.14,31.04,39.98,35.22,32.83,47.52,45.71,46.64,45.77
906,39.4,-8.87,49.71,25.63,39.96,48.15,48.43,35.98,43.38,40.69,37.85,48.99,47.47,47.89,47.27
907,39.35,-8.83,47.14,25.86,39.99,46.49,46.74,35.91,42.57,40.61,37.85,47.29,45.38,46.18,45.72
908,39.35,-8.87,48.8,25.67,39.97,48.19,48.47,35.94,43.36,40.56,37.89,49.03,45.23,47.88,47.24
909,42.48,-8.75,47.2,28.52,43.34,47.8,48.1,38.85,44.9,43.95,40.88,48.8,46.07,47.5,47.11
910,41.25,-8.77,45.84,27.61,42.13,46.41,46.75,37.68,43.6,42.67,39.73,47.29,44.73,46.12,45.74
911,34.06,-8.95,52.51,20.87,34.24,47.81,48.05,31.01,40.32,35.02,32.82,48.5,48.75,47.6,46.65
912,29.92,-9.08,68.28,15.68,29.24,59.32,59.53,27.35,43.39,30.54,28.75,59.89,53.49,59.12,56.93
913,29.9,25.68,57.87,25.98,29.56,51.72,51.95,30.88,39.88,30.59,28.76,52.26,49.53,51.53,49.96
914,28.37,23.05,63.94,23.32,27.67,55.74,55.94,29.2,40.89,28.9,27.23,56.23,52.19,55.54,53.54
915,28.37,24.55,53.1,24.83,28.08,46.5,46.68,29.22,36.66,29.01,27.28,46.99,48.93,46.32,45.1
916,29.91,26.71,52.56,26.93,29.85,46.87,47.05,31.04,37.68,30.78,28.77,47.55,48.88,46.69,45.57
917,29.9,26.8,53.99,26.94,29.87,47.85,48.04,31.19,38.14,30.87,28.77,48.59,50.06,47.68,46.49
918,26.79,20.93,70.06,21.04,25.95,59.91,60.08,28.35,42.0,27.65,25.73,60.49,54.73,59.74,57.28
919,28.35,23.12,68.42,23.26,27.78,59.5,59.71,30.16,42.69,29.44,27.25,60.03,54.08,59.29,57.02
920,34.06,31.33,57.78,31.52,34.32,52.14,52.42,36.17,42.35,35.6,32.75,52.96,54.03,51.93,50.75
921,34.01,32.15,50.59,32.32,34.5,48.17,48.38,36.0,40.49,35.5,32.76,48.99,46.43,47.9,46.92
922,29.87,26.99,53.83,27.13,29.95,47.79,48.03,31.63,38.12,31.09,28.77,48.45,49.93,47.61,46.44
923,29.9,27.26,51.76,27.4,30.02,46.44,46.69,31.64,37.5,31.09,28.78,47.08,48.26,46.26,45.17
924,29.9,27.19,51.78,27.36,30.01,46.44,46.69,31.61,37.48,31.06,28.81,47.1,48.27,46.26,45.17
925,34.03,32.31,49.15,32.51,34.55,46.47,46.71,35.98,39.74,35.46,32.8,47.16,47.04,46.24,45.43
926,29.85,25.62,63.31,25.78,29.6,56.25,56.44,31.76,41.96,31.03,28.76,56.77,51.69,56.02,54.11
927,29.81,27.21,51.1,27.38,30.0,46.48,46.69,31.57,38.15,31.0,28.75,46.97,46.29,46.28,45.14
928,29.84,27.29,47.47,27.49,29.95,43.31,43.5,31.19,36.55,30.77,28.75,43.8,44.62,43.13,42.24
929,29.87,27.09,47.85,27.32,29.9,43.48,43.64,31.1,36.66,30.71,28.75,44.02,44.92,43.29,42.39
930,28.31,25.06,51.08,25.24,28.2,44.98,45.12,29.55,36.65,29.16,27.28,45.46,47.18,44.81,43.72
931,28.25,25.77,46.85,25.9,28.38,42.29,42.46,29.63,35.28,29.25,27.24,42.8,43.8,42.14,41.21
932,28.26,25.75,48.04,25.91,28.4,43.15,43.3,29.81,35.74,29.36,27.24,43.66,44.81,42.98,42.03
933,36.42,35.77,43.26,36.03,37.34,43.46,43.61,38.46,39.93,38.09,35.13,44.09,42.69,43.2,42.79
934,26.74,23.58,51.85,23.73,26.68,44.97,45.09,28.27,35.94,27.79,25.74,45.39,47.55,44.82,43.67
935,26.77,23.04,55.71,23.18,26.52,47.41,47.53,28.25,37.17,27.74,25.76,47.85,50.64,47.29,45.95
936,26.75,22.81,57.51,22.95,26.46,48.6,48.72,28.27,37.74,27.72,25.75,49.01,52.07,48.45,47.06
937,26.78,21.4,69.47,21.51,26.13,56.39,56.54,28.45,41.72,27.79,25.73,56.79,61.71,56.3,54.39
938,25.23,18.71,76.08,18.78,24.2,60.01,60.15,26.8,42.77,26.09,24.2,60.38,66.69,59.93,57.65
939,25.43,8.98,153.16,9.01,21.73,110.37,110.53,27.53,68.33,26.13,24.07,110.78,128.86,110.42,104.83
940,28.41,22.35,80.41,22.35,27.64,64.3,64.44,30.57,46.56,29.73,27.24,64.71,70.92,64.18,61.88
941,39.3,36.34,57.95,36.23,38.19,53.56,53.73,40.39,45.58,39.89,33.25,54.04,54.79,53.32,52.38
942,34.14,31.58,66.38,31.45,34.54,57.71,57.89,37.11,46.14,36.22,32.85,58.25,60.9,57.54,56.15
943,39.37,38.32,57.99,38.2,40.26,54.34,54.51,42.32,46.97,41.57,37.93,54.92,55.2,54.08,53.24
944,16.51,-2.13,160.45,-2.13,11.97,111.17,111.29,18.06,64.34,16.81,15.38,111.45,132.52,111.29,105.31
945,27.0,10.87,153.84,10.86,23.43,111.26,111.42,29.15,69.57,27.85,25.6,111.7,129.47,111.29,105.99
946,34.16,32.24,56.02,32.17,34.65,50.72,50.8,36.56,42.57,35.9,32.86,51.28,52.4,50.54,49.57
947,194.1,102.35,111.36,102.14,105.18,114.71,115.03,108.01,119.52,114.14,34.08,116.38,111.36,114.08,113.56
948,70.79,43.1,89.7,43.02,47.79,78.23,78.44,50.73,67.35,50.84,31.17,79.01,82.36,77.99,76.15
