,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
98,2.0,86.0,43.0,111.0,84.0,60.0,47.0,47.0,25.0,15.0
99,2.0,86.0,43.0,111.0,84.0,60.0,47.0,47.0,25.0,15.0
100,3.0,87.0,57.0,105.0,62.0,77.0,48.0,54.0,18.0,16.0
101,3.0,87.0,57.0,105.0,62.0,77.0,48.0,54.0,18.0,16.0
102,3.0,116.0,55.0,91.0,58.0,74.0,55.0,66.0,21.0,21.0
103,3.0,116.0,55.0,91.0,58.0,74.0,55.0,66.0,21.0,21.0
104,1.0,137.0,58.0,90.0,65.0,83.0,72.0,66.0,19.0,0.0
105,1.0,137.0,58.0,90.0,65.0,83.0,72.0,66.0,19.0,0.0
106,2.0,150.0,78.0,58.0,94.0,110.0,68.0,59.0,24.0,7.0
107,2.0,150.0,78.0,58.0,94.0,110.0,68.0,59.0,24.0,7.0
108,2.0,159.0,63.0,56.0,83.0,120.0,72.0,65.0,34.0,16.0
109,2.0,159.0,63.0,56.0,83.0,120.0,72.0,65.0,34.0,16.0
110,2.0,109.0,57.0,47.0,84.0,124.0,73.0,56.0,39.0,24.0
111,2.0,109.0,57.0,47.0,84.0,124.0,73.0,56.0,39.0,24.0
112,2.0,104.0,87.0,55.0,112.0,110.0,78.0,57.0,47.0,25.0
113,2.0,104.0,87.0,55.0,112.0,110.0,78.0,57.0,47.0,25.0
114,2.0,128.0,105.0,66.0,114.0,100.0,89.0,56.0,49.0,21.0
115,2.0,128.0,105.0,66.0,114.0,100.0,89.0,56.0,49.0,21.0
116,3.0,159.0,45.0,81.0,97.0,99.0,41.0,45.0,46.0,19.0
117,3.0,159.0,45.0,81.0,97.0,99.0,41.0,45.0,46.0,19.0
118,3.0,141.0,37.0,73.0,90.0,105.0,16.0,40.0,30.0,19.0
119,3.0,141.0,37.0,73.0,90.0,105.0,16.0,40.0,30.0,19.0
120,4.0,110.0,33.0,76.0,103.0,106.0,19.0,21.0,42.0,15.0
121,4.0,110.0,33.0,76.0,103.0,106.0,19.0,21.0,42.0,15.0
122,5.0,239.0,14.0,72.0,115.0,89.0,25.0,19.0,60.0,0.0
123,5.0,239.0,14.0,72.0,115.0,89.0,25.0,19.0,60.0,0.0
124,8.0,190.0,16.0,87.0,88.0,84.0,24.0,10.0,36.0,0.0
125,8.0,190.0,16.0,87.0,88.0,84.0,24.0,10.0,36.0,0.0
126,9.0,145.0,19.0,57.0,34.0,55.0,39.0,12.0,47.0,0.0
127,9.0,145.0,19.0,57.0,34.0,55.0,39.0,12.0,47.0,0.0
128,6.0,158.0,22.0,40.0,26.0,52.0,49.0,17.0,42.0,0.0
129,6.0,158.0,22.0,40.0,26.0,52.0,49.0,17.0,42.0,0.0
130,1.0,98.0,18.0,33.0,27.0,67.0,55.0,20.0,41.0,10.0
131,1.0,98.0,18.0,33.0,27.0,67.0,55.0,20.0,41.0,10.0
132,1.0,79.0,20.0,39.0,24.0,61.0,63.0,23.0,45.0,10.0
133,1.0,79.0,20.0,39.0,24.0,61.0,63.0,23.0,45.0,10.0
134,4.0,50.0,21.0,64.0,31.0,63.0,67.0,23.0,44.0,11.0
135,4.0,50.0,21.0,64.0,31.0,63.0,67.0,23.0,44.0,11.0
136,7.0,19.0,20.0,75.0,48.0,81.0,91.0,24.0,46.0,19.0
137,7.0,19.0,20.0,75.0,48.0,81.0,91.0,24.0,46.0,19.0
138,10.0,21.0,29.0,99.0,52.0,99.0,182.0,32.0,37.0,24.0
139,10.0,21.0,29.0,99.0,52.0,99.0,182.0,32.0,37.0,24.0
140,8.0,34.0,54.0,137.0,30.0,102.0,170.0,37.0,46.0,22.0
141,8.0,34.0,54.0,137.0,30.0,102.0,170.0,37.0,46.0,22.0
142,2.0,26.0,68.0,148.0,33.0,87.0,144.0,46.0,37.0,14.0
143,2.0,26.0,68.0,148.0,33.0,87.0,144.0,46.0,37.0,14.0
144,2.0,24.0,111.0,154.0,37.0,69.0,121.0,61.0,37.0,11.0
145,2.0,24.0,111.0,154.0,37.0,69.0,121.0,61.0,37.0,11.0
146,3.0,32.0,115.0,163.0,33.0,23.0,171.0,92.0,59.0,7.0
147,3.0,32.0,115.0,163.0,33.0,23.0,171.0,92.0,59.0,7.0
148,4.0,17.0,84.0,154.0,41.0,26.0,177.0,88.0,66.0,22.0
149,4.0,17.0,84.0,154.0,41.0,26.0,177.0,88.0,66.0,22.0
150,8.0,15.0,96.0,133.0,62.0,30.0,174.0,87.0,77.0,22.0
151,8.0,15.0,96.0,133.0,62.0,30.0,174.0,87.0,77.0,22.0
152,12.0,13.0,110.0,115.0,90.0,30.0,188.0,84.0,99.0,0.0
153,12.0,13.0,110.0,115.0,90.0,30.0,188.0,84.0,99.0,0.0
154,4.0,0.0,98.0,94.0,90.0,36.0,179.0,61.0,98.0,0.0
155,4.0,0.0,98.0,94.0,90.0,36.0,179.0,61.0,98.0,0.0
156,4.0,0.0,125.0,75.0,84.0,67.0,170.0,43.0,32.0,2.0
157,4.0,0.0,125.0,75.0,84.0,67.0,170.0,43.0,32.0,2.0
158,1.0,7.0,140.0,59.0,50.0,64.0,163.0,28.0,11.0,3.0
159,1.0,7.0,140.0,59.0,50.0,64.0,163.0,28.0,11.0,3.0
160,1.0,10.0,172.0,59.0,36.0,49.0,113.0,23.0,21.0,21.0
161,1.0,10.0,172.0,59.0,36.0,49.0,113.0,23.0,21.0,21.0
162,0.0,10.0,226.0,24.0,39.0,30.0,68.0,22.0,23.0,21.0
163,0.0,10.0,226.0,24.0,39.0,30.0,68.0,22.0,23.0,21.0
164,0.0,10.0,245.0,24.0,26.0,53.0,51.0,15.0,42.0,0.0
165,0.0,10.0,245.0,24.0,26.0,53.0,51.0,15.0,42.0,0.0
166,0.0,7.0,226.0,21.0,26.0,56.0,105.0,16.0,50.0,0.0
167,0.0,7.0,226.0,21.0,26.0,56.0,105.0,16.0,50.0,0.0
168,0.0,6.0,152.0,34.0,29.0,79.0,89.0,10.0,56.0,0.0
169,0.0,6.0,152.0,34.0,29.0,79.0,89.0,10.0,56.0,0.0
170,8.0,8.0,124.0,38.0,45.0,52.0,94.0,13.0,43.0,0.0
171,8.0,8.0,124.0,38.0,45.0,52.0,94.0,13.0,43.0,0.0
172,8.0,22.0,56.0,30.0,50.0,41.0,124.0,17.0,50.0,0.0
173,8.0,22.0,56.0,30.0,50.0,41.0,124.0,17.0,50.0,0.0
174,1.0,23.0,40.0,14.0,41.0,22.0,87.0,18.0,15.0,0.0
175,1.0,23.0,40.0,14.0,41.0,22.0,87.0,18.0,15.0,0.0
176,1.0,29.0,40.0,11.0,37.0,29.0,85.0,13.0,21.0,5.0
177,1.0,29.0,40.0,11.0,37.0,29.0,85.0,13.0,21.0,5.0
178,4.0,21.0,9.0,14.0,12.0,30.0,52.0,14.0,28.0,5.0
179,4.0,21.0,9.0,14.0,12.0,30.0,52.0,14.0,28.0,5.0
180,3.0,3.0,17.0,21.0,14.0,31.0,32.0,13.0,25.0,0.0
181,3.0,3.0,17.0,21.0,14.0,31.0,32.0,13.0,25.0,0.0
182,2.0,3.0,14.0,21.0,18.0,30.0,34.0,12.0,22.0,0.0
183,2.0,3.0,14.0,21.0,18.0,30.0,34.0,12.0,22.0,0.0
184,2.0,13.0,8.0,25.0,25.0,33.0,34.0,12.0,21.0,0.0
185,2.0,13.0,8.0,25.0,25.0,33.0,34.0,12.0,21.0,0.0
186,4.0,22.0,5.0,31.0,37.0,41.0,34.0,12.0,18.0,0.0
187,4.0,22.0,5.0,31.0,37.0,41.0,34.0,12.0,18.0,0.0
188,5.0,39.0,8.0,29.0,34.0,48.0,46.0,13.0,8.0,4.0
189,5.0,39.0,8.0,29.0,34.0,48.0,46.0,13.0,8.0,4.0
190,4.0,36.0,13.0,28.0,36.0,52.0,67.0,12.0,8.0,12.0
191,4.0,36.0,13.0,28.0,36.0,52.0,67.0,12.0,8.0,12.0
192,7.0,36.0,21.0,42.0,57.0,59.0,69.0,10.0,11.0,23.0
193,7.0,36.0,21.0,42.0,57.0,59.0,69.0,10.0,11.0,23.0
194,7.0,16.0,24.0,51.0,67.0,55.0,67.0,10.0,10.0,30.0
195,7.0,16.0,24.0,51.0,67.0,55.0,67.0,10.0,10.0,30.0
