,sox_unlimited_vegetable_salad,sox_unlimited_cilantro_salad,sox_unlimited_gram_salad
100,44.480000000000004,11.98,13.305
101,43.754999999999995,12.015,13.14
102,44.25,12.05,12.73
103,44.025,12.2,12.64
104,44.105000000000004,12.33,12.415
105,44.365,12.31,12.47
106,44.56,12.49,13.735
107,44.03,12.29,13.715
108,43.9,12.25,13.774999999999999
109,43.769999999999996,12.315000000000001,13.145
110,43.83,12.559999999999999,12.95
111,43.705,11.98,12.78
112,43.879999999999995,12.105,12.97
113,43.79,12.13,12.805
114,43.785,12.045,13.370000000000001
115,43.725,12.36,13.36
116,43.71,12.465,13.25
117,43.69,12.45,13.33
118,43.605000000000004,12.4,13.385000000000002
119,42.614999999999995,12.465,12.52
120,42.695,12.575,12.335
121,42.635000000000005,12.605,12.52
122,42.705,12.705,12.465
123,42.605000000000004,12.67,12.365
124,42.905,12.780000000000001,12.52
125,42.945,13.26,12.455
126,42.885000000000005,13.18,12.375
127,45.0012,12.854381999999998,13.581495999999998
128,42.925,13.235,12.63
129,42.965,13.085,12.675
130,42.965,13.085,12.675
131,42.965,13.085,12.675
132,42.965,13.085,12.675
133,42.965,13.085,12.675
134,42.965,13.085,12.675
135,42.965,13.085,12.675
136,42.965,13.085,12.675
137,42.965,13.085,12.675
138,45.015,12.46,12.73
139,45.015,12.46,12.73
140,45.015,12.46,12.73
141,45.015,12.46,12.73
142,45.015,12.46,12.73
143,45.015,12.46,12.73
144,45.06,12.475000000000001,12.875
145,45.085,12.545,12.92
146,45.085,12.754999999999999,12.92
147,44.805,12.75,12.84
148,44.9,12.83,13.350000000000001
149,44.835,12.795,13.305
150,44.769999999999996,12.69,13.355
151,44.97,12.375,13.344999999999999
152,44.97,12.375,13.344999999999999
153,44.97,12.79,13.370000000000001
154,44.97,12.675,13.29
155,44.97,12.675,13.29
156,45.394999999999996,12.555,13.625
157,45.465,12.219999999999999,14.31
158,45.465,12.23,14.31
159,45.34,12.145,14.28
160,45.115,12.15,14.27
161,44.955,12.065000000000001,14.215
162,44.925,12.23,14.27
163,44.925,12.23,14.27
164,44.925,12.86,14.27
165,44.925,12.86,14.27
166,44.925,12.86,14.27
