,pandemic_susceptible,pandemic_recovered,pandemic_infected
204,0.6560775,0.33322375,0.00021375
205,0.65606625,0.33355125,0.00018625
206,0.65605125,0.33389250000000004,0.00016
207,0.65602625,0.33418875,0.00015125
208,0.65600375,0.33450749999999996,0.00014375
209,0.65599125,0.33476500000000003,0.00013625
210,0.65598,0.33504,0.00012749999999999998
211,0.65596375,0.3353,0.000125
212,0.6559524999999999,0.33549875,0.00011125
213,0.65594625,0.33570500000000003,9.499999999999999e-05
214,0.65593875,0.33588,8e-05
215,0.65593,0.33606125,7.25e-05
216,0.65592125,0.33624499999999996,6.875e-05
217,0.65591375,0.33640375,6.75e-05
218,0.65590875,0.33654875,6.125e-05
219,0.6558975,0.33670375,5.5e-05
220,0.655885,0.33682625,5.625e-05
221,0.65587875,0.33697,5.625e-05
222,0.65587625,0.3370625,4.875e-05
223,0.65587,0.33716999999999997,4.7499999999999996e-05
224,0.6558649999999999,0.337265,4.625e-05
225,0.65586125,0.3373775,4e-05
226,0.6558575,0.33746750000000003,4.125e-05
227,0.6558525,0.33754625,3.875e-05
228,0.65584875,0.33762,3.5e-05
229,0.65584625,0.33768875,2.9999999999999997e-05
230,0.65584625,0.33774375,2.5e-05
231,0.65584375,0.3378175,2.375e-05
232,0.65583625,0.33787125,2.875e-05
233,0.65583,0.33792,3.125e-05
234,0.6558275,0.33797125,2.75e-05
235,0.65582625,0.33802750000000004,2.25e-05
236,0.65582375,0.3380675,2.25e-05
237,0.6558225000000001,0.33810875,2e-05
238,0.65582,0.3381525,1.625e-05
239,0.65581875,0.33817875,1.25e-05
240,0.65581625,0.33822375,1.25e-05
241,0.6558125,0.33826625,1.375e-05
242,0.65581,0.33830125,1.25e-05
243,0.65580875,0.3383275,1e-05
244,0.6558075,0.33834875,1.125e-05
245,0.65580625,0.33837249999999996,1.25e-05
246,0.65580625,0.33839125,8.75e-06
247,0.655805,0.33841,7.499999999999999e-06
248,0.655805,0.33845625,5e-06
249,0.65580375,0.33847,5e-06
250,0.65580375,0.33848625,3.75e-06
251,0.65580375,0.338505,2.5e-06
252,0.65580375,0.338515,2.5e-06
253,0.65580375,0.338535,1.25e-06
254,0.65580375,0.33854875,1.25e-06
255,0.99936875,2.5e-06,0.00062625
256,0.9991975000000001,5.125e-05,0.000655
257,0.99884875,0.00010625,0.00085875
258,0.9982025,0.000195,0.0013125
259,0.9969174999999999,0.00033875,0.00227125
260,0.99407625,0.00059375,0.0044725
261,0.98834,0.00114625,0.0089575
262,0.97776375,0.002205,0.0169975
263,0.96164125,0.00413375,0.028502499999999997
264,0.94088375,0.007172499999999999,0.0421625
265,0.91796625,0.01154875,0.05542125
266,0.8941,0.017302500000000002,0.067
267,0.87103125,0.02414,0.07572375
268,0.8490675,0.032145,0.081945
269,0.82815625,0.04101875,0.086235
270,0.8087575,0.05050625,0.08832375
271,0.7906675,0.06069875,0.08864625
272,0.77425,0.07141125,0.08749375
273,0.75936625,0.08229500000000001,0.085485
274,0.74550625,0.09346875,0.08272375
275,0.73285125,0.10470875,0.0794975
276,0.7212324999999999,0.11596375,0.07592125
277,0.7106475,0.12716625,0.071795
278,0.7008774999999999,0.138275,0.06803875
279,0.69164875,0.14920625,0.06432625
280,0.68312,0.1601925,0.06054249999999999
281,0.675195,0.17080625,0.056804999999999994
282,0.667895,0.18131875,0.053145000000000005
283,0.6612975,0.1914575,0.04952
284,0.6550075,0.20127,0.046355
285,0.649265,0.21092625,0.043305
286,0.64397375,0.22015625,0.04036625
287,0.63901625,0.22920500000000002,0.0375225
288,0.63430125,0.23806875,0.03497
289,0.62979625,0.24682375,0.03275125
290,0.6257550000000001,0.25484375,0.03068125
291,0.621775,0.26274125,0.02878125
292,0.61812125,0.27038875,0.026932499999999998
293,0.61476125,0.27758499999999997,0.02520625
294,0.61157125,0.28465375,0.02350625
295,0.6085649999999999,0.2914775,0.02193125
296,0.60563375,0.297925,0.02068375
297,0.60272125,0.30430250000000003,0.0196525
298,0.60019875,0.31018,0.01845625
299,0.59793875,0.31609375,0.01723125
300,0.5956675,0.32162875,0.0161625
301,0.59356625,0.32688375,0.01516
302,0.5915575,0.3319475,0.01418625
303,0.5896675,0.3367375,0.01332625
304,0.5878774999999999,0.34155125,0.0125125
305,0.58621875,0.34607125,0.01180125
306,0.58468375,0.3504125,0.0111
307,0.58314875,0.35438375,0.01046625
308,0.58171125,0.35818375,0.009835
309,0.58047875,0.3618025,0.0091825
310,0.5792875,0.36526625,0.00867875
311,0.578075,0.3685275,0.00829125
312,0.57700125,0.37161125,0.007815
313,0.57601,0.37458875,0.00732125
314,0.57508375,0.37757625,0.00682375
315,0.5742575,0.3803625,0.00631125
316,0.57347,0.3830725,0.0059325
317,0.57270875,0.38565875,0.00554625
318,0.57196875,0.38803375,0.00519625
319,0.5713775,0.3902525,0.0048525
320,0.570765,0.39248249999999996,0.0045275
321,0.5702,0.39453375,0.00422375
322,0.5696925,0.39650875,0.0039299999999999995
323,0.56920625,0.39843625,0.00370375
324,0.56877625,0.40010375,0.0034100000000000003
325,0.5683675,0.40170375,0.00323375
326,0.56797875,0.40335125,0.003015
327,0.5676525,0.4048175,0.00274375
328,0.5669725,0.40758625,0.0024125
329,0.56663875,0.40892125,0.00227875
330,0.5663825,0.41013999999999995,0.0021
